epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot
201001,147,18.8483,23.2392,28.018,0.0165,0.2126,0.9,1.7008
201002,275,18.8218,23.0759,27.5388,0.0009,0.201,0.8688,1.608
201003,356,18.3652,23.3153,28.2826,0.0341,0.1797,0.5482,1.4375
201004,461,19.2632,22.6118,26.9885,0.0102,0.3058,1.4874,2.4465
201005,574,18.9964,24.8205,30.4195,0,0.0133,0.0584,0.1063
201006,625,18.6393,22.2866,26.8952,0.0015,0.3917,1.5319,3.1335
201007,828,19.2374,24.2063,29.752,0,0.0633,0.2528,0.5061
201008,1127,19.7934,23.8024,28.806,0.0001,0.2744,1.0907,2.1952
201009,1232,20.4221,23.0671,27.0087,0.0265,0.3334,1.3229,2.6675
201010,1072,19.8723,23.8132,28.6979,0.0013,0.0976,0.4313,0.7805
201011,1184,19.6768,23.6551,29.117,0.0003,0.233,1.1342,1.8636
201012,1116,19.4863,22.9385,27.5073,0.0085,0.1779,0.8043,1.4234
201013,1042,19.5011,22.3445,26.3738,0.1048,0.5383,1.7395,4.3064
201014,1193,17.0066,21.4354,26.7115,0.0021,0.1661,0.8558,1.3286
201015,1022,16.7529,21.9586,27.6699,0,0.0018,0.0093,0.0141
201016,878,18.7617,24.372,30.2256,0,0.0052,0.026,0.0417
201017,969,18.4983,23.912,29.7851,0,0.0035,0.0185,0.0276
201018,1095,17.3682,23.2127,29.4234,0,0.0024,0.011,0.019
201019,864,16.7741,22.2253,28.8339,0.0001,0.0348,0.1731,0.2782
201020,750,17.419,23.2697,29.8044,0,0.004,0.0174,0.0322
201021,683,17.3429,22.503,28.6379,0,0.0036,0.0157,0.0285
201022,460,16.1944,21.5901,27.6881,0,0.0047,0.0223,0.0376
201023,282,15.8216,21.4824,27.7313,0,0.0007,0.0041,0.0058
201024,237,13.0847,20.175,27.9587,0,0,0,0
201025,150,14.2169,21.0333,28.8626,0,0,0,0
201026,147,14.3151,20.1149,26.4977,0,0,0,0
201027,108,14.9968,20.5626,26.2759,0,0,0.0001,0.0001
201028,106,16.8357,22.7139,29.0304,0,0.0003,0.0026,0.0027
201029,88,15.6198,21.3567,27.674,0,0,0,0
201030,69,14.685,20.3945,26.586,0,0,0.0003,0.0003
201031,73,13.9473,21.261,28.4641,0,0,0,0
201032,72,14.8472,22.0017,29.1298,0,0,0,0
201033,49,13.7833,20.4689,27.5213,0,0,0,0
201034,55,15.0977,22.8595,30.256,0,0,0,0
201035,39,17.7118,24.2334,30.7464,0,0,0,0
201036,58,17.8384,24.6295,31.4331,0,0,0,0
201037,69,17.3524,25.0925,32.591,0,0,0,0
201038,92,18.4626,25.3889,31.8633,0,0,0.0003,0.0003
201039,111,20.7444,24.9934,30.4696,0.0017,0.1668,0.9055,1.3342
201040,79,20.6938,26.1363,32.3935,0,0.0439,0.3439,0.3511
201041,60,20.4545,25.1519,31.0115,0.0001,0.1514,0.7854,1.2116
201042,56,19.9543,23.6081,28.2045,0.022,0.3942,1.2751,3.1532
201043,52,19.5738,23.3341,28.5151,0.0129,0.3649,1.9093,2.919
201044,57,19.305,21.7781,25.1811,0.0605,0.4828,1.9387,3.8626
201045,36,19.5373,22.4021,25.8819,0.0055,0.4342,1.7234,3.4734
201046,49,18.5488,22.1238,26.7083,0,0.3175,1.3304,2.5402
201047,35,19.6452,22.6455,26.9715,0.0026,0.3326,1.6006,2.6607
201048,46,19.456,23.5097,27.9999,0.0079,0.2105,0.973,1.6838
201049,49,20.2266,23.4317,27.6833,0.0075,0.4508,1.7539,3.6061
201050,56,19.5166,22.7049,26.4554,0.0656,0.2741,0.7576,2.1925
201051,62,18.7528,22.8312,27.3936,0.0011,0.2927,1.5526,2.3412
201052,91,19.32755,21.3828,25.0797,0.1068,0.60535,1.6647,9.6855
201101,99,18.9323,21.444,24.8515,0.0899,0.5737,1.5442,4.5893
201102,116,19.4083,21.6181,24.4999,0.032,0.3236,0.8836,2.5888
201103,155,19.3934,23.4371,27.6003,0.0013,0.1623,0.844,1.2982
201104,140,18.8513,23.2566,28.0004,0.0005,0.0922,0.4413,0.7377
201105,179,19.333,24.2623,29.6458,0,0.0789,0.3436,0.6316
201106,192,18.4878,22.9704,27.7651,0,0.1947,0.9328,1.5577
