epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot
201001,425,22.68924,26.289606,31.02893,0.000478,0.177546,0.905138,71.0186
201002,445,22.590074,26.544428,31.112136,0.005362,0.148748,0.60882,59.4984
201003,463,22.545436,26.370526,31.316328,9.6e-05,0.158694,0.840038,63.4759
201004,530,22.102078,25.823366,30.46996,0.010638,0.146882,0.564952,58.7561
201005,640,22.871096,27.349048,32.472462,0,0.017312,0.111236,6.9285
201006,567,22.712008,27.263512,32.515758,0,0.06034,0.35667,24.1352
201007,639,22.450406,26.436658,31.278256,0.008426,0.101794,0.390032,40.7145
201008,881,22.159512,25.81336,30.34187,0.01486,0.385788,1.377552,154.3165
201009,916,20.358242,22.338246,24.948114,0.18367,0.737716,1.831508,295.0876
201010,797,21.792762,26.036018,31.278464,0.044538,0.196442,0.859464,78.5796
201011,935,21.568284,24.581218,28.6876,0.045022,0.421844,1.462568,168.7359
201012,994,21.942662,25.522372,30.235666,0.000108,0.085282,0.475794,34.1131
201013,1171,21.483474,24.678748,28.838696,0.012836,0.282604,1.199856,113.0402
201014,1375,18.519648,21.457342,25.059058,0.067748,0.460256,1.64167,184.0988
201015,1395,17.760598,21.667356,26.404886,0.003972,0.052448,0.20045,20.9824
201016,1570,19.987488,24.072758,29.21033,0.00025,0.012246,0.043998,4.8994
201017,2061,19.982086,22.738122,26.591596,0.029082,0.148826,0.48305,59.5282
201018,2118,17.892692,22.367004,28.062748,1.8e-05,0.004564,0.01788,1.8264
201019,2087,16.233112,19.777896,23.958726,0.008342,0.182854,0.681612,73.1391
201020,1991,17.121918,20.528924,24.726296,0.000672,0.056462,0.180048,22.5868
201021,1644,17.317412,20.450172,24.531542,0.007176,0.062284,0.20686,24.9176
201022,1372,16.292158,19.02295,22.434896,0.0127,0.106268,0.339746,42.5052
201023,1146,13.97021,17.464408,21.884596,0.003854,0.054352,0.207292,21.7391
201024,962,12.55355,17.891578,24.676638,5.2e-05,0.00205,0.008406,0.8211
201025,844,14.965004,19.217332,24.608152,0.005304,0.02883,0.073792,11.5336
201026,976,14.250186,18.576704,24.081482,4.2e-05,0.008526,0.030208,3.4096
201027,999,15.383942,19.55922,24.793182,7.4e-05,0.015914,0.075764,6.3626
201028,904,18.046588,20.722948,24.340392,0.041756,0.200224,0.56802,80.0896
201029,711,16.544376,20.014392,24.614908,0.002598,0.04386,0.11434,17.5452
201030,810,16.183288,20.028082,24.916034,0.000308,0.013824,0.053526,5.5343
201031,705,16.186198,19.659906,24.244496,0.005012,0.04004,0.107298,16.0196
201032,717,14.830496,19.038612,24.121,0.00175,0.022088,0.063458,8.8354
201033,548,12.415106,16.419736,21.191032,0.006468,0.056564,0.131144,22.6272
201034,578,15.117228,21.138162,28.213678,0,1.4e-05,9e-05,0.008
201035,545,17.075524,21.909998,27.847484,0,0.003736,0.014964,1.4939
201036,405,16.315404,19.671322,23.982814,0.004894,0.114456,0.472134,45.7824
201037,403,16.912612,21.522316,27.290902,0.00059,0.023284,0.070888,9.3142
201038,306,17.592992,21.214,26.086682,0.002974,0.044754,0.133162,17.9024
201039,277,19.607282,22.449406,26.455266,0.004342,0.260442,1.180384,104.1771
201040,213,18.646112,21.513084,25.515018,0.015198,0.176978,0.771972,70.7918
201041,201,16.090558,19.610692,23.802194,0.00459,0.034476,0.119816,13.7916
201042,196,18.099786,21.380582,25.604244,0.012102,0.210564,0.943642,84.2242
201043,177,18.70755,21.928428,26.108908,0.005358,0.31429,1.195988,125.7177
201044,269,19.766882,22.421936,25.910772,0.009752,0.400846,1.370696,160.3385
201045,307,19.198702,21.458734,24.575234,0.041182,0.40312,1.354546,161.2471
201046,368,18.666346,21.469388,25.44998,0.01245,0.207028,0.789794,82.813
201047,516,21.022676,23.47882,27.013514,0.020174,0.46022,1.967828,184.0893
201048,616,21.868218,25.070766,29.435,0.012338,0.267864,1.096746,107.1467
201049,830,21.974442,24.62223,28.274568,0.024588,0.339922,1.255388,135.9696
201050,867,21.887624,25.168216,29.71669,0.034976,0.406242,1.59118,162.4974
201051,698,21.77483,24.90187,28.978554,0.046044,0.484188,1.620616,193.6753
201052,637,20.621299,22.759227,25.48182,0.110258,0.758774,2.167248,607.0222
201101,1079,21.654574,24.364608,27.88203,0.050522,0.269762,0.790058,107.9086
201102,1261,22.234438,24.981336,28.767922,0.053734,0.519714,1.750504,207.8855
201103,1578,22.119566,25.788412,30.508066,0.008746,0.205588,0.949244,82.2335
201104,2118,21.666464,25.825354,30.5815,3.6e-05,0.02786,0.155626,11.1444
201105,3120,21.727532,25.770154,30.737852,4.6e-05,0.045264,0.23633,18.104
201106,4620,21.769756,26.078192,31.241338,0,0.021276,0.139068,8.5089
201107,5437,21.231984,25.439692,30.338192,0.000772,0.044518,0.233504,17.8098
201108,5462,21.476354,25.3111,30.182504,0.00262,0.204792,0.966212,81.9169
201109,5044,21.008718,22.97431,25.860422,0.120844,0.668904,1.81168,267.559
201110,5107,20.818774,22.794744,25.340946,0.106422,0.52664,1.353312,210.6533
201111,7822,21.079054,23.799918,27.323284,0.021662,0.2993,1.151886,119.721
201112,11184,20.117334,23.184508,27.253704,0.00477,0.092996,0.349986,37.1997
201113,12739,21.30678,24.406524,28.709464,0.016064,0.302482,1.085876,120.9955
201114,15005,19.85658,22.794524,26.737578,0.00951,0.400812,1.703772,160.3225
201115,13781,20.62553,24.049784,28.532352,0.000362,0.16745,0.688344,66.9796
201116,12002,19.536366,23.318582,27.909964,0.00038,0.04539,0.23449,18.158
201117,12788,18.696124,21.60242,25.33123,0.02235,0.271926,0.938532,108.7642
201118,11678,18.619358,21.915676,26.177596,0.005,0.074962,0.313192,29.9858
201119,10834,17.100468,20.310276,24.236118,0.003944,0.065226,0.226362,26.09
201120,8855,15.18651,18.23698,21.989314,0.00688,0.111626,0.406494,44.6522
201121,7007,14.24731,18.649424,23.878602,0.003042,0.033118,0.097664,13.2455
201122,5292,15.187846,18.51803,22.852674,0.002026,0.042328,0.178276,16.9284
201123,3639,13.937176,17.643866,22.349298,0.000164,0.080284,0.494798,32.1132
201124,2662,13.146286,17.33888,22.490208,0.000672,0.016016,0.051746,6.4036
201125,1896,15.415016,19.252222,24.292566,0.000358,0.012996,0.040734,5.2003
201126,1618,15.358946,18.69453,23.236922,0.00072,0.033374,0.099216,13.3531
201127,1131,13.890386,16.697388,20.34155,0.006912,0.052818,0.135332,21.1248
201128,936,13.509474,18.443978,24.882126,0,7.8e-05,0.000574,0.0356
201129,757,16.31691,20.086898,24.904616,0.003526,0.035488,0.117422,14.1943
201130,728,14.602848,19.022878,24.35248,0.00023,0.004484,0.014402,1.7958
201131,575,15.920798,19.75137,24.694626,8e-05,0.051666,0.200004,20.6623
201132,521,16.36378,20.567344,25.782064,0.002756,0.050954,0.16016,20.3808
201133,536,16.00785,21.066664,27.587498,3e-05,0.008934,0.034132,3.574
201134,428,16.590438,19.364762,23.408412,0.015236,0.067522,0.17601,27.007
201135,373,15.551854,19.800516,25.157834,0.001242,0.02922,0.121124,11.686
201136,428,14.947154,20.751924,27.809644,2.2e-05,0.001158,0.00546,0.4663
201137,435,16.57346,19.299092,22.739238,0.009218,0.097062,0.295984,38.822
201138,504,15.804124,20.113142,25.635016,0.000236,0.022366,0.111906,8.9438
201139,535,15.933044,20.214204,25.582576,0.003278,0.023424,0.062926,9.3693
201140,599,18.024564,21.586566,25.899464,0.005026,0.094528,0.305816,37.8182
201141,641,20.352936,23.068958,27.002758,0.00501,0.231518,1.03238,92.6087
201142,591,16.47196,18.772224,21.607206,0.051446,0.319152,0.772046,127.6647
201143,785,18.750474,22.289988,26.912954,0.007654,0.119098,0.540136,47.6384
201144,732,15.092214,18.550282,22.673852,0.025762,0.179926,0.63854,71.973
201145,811,17.816748,21.859452,26.670966,0.000456,0.037784,0.21459,15.1128
201146,757,18.677174,20.584334,23.066384,0.05364,0.398168,1.300706,159.2664
201147,1024,18.815832,21.937678,25.892768,0.008696,0.309802,1.056318,123.9207
201148,1010,19.432252,21.54131,24.427282,0.126332,0.569744,1.716244,227.8973
201149,1287,20.177684,22.317294,25.208422,0.06355,0.475074,1.709912,190.0274
201150,1544,20.339958,23.162844,27.026148,0.02429,0.307672,1.306402,123.0667
201151,1435,20.721694,24.196288,28.728068,0.004362,0.217152,0.902776,86.8628
201152,2065,19.933972,22.291918,25.469666,0.072664,0.520338,1.791582,208.1323
201201,2864,20.071344,22.426764,25.801188,0.161554,0.90907,2.767702,363.6286
201202,2387,20.481972,23.113362,26.74592,0.029886,0.305994,1.012036,122.3984
201203,2788,20.860522,24.31756,28.818652,0.002866,0.160036,0.663466,64.016
201204,3043,20.503662,23.873558,28.039816,0.043168,0.227306,0.702136,90.9211
201205,3201,19.76777,22.98073,26.945304,0.044048,0.418386,1.261462,167.358
201206,3853,20.983066,25.323138,30.258696,0.002028,0.109756,0.611786,43.9052
201207,4175,20.50999,23.945142,28.125912,0.006966,0.138036,0.556146,55.2147
201208,4870,20.706116,24.451082,29.166932,0.000108,0.049178,0.29768,19.6746
201209,6947,20.202118,25.372532,31.162804,0,0.007918,0.049328,3.1699
201210,8471,19.79538,23.761256,28.48371,0.001474,0.068532,0.33319,27.415
201211,8908,20.505806,23.64512,27.927792,0.039712,0.400216,1.440484,160.0851
201212,10809,19.93743,23.31748,27.725586,0.01388,0.192384,0.868308,76.9508
201213,11359,20.370742,23.131494,26.895738,0.032392,0.389734,1.320626,155.8884
201214,11989,19.970124,23.427984,27.9736,0.000884,0.150082,0.92315,60.0333
201215,15295,20.159538,23.496012,27.816902,0.00062,0.107058,0.55158,42.8209
201216,18252,18.7974,22.276998,26.548334,0.00719,0.089344,0.3029,35.7328
201217,17962,19.494846,22.292158,25.81307,0.017368,0.14284,0.47476,57.139
201218,17178,17.044808,19.960068,23.371882,0.045804,0.32305,0.991348,129.221
201219,17163,16.623892,20.35223,24.87646,0.000678,0.05032,0.195632,20.1311
201220,14745,16.249552,18.580054,21.480378,0.03758,0.329524,1.005346,131.8081
201221,12669,15.33846,19.156002,23.891246,0.000318,0.035672,0.164024,14.2662
201222,10232,17.786648,21.554542,26.42684,0.000744,0.079574,0.357872,31.8296
201223,7302,18.643334,21.328064,25.058596,0.023604,0.21268,0.74862,85.0707
201224,6456,16.6263,19.78336,23.962012,0.002974,0.043476,0.16368,17.3858
201225,4736,17.647742,20.929352,25.109122,0.003516,0.052202,0.194992,20.8789
201226,3555,15.482312,19.200924,23.764014,0.00022,0.011142,0.041728,4.4581
201227,2531,15.893,20.297404,25.820148,0,0.000488,0.002974,0.1989
201228,1717,14.61572,18.406852,23.352326,0.001292,0.031772,0.11941,12.7046
201229,1358,14.886696,17.82368,21.712342,0.007084,0.101356,0.372406,40.5412
201230,970,15.46601,20.701104,27.010882,8e-06,0.001684,0.009722,0.6713
201231,1179,16.38693,20.21716,25.048252,0.000586,0.014558,0.045962,5.8248
201232,974,14.547792,18.899712,24.097612,0.000884,0.026854,0.106636,10.7419
201233,950,16.551402,19.861458,23.98405,0.003626,0.052556,0.176112,21.0239
201234,812,15.227068,19.295038,24.207638,3.6e-05,0.028688,0.100512,11.472
201235,644,15.31259,19.108242,23.927536,0.001054,0.06092,0.289732,24.3664
201236,631,15.304262,20.014502,25.623622,0.000288,0.017284,0.050546,6.913
201237,641,18.29612,22.278498,27.124134,0.001168,0.026974,0.121102,10.7887
201238,519,19.09239,23.193162,28.54461,0.00502,0.116872,0.55403,46.748
201239,415,14.305026,18.028814,22.170684,0.007904,0.160006,0.683388,64.0052
201240,439,16.470868,21.00934,26.828414,0,0.001634,0.009182,0.655
201241,353,18.590858,22.268372,26.766744,0.02364,0.112342,0.32409,44.9364
201242,442,17.781184,21.527652,26.3907,0.001578,0.040452,0.174648,16.1805
201243,477,20.94211,24.715352,29.814676,0.000186,0.05725,0.31178,22.9012
201244,541,21.215786,24.450682,28.738638,0.013684,0.160932,0.635814,64.3722
201245,599,20.323316,22.352706,25.293302,0.046694,0.36325,1.18613,145.3021
201246,480,19.153102,21.40412,24.470148,0.02259,0.31114,1.105184,124.4567
201247,605,18.90251,22.542494,27.464264,0.000812,0.09777,0.568208,39.113
201248,730,20.349902,22.727314,26.066064,0.031266,0.386754,1.242706,154.7014
201249,912,21.88288,25.461572,30.047076,0.000182,0.150734,0.806444,60.2937
201250,1009,22.677798,25.33575,29.220352,0.006746,0.30187,1.454504,120.7454
201251,946,22.56101,25.70861,30.374266,3.8e-05,0.288138,1.731314,115.255
201252,1526,22.709276,26.517796,31.268292,0.003844,0.114842,0.53228,45.9385
201301,2185,22.008008,25.534788,30.045872,0.024039,0.281779,0.906704,225.4182
201302,3897,21.90745,24.884786,28.726646,0.111038,0.416994,1.063052,166.7956
201303,4533,21.18297,24.07435,28.446142,0.017338,0.517164,2.016442,206.8665
201304,5867,20.606842,23.656076,27.52577,0.010466,0.30392,1.261234,121.567
201305,6384,21.140798,23.212052,26.17578,0.057788,0.396824,1.130278,158.7294
201306,6323,21.229564,24.118828,28.133784,0.028216,0.335852,1.211504,134.3412
201307,8398,21.620916,26.023418,31.055822,0,0.040206,0.204278,16.0849
201308,13401,21.506398,25.934828,30.91262,0.000198,0.047782,0.236946,19.1136
201309,16301,20.826452,23.981862,27.83548,0.02425,0.415006,1.50205,166.001
201310,18838,21.63474,25.504624,30.648362,0.003656,0.191808,0.900594,76.7239
201311,21940,22.469374,25.390444,29.56473,0.012632,0.299984,1.310174,119.9923
201312,20402,20.174752,22.884082,26.217518,0.03862,0.508602,1.688462,203.4446
201313,18090,20.557264,22.829016,26.10081,0.055538,0.452924,1.534094,181.167
201314,20736,20.644696,23.340394,26.947014,0.00537,0.21949,0.979632,87.8
201315,20726,20.543464,23.005614,26.42504,0.009058,0.137844,0.468022,55.1369
201316,16120,17.678406,20.789372,24.648166,0.004396,0.061252,0.18647,24.5032
201317,11223,15.370048,19.557568,24.299426,0.000782,0.029326,0.089108,11.7296
