epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot
201001,28,23.621955625,27.105259375,31.292356875,0.003301875,0.050501875,0.192675625,64.6472
201002,41,23.532776875,27.420919375,31.882805625,0.000615,0.0405925,0.185575625,51.961
201003,43,23.56255125,26.870180625,31.229983125,0.002645,0.16481875,0.87459125,210.9554
201004,50,24.033055625,27.681976875,32.303380625,0.0039125,0.115455625,0.5053275,147.7768
201005,27,24.22862375,28.14542375,32.63136375,0.001381875,0.030823125,0.1504875,39.4564
201006,27,24.26887,27.948473125,32.397785625,0.004241875,0.08306,0.33707625,106.3254
201007,46,24.62263875,28.17890625,32.566284375,0.000800625,0.0365375,0.12852625,46.7687
201008,50,24.823489375,28.79375375,33.603155,0.00022,0.04482875,0.19970375,57.3905
201009,49,24.07022125,28.97564125,34.487003125,0,0.0033925,0.016941875,4.3507
201010,65,24.560201875,29.18792875,34.583410625,0.000331875,0.01589125,0.06384,20.3499
201011,70,24.641215,28.551215,33.50563875,0.00108,0.08000125,0.359055,102.3922
201012,81,24.01649625,27.4225325,31.801260625,0.006018125,0.117118125,0.4893975,149.911
201013,79,24.389255,27.935053125,32.666966875,0.00394375,0.10949875,0.4906675,140.1551
201014,93,24.41359625,27.577366875,31.9193875,0.01235375,0.27845625,1.042450625,356.414
201015,111,23.8645775,27.57696,32.322326875,0.00363625,0.11989625,0.531139375,153.4697
201016,109,23.82448625,27.205066875,31.556904375,0.009790625,0.1026575,0.436360625,131.4034
201017,139,24.118976875,28.090236875,32.68715,0.001205,0.028424375,0.12274,36.3788
201018,162,24.0294325,27.4267425,31.83942,0.002820625,0.097538125,0.475770625,124.8475
201019,190,23.81803875,27.837791875,32.64191,0.000568125,0.03260375,0.162115625,41.7357
201020,213,23.371879375,27.795238125,32.615439375,1.375e-05,0.00776375,0.02988125,9.9467
201021,190,23.98146875,28.10906625,32.705580625,0.00012875,0.023161875,0.103970625,29.6431
201022,220,23.854255,27.322220625,31.48557,0.001624375,0.110070625,0.522649375,140.8907
201023,264,22.339393125,26.7505525,31.652479375,4.375e-05,0.0137875,0.056399375,17.6501
201024,264,22.825293125,25.89850875,29.63226625,0.013603125,0.1024475,0.368695625,131.1354
201025,302,21.7274025,25.962225625,30.867485625,0.000220625,0.021915625,0.081085,28.0488
201026,328,22.06615625,26.00928875,30.396369375,0.005256875,0.0352475,0.103235625,45.1196
201027,348,21.750293125,25.905953125,30.56661125,0.0019425,0.05761125,0.25076875,73.7477
201028,405,22.17367125,25.933799375,30.246903125,0.002158125,0.1012975,0.477135625,129.661
201029,350,20.813070625,25.25840125,30.1244275,0.002554375,0.01580875,0.049730625,20.2413
201030,308,21.189885625,25.150724375,29.664345625,0.0044125,0.04618,0.14511375,59.1118
201031,348,20.623075,25.32902875,30.6046225,0.0002575,0.012843125,0.04036875,16.4308
201032,374,20.496315,25.26490625,30.46702,0.0007175,0.0145275,0.043975,18.6003
201033,245,20.42338375,25.558415,31.017194375,0.0002425,0.005946875,0.018919375,7.6182
201034,216,21.188114375,25.8001625,30.828005,0.00089125,0.01635125,0.0509325,20.9312
201035,230,21.421226875,25.96003,31.036581875,2.1875e-05,0.012111875,0.049265625,15.4979
201036,238,20.73452625,25.688966875,30.925971875,0.000278125,0.011166875,0.041516875,14.2973
201037,212,21.14229875,26.040535,31.5604125,0.000145625,0.00795125,0.0308525,10.1843
201038,201,21.40790875,26.32574875,31.4595875,0.000241875,0.01201,0.044646875,15.3727
201039,193,22.33036375,27.1272675,32.86308,0.000164375,0.00705,0.02376375,9.0307
201040,202,21.92128375,27.30630375,33.399779375,0,0.00132,0.006149375,1.6911
201041,207,22.8931875,27.5892075,33.040378125,8.125e-06,0.0050425,0.0211675,6.457
201042,196,23.398809375,27.250248125,31.96955375,0.00524875,0.261668125,0.72742,334.9392
201043,176,23.34270125,27.019296875,31.8488725,0.00020625,0.0198325,0.082085625,25.3859
201044,176,23.02088875,27.394261875,32.65261125,3.5625e-05,0.012056875,0.04844875,15.4385
201045,198,23.2792975,27.7171825,32.919096875,0.00045,0.0114225,0.042408125,14.6224
201046,216,23.05901,27.63069375,33.057218125,1.875e-06,0.002904375,0.014594375,3.7234
201047,208,23.516071875,27.714695,32.78967,4.8125e-05,0.0043225,0.01722625,5.5372
201048,227,23.197341875,27.546456875,32.533740625,2.1875e-05,0.00593125,0.025651875,7.588
201049,219,23.854683125,27.31057875,31.6293125,0.0020825,0.087513125,0.338635625,112.014
201050,208,23.582979375,26.621440625,30.78682375,0.00653625,0.11773875,0.51844,150.7086
201051,220,23.26686375,27.162429375,31.68369,0.000971875,0.031966875,0.11860625,40.9161
201052,172,23.2076165625,27.5587609375,32.668188125,0.000144375,0.00729875,0.0278546875,18.6848
201101,279,23.377285,27.326483125,31.986825,0.000459375,0.0444175,0.23694,56.8649
201102,297,23.033466875,26.7251825,31.265144375,0.00303375,0.09810125,0.451796875,125.5761
201103,378,23.143483125,26.477994375,30.676546875,0.01592625,0.341249375,1.392308125,436.783
201104,448,22.35149,25.346785,29.140626875,0.03202625,0.45903375,1.5620225,587.5586
201105,614,23.16094125,26.773475625,31.2066075,0.002660625,0.070260625,0.25385875,89.9234
201106,795,23.107911875,27.477024375,32.575471875,0.001108125,0.03480875,0.173558125,44.5552
