epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,13,21.0501839622642,24.194279245283,27.8745764150943,0.0028497641509434,0.382628066037736,1.66018113207547,1297.8648,0.994971698113208,0.997317452830189,0.998941745283019,70.2169747641509,82.1425931603773,91.5797400943396,6.82438773584906,7
201002,17,19.539041509434,23.065091509434,26.9296096698113,0.00191981132075472,0.282652594339623,1.14673066037736,958.7571,0.996271226415094,0.998183962264151,0.999756603773585,66.5855535377358,80.7875191037736,93.005929245283,7.39057122641509,7
201003,14,19.2095143867925,22.8151702830189,26.8744049528302,0.00127146226415094,0.388190330188679,1.72412830188679,1316.748,0.996483962264151,0.998351179245283,0.999972641509434,67.5938403301887,82.0259483490566,93.9900945754717,7.66489528301887,7
201004,13,19.5543801886792,23.9069155660377,28.9341570754717,0.000506839622641509,0.151285377358491,0.81324929245283,513.1666,0.995632311320755,0.997609905660378,0.99913679245283,62.4286056603774,80.6236492924529,94.5462908018868,9.37978136792453,7
201005,22,23.3970910377359,27.6940735849057,32.8604523584906,2.35849056603774e-06,0.0551490566037736,0.31915,187.0663,0.994865330188679,0.996951886792453,0.99840966981132,54.8259327830189,73.5610929245283,88.2505943396227,9.46335990566038,7
201006,32,21.5643919811321,25.6344466981132,30.7263992924528,3.30188679245283e-06,0.169823820754717,1.0055054245283,576.0504,0.994894811320755,0.996542216981132,0.998110141509434,60.137458490566,78.9975327830189,93.6471813679245,9.16200966981132,7
201007,194,20.5367179245283,23.7907672169811,27.696083490566,0.0197695754716981,0.44531108490566,1.6601125,1510.4907,0.997410849056604,0.999362971698113,1.00087688679245,69.1663462264151,82.1030773584906,91.9376089622642,7.15936745283019,7
201008,566,18.8073061320755,22.4327858490566,26.7606179245283,0.0030438679245283,0.243651179245283,1.09392853773585,826.4673,0.997720283018868,0.999904952830189,1.00156627358491,64.6620436320755,79.999941745283,91.3731551886792,7.95331556603773,7
201009,801,18.2942615566038,23.151270990566,28.5233231132075,0.000109905660377358,0.0407655660377358,0.219395283018868,138.2641,0.999790094339623,1.00156839622642,1.00319268867925,54.6292853773585,74.7759549528302,91.5057903301887,10.2290554245283,7
201010,571,18.2711966981132,22.5866400943396,27.2965865566038,0.00642382075471698,0.0662839622641509,0.292380188679245,224.848,0.994935849056604,0.996542216981132,0.997978537735849,58.4504926886792,77.6279764150944,93.7292193396227,9.02539198113208,7
