epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,20,19.3328954873497,22.6869758585944,27.0133651315697,0.0149803036360188,0.257040139243827,1.1845052487336,507.988979338201,0.995740209857227,0.997603473082909,0.999232991418471,64.9380008374558,81.2853775889513,93.2458279725243,8.32755872408398,7
201002,18,19.4921166331782,23.0182679780343,27.4537425987236,0.0148264781162533,0.260279593446044,1.19350959572935,514.299235651819,0.995714880232708,0.997539443677341,0.999145697179614,64.3441887158477,81.1199017577743,93.3780651267575,8.32048087104837,7
201003,18,19.5709727925548,23.2454594453866,27.7586497302654,0.014761922192751,0.264442747563542,1.20285255848911,522.124344271678,0.995784352642393,0.997577534837001,0.999165570105562,63.9272455698976,81.0263221510077,93.4845269142792,8.29877426876291,7
201004,19,19.5699939949459,23.3673139953609,27.9301517197828,0.0147689527172372,0.269281836449451,1.2115540233577,531.004873449302,0.995941174791243,0.997709902927963,0.999284564144426,63.6703869996791,80.9998370413142,93.5726912163186,8.26498646684896,7
201005,21,19.4897102698183,23.3825953626667,27.9703137608636,0.014829886541437,0.274549094956904,1.21863387667996,540.481391436211,0.996177894384225,0.997928704316306,0.99949463324432,63.5568286052657,81.0356447013566,93.650035914105,8.2216650149279,7
201006,24,19.3306516466385,23.2900672820135,27.8812010470956,0.0149270405170757,0.279996757939033,1.22311200480071,550.094466483926,0.996487059126302,0.998226095368104,0.999787731353358,63.5697859867309,81.1289434037974,93.7240388888678,8.17135746262108,7
201007,26,19.0899086878965,23.0860895127287,27.6640990963589,0.0150365599243496,0.285335857487182,1.22334012664273,559.294140001543,0.996857602575498,0.998590818884128,1.00015268610904,63.6722441012835,81.2686416336236,93.806367101627,8.11774474184024,7
201008,28,18.7687472948538,22.7604324892474,27.3053534727268,0.0151464741471226,0.290586724105319,1.22050514716541,568.168176201371,0.997293981885365,0.999025351282792,1.00059052803286,63.9051597352541,81.4731373713684,93.9022134577593,8.06069478028693,7
201009,29,18.3700629768392,22.3242532252446,26.8262527639345,0.0152325618159378,0.29511297156577,1.21145849135791,575.465332198385,0.997779735189631,0.999515078658121,1.00108802294912,64.2140437313733,81.7219485288761,94.02089947049,8.00459563873037,7
201010,29,17.9033357822078,21.7913521931542,26.2459903557089,0.0153050808105581,0.298485525164511,1.19418222226706,580.39443670573,0.998304864362477,1.00005009231124,1.00163518900738,64.5637241540501,81.9930863048151,94.1552780515099,7.95154750677287,7
