MUNIC_RES,ANO,POPULACAO
1100015,1992,34768
1100023,1992,61737
1100031,1992,8633
1100049,1992,72462
1100056,1992,23280
1100064,1992,27830
1100072,1992,13317
1100080,1992,10617
1100098,1992,24630
1100106,1992,33783
1100114,1992,52287
1100122,1992,102481
1100130,1992,17202
1100148,1992,16317
1100155,1992,55496
1100189,1992,51784
1100205,1992,284576
1100254,1992,31981
1100262,1992,4830
1100288,1992,46703
1100296,1992,12848
1100304,1992,40249
1100320,1992,15050
1100338,1992,7041
1100346,1992,21774
1100403,1992,8060
1100502,1992,12119
1100601,1992,5589
1100700,1992,4577
1100809,1992,7711
1100908,1992,4647
1101005,1992,6981
1101104,1992,4755
1101203,1992,9592
1101302,1992,12403
1101401,1992,8161
1101500,1992,6230
1101609,1992,7138
1101708,1992,11560
1101807,1992,9540
1200013,1992,5688
1200054,1992,3017
1200104,1992,14353
1200138,1992,3294
1200179,1992,2367
1200203,1992,48901
1200252,1992,7570
1200302,1992,17591
1200328,1992,4203
1200336,1992,8046
1200344,1992,4629
1200351,1992,8258
1200385,1992,12856
1200393,1992,6593
1200401,1992,189743
1200427,1992,6800
1200435,1992,674
1200450,1992,15838
1200500,1992,24223
1200609,1992,23409
1200708,1992,10478
1200807,1992,9475
1300029,1992,8944
1300060,1992,4763
1300086,1992,6124
1300102,1992,8827
1300144,1992,5884
1300201,1992,8142
1300300,1992,17196
1300409,1992,11210
1300508,1992,16399
1300607,1992,19178
1300631,1992,7563
1300680,1992,7683
1300706,1992,25450
1300805,1992,16822
1300839,1992,7029
1300904,1992,12879
1301001,1992,19850
1301100,1992,33590
1301159,1992,18299
1301209,1992,38313
1301308,1992,13694
1301407,1992,21031
1301506,1992,16407
1301605,1992,16735
1301654,1992,11632
1301704,1992,39970
1301803,1992,9764
1301852,1992,19431
1301902,1992,59772
1301951,1992,9299
1302009,1992,5195
1302108,1992,11366
1302207,1992,4949
1302306,1992,15310
1302405,1992,34084
1302504,1992,58005
1302553,1992,10687
1302603,1992,1047232
1302702,1992,38403
1302801,1992,12053
1302900,1992,30946
1303007,1992,13153
1303106,1992,12939
1303205,1992,14721
1303304,1992,11894
1303403,1992,59691
1303502,1992,17876
1303536,1992,7522
1303569,1992,6717
1303601,1992,16167
1303700,1992,18221
1303809,1992,23501
1303908,1992,13940
1303957,1992,4779
1304005,1992,5617
1304062,1992,29466
1304104,1992,26203
1304203,1992,56991
1304237,1992,10297
1304260,1992,5494
1304302,1992,11994
1304401,1992,18559
1400050,1992,11918
1400100,1992,151439
1400159,1992,9915
1400209,1992,9277
1400308,1992,14068
1400407,1992,11488
1400506,1992,10890
1400605,1992,9754
1500107,1992,102399
1500131,1992,5326
1500206,1992,48378
1500305,1992,19637
1500347,1992,7255
1500404,1992,53600
1500503,1992,33475
1500602,1992,117390
1500701,1992,14494
1500800,1992,90542
1500909,1992,30810
1500958,1992,16921
1501006,1992,11178
1501105,1992,14225
1501204,1992,20400
1501303,1992,48854
1501402,1992,1273825
1501501,1992,63315
1501576,1992,14080
1501600,1992,8586
1501709,1992,97969
1501725,1992,16985
1501758,1992,6311
1501782,1992,14151
1501808,1992,73465
1501907,1992,14188
1502004,1992,13451
1502103,1992,85920
1502202,1992,52116
1502301,1992,46788
1502400,1992,105398
1502509,1992,17513
1502608,1992,8539
1502707,1992,56464
1502756,1992,15362
1502764,1992,6035
1502772,1992,28877
1502806,1992,15386
1502905,1992,20609
1502939,1992,46527
1502954,1992,12179
1503002,1992,3291
1503077,1992,20852
1503093,1992,15251
1503101,1992,19460
1503200,1992,27727
1503309,1992,42009
1503408,1992,6567
1503457,1992,13775
1503507,1992,31614
1503606,1992,98261
1503705,1992,74426
1503754,1992,10215
1503804,1992,31875
1503903,1992,23394
1504000,1992,16760
1504059,1992,29943
1504109,1992,7433
1504208,1992,132723
1504307,1992,26056
1504406,1992,20239
1504455,1992,27164
1504505,1992,14934
1504604,1992,19081
1504703,1992,41426
1504802,1992,47858
1504901,1992,22795
1504950,1992,6714
1505007,1992,9335
1505031,1992,5962
1505064,1992,29753
1505106,1992,42502
1505205,1992,19406
1505304,1992,41738
1505403,1992,13110
1505437,1992,24544
1505486,1992,32626
1505494,1992,5443
1505502,1992,81449
1505536,1992,49300
1505551,1992,4946
1505601,1992,5898
1505700,1992,16799
1505809,1992,29882
1505908,1992,15317
1506005,1992,27542
1506104,1992,17255
1506138,1992,54349
1506161,1992,28217
1506187,1992,41596
1506195,1992,20778
1506203,1992,23443
1506302,1992,12063
1506351,1992,9289
1506401,1992,4815
1506500,1992,34139
1506559,1992,19335
1506583,1992,7432
1506609,1992,18212
1506708,1992,16698
1506807,1992,271593
1506906,1992,4436
1507003,1992,17662
1507102,1992,21278
1507151,1992,14724
1507201,1992,20848
1507300,1992,26500
1507409,1992,11709
1507458,1992,40984
1507474,1992,16682
1507508,1992,5706
1507607,1992,33440
1507706,1992,15143
1507805,1992,33710
1507904,1992,17603
1507953,1992,18903
1507961,1992,5302
1507979,1992,10893
1508001,1992,65180
1508050,1992,9397
1508084,1992,33399
1508100,1992,56701
1508126,1992,16548
1508159,1992,55141
1508209,1992,38577
1508308,1992,56482
1508357,1992,14726
1508407,1992,50927
1600055,1992,1956
1600105,1992,6792
1600154,1992,1507
1600204,1992,5402
1600212,1992,1730
1600238,1992,2334
1600253,1992,1238
1600279,1992,21989
1600303,1992,173826
1600402,1992,9065
1600501,1992,7778
1600535,1992,5411
1600550,1992,1448
1600600,1992,53950
1600709,1992,4879
1700251,1992,1930
1700350,1992,6751
1700400,1992,7787
1700707,1992,10229
1701002,1992,8537
1701051,1992,2903
1701101,1992,3310
1701309,1992,2974
1701903,1992,4517
1702000,1992,9799
1702109,1992,92946
1702158,1992,2232
1702208,1992,22793
1702307,1992,10017
1702406,1992,11134
1702554,1992,10636
1702703,1992,4673
1702901,1992,10163
1703008,1992,9095
1703107,1992,6514
1703206,1992,4375
1703305,1992,2546
1703602,1992,1675
1703701,1992,6888
1703800,1992,7892
1703826,1992,1678
1703842,1992,3441
1703867,1992,2823
1703883,1992,1843
1703891,1992,1542
1703909,1992,2790
1704105,1992,1951
1705508,1992,21221
1705557,1992,4991
1705607,1992,4240
1706001,1992,5074
1706100,1992,8839
1706506,1992,3321
1707009,1992,13167
1707108,1992,6446
1707207,1992,7902
1707306,1992,4334
1707405,1992,5130
1707553,1992,4830
1707652,1992,5986
1707702,1992,7463
1708205,1992,17371
1708254,1992,1460
1708304,1992,5184
1709005,1992,14968
1709302,1992,19743
1709500,1992,56268
1710508,1992,7209
1710706,1992,6556
1710904,1992,2847
1711100,1992,3620
1711506,1992,2857
1711803,1992,1933
1711902,1992,2213
1711951,1992,2066
1712009,1992,782
1712405,1992,4230
1712504,1992,2376
1712702,1992,1210
1712801,1992,1967
1713205,1992,19979
1713304,1992,10839
1713601,1992,6603
1713809,1992,2879
1713957,1992,2834
1714203,1992,10413
1714302,1992,6134
1714880,1992,7524
1715002,1992,3097
1715101,1992,2478
1715150,1992,1887
1715259,1992,1573
1715705,1992,3521
1715754,1992,9477
1716109,1992,29789
1716208,1992,11086
1716307,1992,3820
1716505,1992,9268
1716604,1992,9373
1716653,1992,3260
1716703,1992,8683
1717008,1992,4925
1717206,1992,1177
1717503,1992,9016
1717800,1992,5191
1717909,1992,6156
1718006,1992,2114
1718204,1992,44648
1718303,1992,5196
1718402,1992,3502
1718501,1992,2129
1718550,1992,3668
1718659,1992,739
1718709,1992,1558
1718758,1992,7101
