date,iod
1992-10-04,-0.844694
1992-10-11,-1.089122
1992-10-18,-1.279551
1992-10-25,-1.482551
1992-11-01,-1.147044
1992-11-08,-1.049548
1992-11-15,-0.969575
1992-11-22,-0.968241
1992-11-29,-0.98765
1992-12-06,-1.149368
1992-12-13,-1.201033
1992-12-20,-0.868927
1992-12-27,-0.414088
1993-01-04,-0.38542
1993-01-11,-0.04604
1993-01-17,0.09996
1993-01-24,-0.00356
1993-01-31,-0.232526
1993-02-08,-0.001366
1993-02-15,0.117857
1993-02-22,0.015253
1993-02-28,0.099712
1993-03-07,0.037478
1993-03-15,-0.002405
1993-03-22,-0.185975
1993-03-29,-0.364506
1993-04-04,-0.149654
1993-04-11,-0.263125
1993-04-18,-0.349659
1993-04-26,-0.376883
1993-05-03,0.176441
1993-05-10,-0.062764
1993-05-16,-0.041534
1993-05-23,-0.063418
1993-05-30,-0.048461
1993-06-07,-0.010272
1993-06-14,-0.052189
1993-06-21,0.103946
1993-06-27,0.341453
1993-07-04,0.210232
1993-07-12,0.226699
1993-07-19,0.249582
1993-07-26,-0.19397
1993-08-01,-0.912772
1993-08-08,-0.830468
1993-08-15,-0.460214
1993-08-23,-0.207916
1993-08-30,-0.110892
1993-09-06,-0.306109
1993-09-12,-0.481074
1993-09-19,-0.35082
1993-09-26,-0.358532
1993-10-04,-0.302847
1993-10-11,-0.45301
1993-10-17,-0.447995
1993-10-24,-0.403623
1993-10-31,0.077793
1993-11-08,-0.017747
1993-11-15,-0.197918
1993-11-22,-0.624629
1993-11-28,-0.895645
1993-12-05,-1.0391
1993-12-12,-1.086993
1993-12-20,-1.123446
1993-12-27,-1.028901
1994-01-03,-1.258053
1994-01-09,-0.919042
1994-01-16,-0.589354
1994-01-24,-0.456501
1994-01-31,-0.254652
1994-02-07,-0.548045
1994-02-13,-0.625197
1994-02-20,-0.586848
1994-02-27,-0.722751
1994-03-07,-0.583142
1994-03-14,-0.463871
1994-03-21,-0.45324
1994-03-27,-0.617506
1994-04-03,-0.214725
1994-04-10,-0.222493
1994-04-18,-0.216607
1994-04-25,-0.048101
1994-05-01,0.552095
1994-05-08,0.542666
1994-05-15,0.696883
1994-05-23,0.730372
1994-05-30,0.841854
1994-06-06,1.115868
1994-06-12,1.125801
1994-06-19,0.931049
1994-06-26,0.808357
1994-07-04,0.455071
1994-07-11,0.801432
1994-07-18,1.289835
1994-07-24,1.728613
1994-07-31,1.331625
1994-08-07,1.157836
1994-08-15,1.1948
1994-08-22,1.453853
1994-08-28,1.627652
1994-09-04,1.589203
1994-09-11,1.575964
1994-09-19,1.562868
1994-09-26,1.452519
1994-10-03,1.536561
1994-10-09,1.528577
1994-10-16,1.598458
1994-10-23,1.588905
1994-10-31,1.56941
1994-11-07,2.070895
1994-11-14,1.954019
1994-11-20,1.643047
1994-11-27,1.215291
1994-12-05,0.924841
1994-12-12,0.851182
1994-12-19,1.053676
1994-12-25,1.458063
1995-01-01,1.496643
1995-01-08,1.53172
1995-01-16,1.471283
1995-01-23,1.159343
1995-01-30,0.742288
1995-02-05,0.115305
1995-02-12,0.437041
1995-02-19,0.42841
1995-02-27,0.518519
1995-03-06,0.680894
1995-03-12,0.623383
1995-03-19,0.557345
1995-03-26,0.366612
1995-04-03,0.584183
1995-04-10,0.212886
1995-04-17,0.073395
1995-04-23,0.018497
1995-04-30,0.558115
1995-05-07,0.412197
1995-05-15,-0.104877
1995-05-22,-0.304984
1995-05-29,-0.085606
1995-06-04,0.23573
1995-06-11,0.200422
1995-06-19,-0.079052
1995-06-26,-0.180708
1995-07-03,-0.346823
1995-07-09,-0.435517
1995-07-16,-0.33433
1995-07-23,-0.203762
1995-07-31,-0.125131
1995-08-07,-0.726953
1995-08-14,-0.597734
1995-08-20,-0.320544
1995-08-27,-0.13566
1995-09-03,-0.246174
1995-09-11,-0.073408
1995-09-18,-0.021057
1995-09-24,-0.01543
1995-10-01,0.076576
1995-10-08,-0.175966
1995-10-16,-0.364213
1995-10-23,-0.403386
1995-10-30,-0.593998
1995-11-05,-0.591367
1995-11-12,-0.915703
1995-11-19,-1.384
1995-11-27,-1.541669
1995-12-11,-0.968706
1995-12-17,-0.574593
1995-12-24,-0.220289
1996-01-01,-0.246983
1996-01-07,-0.03068
1996-01-14,0.01944
1996-01-21,-0.104692
1996-01-28,-0.049527
1996-02-04,-0.30588
1996-02-11,-0.288413
1996-02-18,-0.252709
1996-02-25,-0.280866
1996-03-03,-0.243548
1996-03-10,-0.193277
1996-03-17,-0.148673
1996-03-24,-0.206285
1996-03-31,-0.024692
1996-04-07,-0.325189
1996-04-14,-0.574896
1996-04-21,-0.846583
1996-04-28,-1.278562
1996-05-05,-0.966971
1996-05-12,-1.150583
1996-05-19,-0.914879
1996-05-26,-0.608022
1996-06-02,-0.15922
1996-06-09,-0.285329
1996-06-16,-0.435149
