date,pdo
1992-10-04,1.410926
1992-10-11,1.623371
1992-10-18,1.299069
1992-10-25,1.086013
1992-11-01,1.206177
1992-11-08,1.366058
1992-11-15,1.135946
1992-11-22,1.173357
1992-11-29,0.888914
1992-12-06,0.581712
1992-12-13,0.729297
1992-12-20,0.827819
1992-12-27,0.637094
1993-01-04,0.786945
1993-01-11,1.149204
1993-01-17,0.721249
1993-01-24,0.662587
1993-01-31,1.397877
1993-02-08,1.53495
1993-02-15,1.219964
1993-02-22,1.318014
1993-02-28,1.203736
1993-03-07,1.420749
1993-03-15,1.701012
1993-03-22,1.218247
1993-03-29,1.084067
1993-04-04,1.152852
1993-04-11,1.095413
1993-04-18,1.21427
1993-04-26,1.142826
1993-05-03,1.0666
1993-05-10,1.319846
1993-05-16,1.527173
1993-05-23,1.441928
1993-05-30,1.333385
1993-06-07,0.931337
1993-06-14,1.138924
1993-06-21,1.21013
1993-06-27,1.328475
1993-07-04,1.28857
1993-07-12,1.370893
1993-07-19,1.089086
1993-07-26,1.141261
1993-08-01,1.252578
1993-08-08,1.354805
1993-08-15,1.152655
1993-08-23,1.173461
1993-08-30,1.551569
1993-09-06,1.458396
1993-09-12,1.418856
1993-09-19,1.237384
1993-09-26,1.055493
1993-10-04,1.48084
1993-10-11,1.541687
1993-10-17,1.636632
1993-10-24,1.531484
1993-10-31,1.599332
1993-11-08,1.433931
1993-11-15,1.461315
1993-11-22,1.267121
1993-11-28,0.818285
1993-12-05,0.592978
1993-12-12,0.566635
1993-12-20,0.912475
1993-12-27,1.307611
1994-01-03,1.37487
1994-01-09,1.156306
1994-01-16,1.216865
1994-01-24,0.989979
1994-01-31,1.047103
1994-02-07,0.972625
1994-02-13,0.597165
1994-02-20,0.654005
1994-02-27,1.042376
1994-03-07,1.268357
1994-03-14,0.839825
1994-03-21,0.374315
1994-03-27,0.640149
1994-04-03,0.836967
1994-04-10,0.746666
1994-04-18,0.609203
1994-04-25,0.378183
1994-05-01,0.673803
1994-05-08,0.709583
1994-05-15,0.606796
1994-05-23,0.444619
1994-05-30,0.362058
1994-06-06,0.314936
1994-06-12,0.601912
1994-06-19,0.708497
1994-06-26,0.539286
1994-07-04,0.362977
1994-07-11,0.337164
1994-07-18,0.444328
1994-07-24,0.436126
1994-07-31,0.136716
1994-08-07,0.314864
1994-08-15,0.54091
1994-08-22,0.540681
1994-08-28,0.493082
1994-09-04,0.610608
1994-09-11,0.582806
1994-09-19,0.704883
1994-09-26,0.867512
1994-10-03,0.740418
1994-10-09,0.624752
1994-10-16,0.575977
1994-10-23,0.355039
1994-10-31,0.488379
1994-11-07,0.698939
1994-11-14,0.356331
1994-11-20,0.118196
1994-11-27,0.053713
1994-12-05,-0.055028
1994-12-12,-0.389363
1994-12-19,-0.389684
1994-12-25,-0.166703
1995-01-01,-0.031001
1995-01-08,0.147714
1995-01-16,0.200563
1995-01-23,0.479558
1995-01-30,1.016066
1995-02-05,1.459762
1995-02-12,1.42611
1995-02-19,1.3374
1995-02-27,1.224626
1995-03-06,1.438867
1995-03-12,1.102935
1995-03-19,0.687262
1995-03-26,0.572698
1995-04-03,0.606916
1995-04-10,0.450345
1995-04-17,0.636028
1995-04-23,0.993584
1995-04-30,0.995923
1995-05-07,0.624156
1995-05-15,0.675892
1995-05-22,0.609066
1995-05-29,0.598892
1995-06-04,0.491388
1995-06-11,0.377776
1995-06-19,0.573642
1995-06-26,0.771736
1995-07-03,0.502138
1995-07-09,0.461734
1995-07-16,0.447618
1995-07-23,0.475759
1995-07-31,0.494948
1995-08-07,0.301083
1995-08-14,0.337516
