geocode;UF;name_muni;hierarquia
3550308;SP;Arranjo Populacional de São Paulo/SP;Grande Metrópole Nacional
3304557;RJ;Arranjo Populacional do Rio de Janeiro/RJ;Metrópole Nacional
5300108;DF;Arranjo Populacional de Brasília/DF;Metrópole Nacional
3106200;MG;Arranjo Populacional de Belo Horizonte/MG;Metrópole
4314902;RS;Arranjo Populacional de Porto Alegre/RS;Metrópole
4106902;PR;Arranjo Populacional de Curitiba/PR;Metrópole
3509502;SP;Arranjo Populacional de Campinas/SP;Metrópole
2927408;BA;Arranjo Populacional de Salvador/BA;Metrópole
2611606;PE;Arranjo Populacional do Recife/PE;Metrópole
2304400;CE;Arranjo Populacional de Fortaleza/CE;Metrópole
1302603;AM;Manaus;Metrópole
5208707;GO;Arranjo Populacional de Goiânia/GO;Metrópole
3205309;ES;Arranjo Populacional de Vitória/ES;Metrópole
1501402;PA;Arranjo Populacional de Belém/PA;Metrópole
4205407;SC;Arranjo Populacional de Florianópolis/SC;Metrópole
3543402;SP;Arranjo Populacional de Ribeirão Preto/SP;Capital Regional A
2111300;MA;Arranjo Populacional de São Luís/MA;Capital Regional A
2408102;RN;Arranjo Populacional de Natal/RN;Capital Regional A
5103403;MT;Arranjo Populacional de Cuiabá/MT;Capital Regional A
5002704;MS;Campo Grande;Capital Regional A
2507507;PB;Arranjo Populacional de João Pessoa/PB;Capital Regional A
2704302;AL;Arranjo Populacional de Maceió/AL;Capital Regional A
2800308;SE;Arranjo Populacional de Aracaju/SE;Capital Regional A
2211001;PI;Arranjo Populacional de Teresina/PI;Capital Regional A
3549904;SP;Arranjo Populacional de São José dos Campos/SP;Capital Regional B
3552205;SP;Arranjo Populacional de Sorocaba/SP;Capital Regional B
3170206;MG;Uberlândia;Capital Regional B
4208203;SC;Arranjo Populacional de Itajaí - Balneário Camboriú/SC;Capital Regional B
4209102;SC;Arranjo Populacional de Joinville/SC;Capital Regional B
4113700;PR;Arranjo Populacional de Londrina/PR;Capital Regional B
4305108;RS;Arranjo Populacional de Caxias do Sul/RS;Capital Regional B
4115200;PR;Arranjo Populacional de Maringá/PR;Capital Regional B
4202404;SC;Arranjo Populacional de Blumenau/SC;Capital Regional B
3549805;SP;Arranjo Populacional de São José do Rio Preto/SP;Capital Regional B
3136702;MG;Arranjo Populacional de Juiz de Fora/MG;Capital Regional B
1100205;RO;Arranjo Populacional de Porto Velho/RO;Capital Regional B
3506003;SP;Arranjo Populacional de Bauru/SP;Capital Regional B
