epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,28,23.621955625,27.105259375,31.292356875,0.003301875,0.050501875,0.192675625,64.6472,0.996479375,0.998279375,0.999665,52.849574375,71.9634175,87.54283875,7.670399375,7
201002,41,23.532776875,27.420919375,31.882805625,0.000615,0.0405925,0.185575625,51.961,0.997205,0.99912125,1.000813125,49.51224375,69.316415,85.94530625,8.350019375,7
201003,43,23.56255125,26.870180625,31.229983125,0.002645,0.16481875,0.87459125,210.9554,0.99679,0.998913125,1.0005775,57.6439325,75.7208975,89.78932625,7.6674325,7
201004,50,24.033055625,27.681976875,32.303380625,0.0039125,0.115455625,0.5053275,147.7768,0.9948,0.99698625,0.9985325,52.4154325,73.223661875,89.19268875,8.270329375,7
201005,27,24.22862375,28.14542375,32.63136375,0.001381875,0.030823125,0.1504875,39.4564,0.996080625,0.998030625,0.9995375,50.620108125,68.65433875,84.935675625,8.4027325,7
201006,27,24.26887,27.948473125,32.397785625,0.004241875,0.08306,0.33707625,106.3254,0.99456875,0.996555,0.998151875,52.447585625,71.47159,86.51041875,8.128911875,7
201007,46,24.62263875,28.17890625,32.566284375,0.000800625,0.0365375,0.12852625,46.7687,0.99619875,0.99824875,0.999823125,52.23838375,70.527114375,85.8748875,7.94365,7
201008,50,24.823489375,28.79375375,33.603155,0.00022,0.04482875,0.19970375,57.3905,0.995144375,0.9973725,0.999140625,48.799196875,69.018116875,86.309725,8.77966875,7
201009,49,24.07022125,28.97564125,34.487003125,0,0.0033925,0.016941875,4.3507,0.995466875,0.997713125,0.999678125,42.335811875,65.625729375,86.2993275,10.416788125,6
201010,65,24.560201875,29.18792875,34.583410625,0.000331875,0.01589125,0.06384,20.3499,0.995088125,0.9973925,0.99957375,42.626428125,66.389265625,85.275069375,10.023205625,7
