epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,1797,22.5766615187551,25.7189563291331,29.5053142353771,3.34474872609864,22.1355737047293,65.1192357317088,0.951494127089297,0.953926673032069,0.955662756237318,67.1502963868781,83.1348685205774,90.2863863903524,7.16214472907965,7
201002,2518,22.778421522752,25.9371351030447,29.7496678916022,3.41173802027337,22.0339066499616,64.7099985787525,0.951469549949296,0.953932025524608,0.95565352184783,63.7072957790817,80.0021493435053,90.9709032436298,7.18080100195251,7
201003,3121,22.949216921641,26.1392821509144,29.9848096957762,3.41478150867816,21.7328819525563,63.7871457867792,0.95154949506642,0.954026925158207,0.95573685594044,61.7830496574388,78.185037218326,91.5527450884851,7.21724725631108,7
201004,3609,23.0788771416881,26.3119406346716,30.1954699079483,3.36693603588758,21.2701503402811,62.4359707189758,0.951721068374386,0.954199223914974,0.95590041764062,61.0589524511441,77.4197380755414,92.0042539521924,7.26775996891917,7
201005,3986,23.1572316091593,26.4416537162461,30.3663787881675,3.28125844647616,20.6833625409034,60.7417667385294,0.951971375806918,0.954436773777017,0.956131866073839,61.2163985893928,77.4424578456531,92.2977718620256,7.32861561654058,7
201006,4256,23.1741097503207,26.5149645575675,30.4822665964829,3.17080558501846,20.0101692821909,58.789827208627,0.952287523297734,0.954727426726442,0.956418860365567,61.9367825013795,77.9894024591629,92.4056408452586,7.39609067593913,7
201007,4445,23.1164090454095,26.515794397998,30.524508180213,3.05663848739633,19.3141172364255,56.7167959220812,0.952647870114145,0.955050716038295,0.956741533801829,62.811019292933,78.747439972096,92.2646386284164,7.4666937659249,7
201008,4531,22.9679770723476,26.4203823152713,30.4650541764444,2.95634508357324,18.6530202344618,54.6515397001519,0.953058686131139,0.955410674154588,0.957101844288273,63.7884185954561,79.668436370069,91.8672043144387,7.52924043769875,7
201009,4492,22.7284222304365,26.2302200227965,30.3085240616247,2.85860217239067,17.9687511662829,52.492197531745,0.953495468507675,0.955787213150768,0.95748073451509,64.0849465287826,80.0508524260934,91.2070995350662,7.59050074366789,7
201010,4320,22.3965141715164,25.9394092890603,30.0465221826057,2.76641902055911,17.2778029042738,50.2633014137214,0.953944236977392,0.956166220645612,0.957863473418406,63.2398331330992,79.4065497118831,90.3166699120411,7.64295945135931,5
201011,4043,21.9805714190305,25.5595738359998,29.6963020931394,2.66577111601649,16.529418968564,47.8609358197336,0.954404666564034,0.956550072419203,0.958251979190221,61.0699582710243,77.5379274254121,89.2320050033269,7.69545345760883,7
201012,3712,21.4908495932804,25.0999287932758,29.2689148080039,2.55350998900068,15.7260447936607,45.3331737397477,0.954869601831503,0.956935319412871,0.958642156425879,57.9990725048112,74.8116605634236,88.0786349867603,7.74843078843138,7
201013,3349,20.9407175910228,24.5752798202131,28.7826694541814,2.42728251133496,14.856143190589,42.6566049507146,0.955339481693557,0.957325641912605,0.959036677063276,54.7582896323941,71.9109573050871,86.9775458850983,7.80642823999959,7
201014,2956,20.3471832726088,24.0058903336874,28.2612136297266,2.28083822802414,13.8989399449577,39.7849922967374,0.955808536843197,0.957718578804751,0.959432414254511,52.1577621952551,69.6004441551431,86.022216395773,7.87576745233994,7
201015,2538,19.7229356044939,23.4092025040846,27.7263678128931,2.11021081553205,12.8387665784322,36.694569693077,0.956275976075423,0.958117883000637,0.959833460767,50.7993264878382,68.4630638931118,85.2801515798471,7.96544515284083,4
201016,2110,19.0881063755066,22.8071335582955,27.2015462413746,1.93053445415372,11.7400594616159,33.5261528027387,0.956734953420647,0.958519094162291,0.960235559833677,50.9174768097576,68.7183797508142,84.7960170809554,8.07845618316728,5
201017,1706,18.4652119610071,22.2203925235281,26.7053683453104,1.74940883077204,10.6465056323935,30.3884601493248,0.957179861969368,0.958919509023713,0.960636476031959,52.2831530462492,70.1334581920534,84.5824604526964,8.21016512764251,7
201018,1339,17.8730231714939,21.6689517180356,26.2576437773281,1.56945552877997,9.56378857203637,27.2913754847325,0.9576058480033,0.959315294830732,0.961032816997581,54.1705517006699,72.011928515611,84.5801944446677,8.36102974732696,7
201019,1004,17.326627018356,21.1704812024937,25.876531081925,1.38787529430974,8.48150164414109,24.2173875483086,0.958011782018638,0.959705159595368,0.961423862414071,55.6412609141103,73.4613269520117,84.6718285708262,8.53367023752222,6
201020,694,16.8407575263365,20.7417524674035,25.5786659577558,1.20805913756328,7.41736888141152,21.2103367181048,0.958391174854617,0.960083034660412,0.961804361223075,55.9269449376901,73.7550985976037,84.7201422069948,8.72920445466877,7
201021,423,16.4288630347937,20.3979902427624,25.3788423945579,1.0340204951084,6.39378759526686,18.3326186898107,0.958734108387959,0.960439027860891,0.962165226357045,54.7252313160012,72.6218355766862,84.6059171685573,8.9481211603982,5
201022,225,16.1020547824311,20.1507440576853,25.2860827955297,0.86915499162335,5.43505460130519,15.6597259467246,0.959029954378392,0.960761635277757,0.962495677634013,52.3084790990464,70.3308544838344,84.2394125197796,9.1878142837665,7
201023,124,15.8659280932858,20.0046818311974,25.3011648263589,0.717315537308995,4.56051679764281,13.2429110872781,0.959270176748912,0.961040695420106,0.9627859214697,49.3614623078559,67.5378458068578,83.5486029540585,9.44300922959409,6
201024,103,15.7170065827664,19.9536519243097,25.4121679037659,0.58417052424578,3.80304903056656,11.1673197656018,0.95944894785961,0.961268591623047,0.963028341382163,46.7321034193272,65.0368502658477,82.5046069037253,9.70505774759956,2
201025,115,15.6484298406258,19.989470470157,25.6069636719195,0.472765135115268,3.18219791393348,9.48881345653519,0.959562974128912,0.961439919420536,0.9632176141572,45.0531391662315,63.4143206462636,81.0953354913436,9.96888228623955,5
201026,118,15.6607737844997,20.1109774271667,25.8804007810013,0.386080060599441,2.7166425805268,8.26028559873033,0.959605733269763,0.96154510134733,0.96334413069803,44.506611568298,62.8246509869714,79.3363470409349,10.2288823170349,2
201027,100,15.7524038276536,20.3134476995307,26.2223969658264,0.324248314425398,2.41253003792249,7.50315345300044,0.959574338260692,0.961578287015746,0.963401732496098,44.7550319011404,62.9290964713771,77.2712394989347,10.4766083402778,3
201028,73,15.9175576782383,20.5883835459313,26.6202582787554,0.288191709884049,2.27118441800518,7.21878606133437,0.959469118323016,0.961537185657271,0.963387903378512,45.0552734707502,63.0111299715379,74.9654876765935,10.7053388367403,7
