date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,26,31,37,51,72,103,143,175,207
2025-10-12,24,29,35,48,68,98,137,167,199
2025-10-19,24,28,34,47,67,97,135,166,198
2025-10-26,24,28,34,48,69,99,139,170,203
2025-11-02,25,29,36,50,72,104,145,177,211
2025-11-09,26,31,37,52,75,110,153,186,221
2025-11-16,28,32,39,55,79,116,161,197,232
2025-11-23,29,34,42,58,84,122,171,208,245
2025-11-30,31,37,45,62,90,131,183,223,261
2025-12-07,34,40,49,68,98,143,200,244,285
2025-12-14,38,45,54,76,110,160,224,273,320
2025-12-21,43,51,62,86,126,183,257,313,370
2026-01-04,50,60,72,101,147,213,300,365,436
2026-01-11,59,70,85,119,173,250,352,431,517
2026-01-18,70,82,100,140,205,296,417,510,615
2026-01-25,83,98,119,167,243,352,494,605,730
2026-02-01,97,115,141,197,287,418,585,717,863
2026-02-08,114,136,166,233,339,493,689,845,1014
2026-02-15,132,158,194,270,394,574,801,983,1174
2026-02-22,151,180,222,310,451,656,917,1125,1338
2026-03-01,170,204,251,349,509,739,1034,1268,1503
2026-03-08,188,227,280,388,565,820,1148,1407,1664
2026-03-15,205,247,304,422,614,889,1245,1527,1804
2026-03-22,217,262,322,447,648,938,1315,1612,1903
2026-03-29,225,272,333,463,669,969,1359,1666,1966
2026-04-05,231,277,340,472,680,987,1385,1696,2004
2026-04-12,234,280,344,478,687,999,1400,1714,2032
2026-04-19,237,283,348,483,694,1010,1414,1730,2061
2026-04-26,238,285,351,488,701,1021,1427,1745,2089
2026-05-03,238,285,351,488,703,1024,1430,1750,2102
2026-05-10,235,281,347,484,699,1017,1421,1740,2094
2026-05-17,229,274,338,473,686,997,1395,1709,2055
2026-05-24,221,264,326,456,663,964,1349,1654,1984
2026-05-31,209,250,307,431,629,913,1280,1568,1875
2026-06-07,194,231,284,398,582,847,1188,1456,1734
2026-06-14,175,209,256,359,525,765,1076,1319,1566
2026-06-21,154,184,226,317,464,678,956,1174,1396
2026-06-28,135,162,198,278,408,598,845,1042,1243
2026-07-05,117,142,173,244,358,527,748,927,1113
2026-07-12,102,124,153,215,317,468,666,830,1003
2026-07-19,90,110,135,191,283,418,597,747,907
2026-07-26,80,97,120,171,254,376,539,675,821
2026-08-02,71,86,108,153,229,340,488,610,744
2026-08-09,64,77,97,138,207,308,445,554,675
2026-08-16,58,70,87,125,188,281,407,505,613
2026-08-23,52,63,79,114,172,258,373,462,559
2026-08-30,48,58,72,104,157,237,343,424,513
2026-09-06,44,53,66,96,145,220,318,393,475
2026-09-13,41,49,61,89,135,205,298,369,446
2026-09-20,38,47,58,84,128,195,283,352,425
2026-09-27,36,45,55,81,123,188,273,339,410
2026-10-04,36,44,54,79,121,185,267,331,400
