date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,22,26,32,43,64,91,125,152,180
2025-10-12,21,26,31,43,64,92,127,156,185
2025-10-19,21,25,31,43,63,93,129,159,188
2025-10-26,21,26,31,44,65,96,134,165,196
2025-11-02,22,27,32,46,68,101,143,176,210
2025-11-09,22,27,33,47,69,104,148,182,217
2025-11-16,21,26,32,46,67,102,145,178,213
2025-11-23,21,25,31,45,65,99,141,174,207
2025-11-30,21,25,32,45,67,102,145,180,215
2025-12-07,22,26,33,47,71,106,151,189,228
2025-12-14,22,26,33,47,72,109,156,195,236
2025-12-21,22,27,35,49,75,114,166,208,249
2026-01-04,26,32,40,58,88,134,194,246,296
2026-01-11,31,38,48,70,107,163,237,301,366
2026-01-18,36,44,55,81,123,187,275,348,426
2026-01-25,40,48,61,90,134,207,306,386,472
2026-02-01,45,55,69,101,151,235,346,439,535
2026-02-08,51,63,79,116,175,270,396,505,619
2026-02-15,57,70,88,129,195,299,440,558,690
2026-02-22,60,73,92,135,206,316,464,587,727
2026-03-01,64,78,99,144,220,337,494,625,770
2026-03-08,73,89,112,162,250,381,555,707,867
2026-03-15,84,102,129,185,288,437,635,809,992
2026-03-22,93,113,142,205,318,485,705,895,1095
2026-03-29,100,123,154,223,344,528,770,973,1184
2026-04-05,111,137,170,248,380,586,855,1081,1307
2026-04-12,124,153,191,278,426,656,956,1210,1462
2026-04-19,134,165,206,301,462,711,1037,1307,1582
2026-04-26,138,171,214,313,479,740,1081,1356,1636
2026-05-03,141,175,218,321,490,758,1110,1391,1668
2026-05-10,146,180,225,330,507,782,1144,1437,1717
2026-05-17,148,182,228,333,515,792,1156,1453,1739
2026-05-24,144,177,222,324,502,771,1124,1412,1692
2026-05-31,137,167,210,307,475,731,1066,1336,1601
2026-06-07,132,161,202,296,456,704,1027,1289,1541
2026-06-14,130,158,198,290,449,691,1009,1269,1519
2026-06-21,126,153,193,282,437,672,982,1235,1481
2026-06-28,118,144,181,265,410,632,927,1162,1396
2026-07-05,110,134,168,247,381,591,871,1091,1311
2026-07-12,105,127,160,236,364,566,837,1049,1265
2026-07-19,100,122,153,226,352,546,809,1017,1234
2026-07-26,93,114,143,212,331,513,764,959,1172
2026-08-02,85,104,132,195,305,475,712,893,1096
2026-08-09,79,97,123,183,286,446,672,846,1042
2026-08-16,75,92,117,175,276,429,647,819,1012
2026-08-23,70,86,110,164,261,405,610,776,964
2026-08-30,63,78,99,149,236,369,556,709,883
2026-09-06,57,70,89,135,213,335,506,645,807
2026-09-13,53,65,84,127,201,316,480,614,769
2026-09-20,50,62,80,121,194,304,462,595,743
2026-09-27,46,58,75,114,183,286,435,562,701
2026-10-04,42,53,69,105,169,266,406,525,655
