date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,40,52,71,120,220,384,643,874,1129
2025-10-12,32,42,58,101,187,339,576,792,1034
2025-10-19,31,41,57,101,192,361,625,868,1148
2025-10-26,28,38,53,95,183,340,594,831,1094
2025-11-02,27,37,52,95,185,349,621,877,1187
2025-11-09,24,32,46,86,170,333,600,857,1151
2025-11-16,24,32,46,85,172,338,616,882,1211
2025-11-23,22,30,44,83,169,334,618,895,1228
2025-11-30,21,28,41,80,164,327,612,891,1246
2025-12-07,20,28,40,78,163,332,633,926,1296
2025-12-14,19,26,39,76,159,327,625,921,1308
2025-12-21,19,26,38,76,161,335,650,961,1369
2026-01-04,18,25,37,73,155,327,639,948,1357
2026-01-11,18,25,37,74,157,335,659,979,1420
2026-01-18,17,23,35,70,151,325,647,964,1390
2026-01-25,16,23,34,69,149,325,649,967,1416
2026-02-01,16,22,33,68,147,322,647,964,1397
2026-02-08,15,21,32,66,143,317,637,951,1393
2026-02-15,15,21,31,64,140,313,632,946,1374
2026-02-22,14,20,30,62,135,303,613,922,1338
2026-03-01,13,19,29,60,132,296,598,904,1311
2026-03-08,13,18,28,58,126,284,575,875,1264
2026-03-15,12,17,27,55,121,273,553,844,1221
2026-03-22,12,17,25,53,116,260,529,813,1166
2026-03-29,11,16,24,50,110,246,499,770,1111
2026-04-05,10,15,23,47,104,232,476,734,1049
2026-04-12,10,14,21,44,99,219,447,691,995
2026-04-19,9,13,20,42,93,206,422,656,934
2026-04-26,8,12,19,39,88,192,396,614,883
2026-05-03,8,12,18,37,84,183,376,585,841
2026-05-10,7,11,17,34,78,170,351,547,790
2026-05-17,7,10,16,33,74,162,332,517,755
2026-05-24,7,10,15,31,72,156,322,500,736
2026-05-31,6,9,14,29,67,146,300,466,691
2026-06-07,6,9,14,28,66,144,297,462,693
2026-06-14,6,8,13,27,63,139,283,441,663
2026-06-21,5,8,12,26,61,135,278,433,660
2026-06-28,5,8,12,25,59,133,272,422,640
2026-07-05,5,8,12,25,58,131,269,420,643
2026-07-12,5,7,11,24,56,129,267,415,629
2026-07-19,5,7,11,24,56,129,268,417,637
2026-07-26,5,7,11,24,56,130,273,426,643
2026-08-02,5,7,11,23,54,126,266,414,627
2026-08-09,5,7,11,24,56,132,279,438,655
2026-08-16,4,7,10,22,54,126,270,423,631
2026-08-23,4,7,10,23,54,129,277,441,656
2026-08-30,4,7,10,22,53,127,274,434,638
2026-09-06,4,7,10,22,54,128,277,444,658
2026-09-13,4,6,10,22,53,126,274,438,640
2026-09-20,4,6,10,22,53,126,275,442,655
2026-09-27,4,6,10,21,52,124,273,439,646
2026-10-04,4,6,10,21,52,123,270,434,644
