date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,75,91,112,163,247,374,543,684,831
2025-10-12,69,84,104,152,231,352,517,653,795
2025-10-19,65,79,98,143,220,337,498,630,767
2025-10-26,62,75,94,138,213,328,487,616,752
2025-11-02,60,73,92,136,210,325,485,613,750
2025-11-09,60,73,92,136,211,328,492,624,762
2025-11-16,60,73,93,137,213,333,501,637,778
2025-11-23,60,73,94,139,216,337,509,646,791
2025-11-30,60,74,95,140,219,342,514,654,803
2025-12-07,61,75,96,143,223,348,523,666,818
2025-12-14,62,76,98,145,227,355,531,678,831
2025-12-21,62,77,99,147,230,360,536,682,839
2026-01-04,63,79,101,150,234,366,543,688,847
2026-01-11,64,81,103,154,239,374,555,702,862
2026-01-18,66,83,105,158,246,383,570,722,882
2026-01-25,69,86,108,163,253,392,585,739,902
2026-02-01,71,88,112,168,262,403,602,759,930
2026-02-08,75,92,117,175,274,419,627,793,973
2026-02-15,79,97,122,183,288,440,660,840,1029
2026-02-22,83,102,129,193,302,463,693,885,1088
2026-03-01,87,107,135,202,317,486,724,924,1141
2026-03-08,92,112,143,212,332,512,762,972,1201
2026-03-15,96,118,150,223,348,541,804,1027,1267
2026-03-22,100,123,156,231,359,563,837,1068,1315
2026-03-29,102,125,160,236,366,577,855,1087,1342
2026-04-05,103,127,162,239,370,584,866,1098,1358
2026-04-12,104,128,163,241,374,589,879,1117,1376
2026-04-19,105,129,164,242,377,592,888,1134,1392
2026-04-26,105,128,163,242,377,589,885,1131,1391
2026-05-03,104,127,162,241,376,585,878,1120,1385
2026-05-10,104,127,162,240,377,585,877,1118,1387
2026-05-17,104,127,161,241,378,587,880,1122,1392
2026-05-24,104,126,160,240,377,586,875,1118,1389
2026-05-31,102,125,158,237,372,580,859,1097,1368
2026-06-07,100,122,154,231,365,569,840,1071,1337
2026-06-14,97,119,150,225,356,555,821,1049,1303
2026-06-21,95,115,146,219,346,540,801,1025,1266
2026-06-28,92,112,141,212,334,523,775,991,1222
2026-07-05,89,108,137,205,324,507,753,959,1182
2026-07-12,87,106,134,201,317,496,741,943,1157
2026-07-19,85,105,132,198,311,490,735,934,1143
2026-07-26,83,103,130,195,306,483,727,920,1127
2026-08-02,81,100,128,191,300,476,715,901,1111
2026-08-09,79,98,125,189,296,471,707,891,1102
2026-08-16,77,96,123,186,292,466,702,890,1098
2026-08-23,75,93,120,183,287,458,692,882,1087
2026-08-30,72,90,117,178,280,447,674,862,1066
2026-09-06,70,87,113,173,273,435,655,841,1042
2026-09-13,68,84,110,168,265,424,639,826,1022
2026-09-20,66,82,106,164,258,412,625,812,1002
2026-09-27,64,79,103,158,250,400,606,788,976
2026-10-04,62,77,99,153,242,387,587,763,949
