date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,8,9,11,15,20,29,39,46,54
2025-10-12,7,9,11,15,20,29,39,47,55
2025-10-19,8,9,11,15,21,30,41,49,57
2025-10-26,8,9,11,15,22,31,43,51,60
2025-11-02,8,10,12,16,23,33,45,54,64
2025-11-09,9,10,12,17,24,34,47,57,67
2025-11-16,9,10,13,17,25,35,49,59,69
2025-11-23,9,11,13,18,26,37,51,62,73
2025-11-30,10,12,14,19,28,40,55,66,78
2025-12-07,11,13,16,22,32,45,63,76,89
2025-12-14,13,16,19,26,38,54,75,91,107
2025-12-21,17,20,24,33,47,67,93,113,133
2026-01-04,21,25,30,41,59,84,117,142,168
2026-01-11,26,31,37,51,73,105,146,178,210
2026-01-18,32,37,45,62,90,128,178,217,257
2026-01-25,38,45,55,76,108,155,215,261,310
2026-02-01,45,53,64,89,128,182,253,306,363
2026-02-08,52,61,74,103,148,211,292,353,419
2026-02-15,59,70,85,118,169,241,333,403,477
2026-02-22,66,78,96,133,191,272,377,456,538
2026-03-01,75,88,107,149,214,306,425,515,607
2026-03-08,84,99,121,168,241,343,478,581,683
2026-03-15,93,111,134,186,267,381,532,647,761
2026-03-22,103,122,148,204,293,420,586,713,838
2026-03-29,111,132,160,220,316,453,633,768,904
2026-04-05,117,140,169,234,335,481,673,815,960
2026-04-12,123,146,177,245,351,505,704,853,1006
2026-04-19,126,150,182,251,360,519,722,873,1031
2026-04-26,127,151,183,253,364,523,727,879,1036
2026-05-03,125,148,179,248,357,515,712,862,1014
2026-05-10,119,141,171,238,342,492,679,824,967
2026-05-17,111,132,160,222,320,460,634,770,902
2026-05-24,102,120,146,203,293,420,579,703,823
2026-05-31,91,108,131,182,262,376,518,629,737
2026-06-07,81,95,116,161,232,332,458,556,653
2026-06-14,71,84,101,141,203,290,400,485,571
2026-06-21,62,73,88,123,177,254,350,425,501
2026-06-28,54,64,77,107,155,223,308,374,441
2026-07-05,47,56,68,94,136,196,272,330,390
2026-07-12,41,49,59,83,120,173,240,293,346
2026-07-19,36,42,52,73,105,152,212,258,306
2026-07-26,31,37,45,63,91,133,185,225,266
2026-08-02,26,31,38,54,79,115,159,194,229
2026-08-09,22,26,33,46,67,98,136,165,195
2026-08-16,18,22,27,39,56,82,114,138,163
2026-08-23,15,18,23,32,47,68,95,115,136
2026-08-30,13,15,19,27,39,57,79,96,113
2026-09-06,11,13,16,23,33,48,67,81,96
2026-09-13,9,11,14,20,29,42,58,71,83
2026-09-20,8,10,12,18,26,38,53,64,75
2026-09-27,8,9,12,17,24,35,50,61,71
2026-10-04,8,9,11,16,24,34,48,60,70
