date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,36,44,55,80,124,186,274,349,432
2025-10-12,34,42,52,77,119,181,268,343,426
2025-10-19,33,41,51,75,117,180,267,343,427
2025-10-26,33,40,51,75,118,182,272,349,433
2025-11-02,33,40,52,77,120,187,280,360,445
2025-11-09,34,41,53,79,123,194,292,374,460
2025-11-16,35,42,54,81,128,203,306,391,478
2025-11-23,36,44,57,85,134,214,323,412,501
2025-11-30,38,47,60,89,141,226,341,434,528
2025-12-07,40,49,63,94,149,239,360,458,558
2025-12-14,42,52,66,99,158,253,381,485,591
2025-12-21,44,56,71,106,168,270,407,517,632
2026-01-04,48,60,76,114,181,290,436,556,681
2026-01-11,51,65,82,124,195,312,470,601,735
2026-01-18,55,70,88,133,210,334,504,644,789
2026-01-25,58,73,93,140,222,350,529,679,831
2026-02-01,61,76,97,147,231,364,550,708,868
2026-02-08,63,78,100,152,240,377,567,732,902
2026-02-15,65,80,102,156,247,386,580,749,926
2026-02-22,66,81,104,160,253,395,592,766,949
2026-03-01,67,83,107,164,260,407,610,788,980
2026-03-08,69,86,111,170,270,424,634,819,1022
2026-03-15,71,88,114,176,280,441,661,854,1067
2026-03-22,73,91,118,181,288,457,688,889,1110
2026-03-29,74,92,120,185,295,469,711,920,1147
2026-04-05,75,94,122,187,300,479,730,946,1179
2026-04-12,76,95,123,189,303,486,744,965,1204
2026-04-19,76,95,122,187,303,485,746,967,1210
2026-04-26,76,94,120,184,300,480,740,957,1198
2026-05-03,74,92,118,180,296,472,730,942,1181
2026-05-10,73,90,115,177,290,462,716,924,1157
2026-05-17,71,88,112,173,283,452,699,904,1130
2026-05-24,69,86,110,169,276,441,683,884,1103
2026-05-31,67,84,108,165,270,432,668,864,1078
2026-06-07,66,82,105,161,263,424,653,847,1056
2026-06-14,64,80,103,158,258,416,639,830,1039
2026-06-21,62,77,100,153,250,406,620,807,1012
2026-06-28,60,74,96,147,240,390,596,776,974
2026-07-05,58,71,92,142,230,375,574,745,940
2026-07-12,56,69,89,137,222,362,554,719,910
2026-07-19,54,67,86,134,215,352,536,695,881
2026-07-26,53,66,84,131,210,342,521,675,856
2026-08-02,52,64,82,128,204,333,508,658,835
2026-08-09,50,62,80,124,199,324,495,641,813
2026-08-16,49,61,78,121,194,316,482,629,795
2026-08-23,48,59,76,118,190,310,474,620,782
2026-08-30,47,58,75,115,187,305,466,611,771
2026-09-06,47,58,74,113,186,303,462,608,766
2026-09-13,46,57,73,112,186,303,464,610,771
2026-09-20,46,57,74,112,186,304,468,616,778
2026-09-27,46,57,74,113,187,307,474,625,787
2026-10-04,46,58,75,115,189,310,483,635,798
