date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,21,27,36,58,99,172,278,368,472
2025-10-12,21,27,37,60,104,182,296,394,511
2025-10-19,22,29,39,64,112,197,321,429,561
2025-10-26,23,31,42,69,122,216,354,475,623
2025-11-02,25,33,45,75,134,236,388,525,690
2025-11-09,27,35,48,81,144,255,420,572,754
2025-11-16,28,37,50,85,152,270,446,611,808
2025-11-23,29,38,52,89,160,284,470,646,856
2025-11-30,31,40,55,94,168,300,499,685,908
2025-12-07,32,43,58,100,179,320,536,736,972
2025-12-14,34,45,62,106,190,340,575,789,1040
2025-12-21,36,47,64,111,198,355,606,832,1095
2026-01-04,37,48,66,113,202,363,622,856,1128
2026-01-11,37,49,67,114,203,366,629,866,1145
2026-01-18,38,49,68,114,205,369,636,875,1157
2026-01-25,38,50,68,115,207,373,643,885,1169
2026-02-01,38,50,68,115,207,375,645,889,1173
2026-02-08,37,49,67,113,204,368,633,874,1153
2026-02-15,35,47,64,108,195,351,604,834,1102
2026-02-22,33,44,60,101,183,330,565,781,1033
2026-03-01,31,41,56,95,171,310,528,729,965
2026-03-08,29,38,53,89,160,291,495,683,901
2026-03-15,27,36,49,83,150,273,464,640,842
2026-03-22,25,33,45,76,139,253,431,593,780
2026-03-29,22,29,41,69,126,230,392,538,711
2026-04-05,20,26,37,62,113,206,351,480,636
2026-04-12,17,23,32,55,100,183,312,426,565
2026-04-19,16,21,29,49,90,164,279,381,504
2026-04-26,14,19,26,44,80,147,250,342,453
2026-05-03,13,16,23,39,72,131,223,306,403
2026-05-10,11,14,20,34,63,116,197,269,353
2026-05-17,10,13,17,30,55,101,171,234,306
2026-05-24,8,11,15,26,48,89,150,205,267
2026-05-31,8,10,14,24,43,80,135,185,239
2026-06-07,7,9,13,22,40,73,124,172,222
2026-06-14,7,9,12,20,37,68,117,161,208
2026-06-21,6,8,11,19,35,64,110,151,196
2026-06-28,6,8,11,18,33,60,103,142,184
2026-07-05,5,7,10,17,31,56,98,134,174
2026-07-12,5,7,10,16,30,54,94,128,167
2026-07-19,5,7,9,16,29,53,92,125,163
2026-07-26,5,7,9,16,28,52,90,122,160
2026-08-02,5,7,9,16,28,51,89,120,158
2026-08-09,5,7,9,15,28,51,88,120,157
2026-08-16,5,7,9,16,29,52,89,122,160
2026-08-23,5,7,9,16,30,54,93,127,166
2026-08-30,6,7,10,17,31,57,98,135,176
2026-09-06,6,8,11,18,33,61,105,145,188
2026-09-13,6,8,11,20,36,66,112,155,202
2026-09-20,7,9,12,21,39,71,122,167,219
2026-09-27,7,10,13,23,43,77,133,183,241
2026-10-04,8,11,15,26,47,86,147,202,267
