date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,8,11,15,30,59,119,221,320,430
2025-10-12,8,11,16,32,65,133,252,369,497
2025-10-19,9,12,18,35,72,149,287,423,576
2025-10-26,10,13,20,39,80,168,327,483,669
2025-11-02,11,15,22,44,91,190,373,553,778
2025-11-09,11,16,24,48,102,216,430,639,910
2025-11-16,13,18,27,55,117,249,500,747,1072
2025-11-23,14,21,31,62,133,286,577,861,1242
2025-11-30,16,23,35,70,150,324,656,983,1419
2025-12-07,18,26,40,79,170,368,744,1121,1613
2025-12-14,21,30,45,90,195,422,853,1297,1866
2025-12-21,24,35,53,105,230,497,1006,1545,2233
2026-01-04,29,42,64,126,277,598,1213,1876,2736
2026-01-11,34,51,77,153,336,724,1476,2286,3375
2026-01-18,42,62,93,185,407,880,1799,2781,4141
2026-01-25,51,76,112,224,495,1074,2202,3386,5053
2026-02-01,62,92,137,274,604,1318,2707,4142,6133
2026-02-08,77,113,167,336,741,1631,3345,5106,7454
2026-02-15,95,138,204,413,911,2019,4130,6300,9069
2026-02-22,116,165,247,503,1110,2469,5038,7694,10986
2026-03-01,139,196,294,605,1336,2973,6041,9263,13212
2026-03-08,162,227,344,712,1577,3502,7083,10913,15678
2026-03-15,184,257,392,818,1816,4017,8101,12546,18234
2026-03-22,203,283,435,911,2030,4468,8993,13989,20609
2026-03-29,216,304,468,982,2193,4806,9649,15068,22479
2026-04-05,221,314,484,1015,2269,4964,9933,15546,23462
2026-04-12,215,310,478,1000,2237,4893,9762,15282,23230
2026-04-19,201,293,453,944,2110,4621,9190,14393,21918
2026-04-26,181,266,412,854,1905,4187,8311,13009,19727
2026-05-03,156,232,360,743,1656,3655,7259,11346,17058
2026-05-10,130,196,303,625,1390,3087,6148,9592,14244
2026-05-17,105,159,246,507,1124,2518,5038,7848,11488
2026-05-24,81,124,192,398,881,1992,4014,6238,9007
2026-05-31,61,93,145,305,674,1537,3126,4844,6935
2026-06-07,45,69,108,230,510,1171,2405,3723,5328
2026-06-14,33,50,80,173,385,890,1844,2861,4119
2026-06-21,25,37,59,130,292,677,1414,2200,3201
2026-06-28,18,27,44,98,223,517,1085,1700,2497
2026-07-05,14,21,33,73,170,395,833,1313,1942
2026-07-12,10,16,25,55,130,305,647,1027,1518
2026-07-19,8,12,19,43,102,241,518,828,1220
2026-07-26,7,10,15,34,83,199,437,707,1034
2026-08-02,5,8,13,29,72,174,392,642,934
2026-08-09,5,7,11,26,65,160,366,605,884
2026-08-16,4,6,10,23,59,148,344,574,850
2026-08-23,4,6,9,21,54,138,322,541,815
2026-08-30,3,5,9,20,51,131,308,523,801
2026-09-06,3,5,8,19,50,130,306,521,811
2026-09-13,3,5,8,20,51,133,317,541,852
2026-09-20,3,5,9,21,54,141,339,580,918
2026-09-27,4,6,9,22,57,152,369,633,1005
2026-10-04,4,6,10,24,63,166,409,706,1122
