date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,2,3,6,12,24,46,71,94
2025-10-12,1,2,2,5,10,22,44,67,98
2025-10-19,1,2,3,5,11,24,48,73,108
2025-10-26,1,2,3,5,11,25,50,78,114
2025-11-02,1,1,2,5,10,22,47,72,111
2025-11-09,1,2,2,5,10,23,47,74,105
2025-11-16,1,1,2,4,9,21,43,67,98
2025-11-23,1,1,2,4,9,20,42,66,99
2025-11-30,1,1,2,4,10,22,45,71,104
2025-12-07,1,1,2,4,9,20,43,68,106
2025-12-14,1,1,2,4,9,20,44,69,103
2025-12-21,1,1,2,4,8,19,41,66,97
2026-01-04,1,1,1,3,7,17,37,60,90
2026-01-11,1,1,2,3,8,19,39,62,90
2026-01-18,1,1,1,3,7,17,37,59,90
2026-01-25,1,1,1,3,7,17,38,60,91
2026-02-01,1,1,1,3,7,17,38,61,89
2026-02-08,1,1,1,3,6,15,34,55,85
2026-02-15,1,1,1,3,7,16,36,57,85
2026-02-22,1,1,1,3,6,16,35,56,86
2026-03-01,1,1,1,3,6,16,36,57,89
2026-03-08,1,1,1,3,7,17,38,61,90
2026-03-15,1,1,1,3,6,16,36,57,88
2026-03-22,1,1,1,3,7,17,37,60,87
2026-03-29,1,1,1,3,7,17,37,61,89
2026-04-05,1,1,1,3,7,17,38,62,95
2026-04-12,1,1,1,3,8,19,42,70,104
2026-04-19,1,1,1,3,7,18,42,70,107
2026-04-26,1,1,1,3,8,19,44,72,107
2026-05-03,1,1,1,3,8,20,45,74,108
2026-05-10,1,1,1,3,8,19,45,74,112
2026-05-17,1,1,2,3,9,22,50,83,124
2026-05-24,1,1,2,4,9,22,53,88,136
2026-05-31,1,1,2,4,9,23,55,90,143
2026-06-07,1,1,2,4,10,25,57,94,144
2026-06-14,1,1,2,4,9,23,55,90,140
2026-06-21,1,1,2,4,10,25,57,94,141
2026-06-28,1,1,2,4,10,25,59,97,148
2026-07-05,1,1,2,4,10,25,61,100,158
2026-07-12,1,1,2,4,11,27,64,105,165
2026-07-19,1,1,2,4,10,26,61,102,163
2026-07-26,1,1,2,4,10,26,60,100,155
2026-08-02,1,1,2,4,10,26,59,98,148
2026-08-09,1,1,2,4,10,24,58,95,148
2026-08-16,1,1,2,4,10,26,60,100,153
2026-08-23,1,1,2,4,10,25,59,99,156
2026-08-30,1,1,2,4,9,24,58,97,153
2026-09-06,1,1,2,4,9,24,56,95,146
2026-09-13,1,1,1,3,9,22,53,89,138
2026-09-20,1,1,1,3,9,23,53,89,136
2026-09-27,1,1,1,3,9,23,53,89,138
2026-10-04,1,1,1,3,8,22,52,87,139
