"","Data","prev_med","LB_95","UB_95","LB_90","UB_90","LB_80","UB_80","LB_50","UB_50"
"16",202241,302.934790353482,16.4130284960214,1294.65871968749,42.1333582250135,807.445165914511,78.9159845417034,1042.28248248504,162.824854358596,517.736270313637
"17",202242,337.139300248799,22.5681311914446,1459.05752959174,50.3708015485438,903.949057221236,90.3391077938927,1170.79702877237,182.21145948288,577.119094214536
"18",202243,346.129241440426,21.5873898050175,1536.94031418377,49.8500188487291,943.793479779545,90.6807274847573,1228.20337025869,185.214997812788,597.829011778868
"19",202244,351.672517913046,19.8246419765994,1602.55516789069,48.3188402093644,975.551691776258,89.6775998752734,1275.46965139382,186.092927693037,613.083210699989
"20",202245,413.450886217932,32.767740073525,1885.66167061354,65.018244713613,1143.32100845334,112.038412256808,1497.59190879474,222.368472393118,717.796512794492
"21",202246,435.897402377504,35.2323980431224,2023.64810526675,68.7421095835189,1218.54035134789,117.806019801653,1601.92269483755,233.64864122767,760.743879604146
"22",202247,536.299138745484,56.8781920884396,2480.83414003137,96.4847139627608,1489.55566948402,154.710546941505,1960.60097909184,293.001339509417,930.216829473536
"23",202248,575.360513103386,62.8554107664824,2700.71641778783,104.699787793651,1611.78758336282,166.453517417876,2128.19880555545,313.954616385702,1001.84016460946
"24",202249,671.821806121192,82.2140502921637,3169.28082356445,129.81398500131,1883.57180457136,200.321318860907,2492.13511484422,369.642607739122,1168.4302714184
"25",202250,728.807046130327,91.7442448272274,3482.48624533285,142.622503446354,2058.41850560047,218.252052571324,2731.23415988971,400.814517948192,1271.60784102177
"26",202251,672.912554785322,75.3817820709697,3306.24784564586,122.610730970606,1938.51877612103,193.052889354061,2583.58050279101,363.935948321092,1187.66442761472
"27",202252,516.127642998097,37.2362042117911,2666.13066243474,74.7131220545719,1544.83620875497,130.79092644351,2072.78054448491,267.473458838284,933.035892351205
"28",202301,1180.22663998554,180.134697511956,5750.68634583803,257.655225444547,3357.68420646145,374.010971466357,4482.57040056244,658.902760880344,2059.67095419104
"29",202302,1510.76293409773,246.50496543049,7387.79235137282,343.605796617286,4299.16384669752,489.784177238789,5748.79018634994,849.256435658014,2633.25218813461
"30",202303,1743.52300366441,290.137901597535,8611.21993306312,400.782002776437,4989.02879098454,567.824295091552,6686.53994392264,980.32467200177,3045.88489286515
"31",202304,1906.46737234615,318.002004111604,9531.320607771,437.905447368633,5496.02928020151,619.422846934193,7384.42191092121,1069.47165580826,3342.50439614736
"32",202305,2155.3414132751,362.812855808412,10890.5436432807,497.016816686344,6252.50536477985,700.71792125279,8419.96920064323,1207.71990889244,3789.64399474635
"33",202306,2331.84356677118,391.849356073348,11923.7285262695,535.953836704412,6814.89415176286,755.235525440214,9199.20191046054,1303.04366387033,4115.02429720031
"34",202307,2656.88902958259,449.873624475203,13722.1525513006,612.573249214784,7810.91914257448,860.752724740833,10566.1836236599,1482.96692576159,4701.38719119235
"35",202308,2834.14262966109,477.436039884499,14809.3447179302,649.905199855775,8393.66227528535,913.601988419687,11380.3750832109,1576.99047375849,5033.71608599511
"36",202309,3383.5971783322,576.784696453025,17831.0338494428,780.751417673247,10069.5885777349,1093.3077929478,13678.518044221,1882.21214618162,6022.17482586859
