"","Data","prev_med","LB_95","UB_95","LB_90","UB_90","LB_80","UB_80","LB_50","UB_50"
"16",202141,830.925484606929,219.885734776444,2609.16194026687,279.822723581154,1771.78487255252,362.992446727517,2181.64931713329,544.561521272029,1244.51441684012
"17",202142,826.736844889528,210.194952201102,2668.7142346501,269.874066008554,1795.62569322509,353.064749409796,2221.98269249819,535.890286422836,1250.61220152797
"18",202143,884.831164613245,221.519395074955,2916.59071785505,284.917782896151,1947.58148898133,373.677080991781,2419.73919078494,569.976510611017,1347.65138394022
"19",202144,887.949747286806,214.971481377779,2998.83516721754,278.52053856303,1986.19532607245,367.858733535561,2478.57792041986,566.630175035668,1364.14719842503
"20",202145,958.071210730908,229.781940489426,3294.71192787606,297.763190241221,2167.56030549573,393.708892444571,2714.52561333955,608.409051030502,1480.32239332493
"21",202146,915.114330319104,209.636736276894,3227.95493199396,274.76356846109,2106.42174828173,367.026353607002,2649.61920084874,574.618269231029,1427.46694036878
"22",202147,880.565741837964,192.994172742407,3181.66654328505,255.798109017322,2060.25895438729,345.089775979633,2602.40102377674,547.050310315409,1385.98827438556
"23",202148,845.177926311205,176.905955419569,3126.22643139735,237.329047290064,2009.31803969988,323.530873757217,2548.3379346154,519.48087161674,1342.11282917328
"24",202149,865.915335328328,177.690667656117,3259.82639567068,239.313007771525,2082.36286071456,327.514806001121,2649.65124723619,528.974007296776,1383.35610724564
"25",202150,877.575206978381,176.007365818067,3362.41949908232,238.23788260784,2134.97181054899,327.590755636458,2725.3880905671,532.618328794744,1410.63167442449
"26",202151,737.260699858405,132.329341167173,2917.29207342338,185.50636871637,1835.99534772346,262.090477310133,2355.30592777699,438.594551506226,1201.54580577721
"27",202152,601.316224353779,91.3975286298244,2469.75338220328,135.835401118482,1539.37758008176,200.019014849106,1985.54120462492,348.569948345612,996.472129610621
"28",202201,811.538420767512,144.830743755316,3293.78249557472,202.449603785435,2053.14028335853,285.90253452472,2647.24212607927,479.83698839322,1332.99290864116
"29",202202,848.353030252002,150.837779770975,3485.47851447784,210.636199354837,2162.70217822724,297.477617090901,2795.2629212438,500.076015342097,1398.76590130907
"30",202203,888.397314265375,157.572173613707,3692.83692466,219.739238685829,2281.27721570466,310.254314115173,2955.3936853741,522.223235563143,1470.06231045492
"31",202204,937.877893051544,166.624192163765,3940.10795923381,231.738295080725,2423.99122067452,326.780613205637,3147.10935354325,550.163298178514,1556.79995149365
