lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,0,24,94,267,189,352,2021-10-11
0,0,0,0,31,106,297,211,391,2021-10-18
0,0,0,0,36,117,323,229,425,2021-10-25
0,0,0,0,44,131,355,253,467,2021-11-01
0,0,0,0,50,143,383,273,504,2021-11-08
0,0,0,0,61,162,425,304,557,2021-11-15
0,0,0,8,75,186,477,343,624,2021-11-22
0,0,0,15,88,207,522,377,682,2021-11-29
0,0,0,21,98,225,562,407,733,2021-12-06
0,0,0,25,105,236,585,424,763,2021-12-13
0,0,0,34,120,262,640,466,833,2021-12-20
0,0,0,36,125,269,656,478,854,2021-12-27
0,0,8,69,178,357,837,616,1083,2022-01-03
0,0,9,70,181,362,847,624,1096,2022-01-10
0,0,14,79,194,385,894,660,1155,2022-01-17
0,0,16,82,199,393,911,673,1176,2022-01-24
0,0,19,86,206,404,934,690,1206,2022-01-31
0,0,19,86,207,406,937,693,1209,2022-02-07
0,0,21,90,212,414,955,706,1232,2022-02-14
0,0,22,91,215,418,963,712,1242,2022-02-21
0,0,25,95,222,430,988,731,1274,2022-02-28
0,0,20,89,211,413,953,704,1229,2022-03-07
0,0,14,78,194,384,894,659,1156,2022-03-14
0,0,7,68,178,358,841,618,1088,2022-03-21
0,0,5,65,172,349,824,605,1067,2022-03-28
0,0,3,61,166,340,805,590,1043,2022-04-04
0,0,1,59,162,333,791,580,1027,2022-04-11
0,0,0,53,153,318,761,557,989,2022-04-18
0,0,0,50,149,311,748,547,973,2022-04-25
0,0,0,43,137,293,711,518,926,2022-05-02
0,0,0,43,137,293,713,519,929,2022-05-09
0,0,0,36,126,274,674,490,880,2022-05-16
0,0,0,36,126,274,675,490,882,2022-05-23
0,0,0,32,119,264,654,474,856,2022-05-30
0,0,0,31,117,260,647,469,847,2022-06-06
0,0,0,29,115,257,641,464,840,2022-06-13
0,0,0,24,107,244,614,443,806,2022-06-20
0,0,0,23,104,240,606,437,795,2022-06-27
0,0,0,20,100,232,590,425,775,2022-07-04
0,0,0,18,96,225,576,414,757,2022-07-11
0,0,0,16,92,219,564,405,742,2022-07-18
0,0,0,14,90,216,556,399,732,2022-07-25
0,0,0,14,89,214,552,396,727,2022-08-01
0,0,0,12,86,210,544,390,716,2022-08-08
0,0,0,10,84,206,535,383,705,2022-08-15
0,0,0,11,85,207,539,386,710,2022-08-22
0,0,0,10,83,204,533,381,703,2022-08-29
0,0,0,9,82,202,529,378,698,2022-09-05
0,0,0,9,81,201,526,376,695,2022-09-12
0,0,0,9,81,202,528,377,697,2022-09-19
0,0,0,10,83,206,537,384,708,2022-09-26
0,0,0,10,84,207,539,386,712,2022-10-03
