lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,3,33,75,131,244,197,292,2021-10-11
0,0,3,33,77,135,254,203,304,2021-10-18
0,0,1,31,75,134,255,204,307,2021-10-25
0,0,0,27,70,129,251,199,303,2021-11-01
0,0,0,30,75,137,266,211,322,2021-11-08
0,0,0,27,73,135,266,210,323,2021-11-15
0,0,0,24,70,133,265,208,322,2021-11-22
0,0,0,21,66,129,261,204,319,2021-11-29
0,0,0,17,62,123,255,198,312,2021-12-06
0,0,0,14,58,120,252,195,310,2021-12-13
0,0,0,8,50,110,238,182,294,2021-12-20
0,0,0,10,53,114,248,190,306,2021-12-27
0,0,0,11,56,119,256,197,318,2022-01-03
0,0,0,27,79,153,314,244,387,2022-01-10
0,0,0,34,90,169,343,267,421,2022-01-17
0,0,0,38,96,178,360,281,442,2022-01-24
0,0,6,45,107,195,391,306,480,2022-01-31
0,0,10,52,117,211,420,329,514,2022-02-07
0,0,7,48,112,205,412,321,506,2022-02-14
0,0,8,50,116,211,424,331,522,2022-02-21
0,0,16,61,132,235,468,367,575,2022-02-28
0,3,26,75,153,267,524,412,642,2022-03-07
0,3,26,76,155,270,533,418,653,2022-03-14
0,9,34,88,173,297,582,457,712,2022-03-21
0,7,31,84,169,292,576,451,706,2022-03-28
2,22,49,110,207,350,677,533,828,2022-04-04
8,30,59,125,230,384,739,583,903,2022-04-11
13,35,66,135,246,408,784,619,959,2022-04-18
21,45,79,154,273,450,861,680,1051,2022-04-25
37,64,103,188,325,528,999,791,1219,2022-05-02
53,84,127,223,377,606,1141,905,1390,2022-05-09
61,94,139,241,406,650,1222,969,1489,2022-05-16
53,84,128,226,384,619,1170,926,1428,2022-05-23
60,93,139,242,410,659,1244,985,1519,2022-05-30
64,97,145,250,422,679,1284,1016,1568,2022-06-06
63,97,144,250,423,682,1293,1022,1580,2022-06-13
43,73,115,209,363,592,1136,895,1392,2022-06-20
36,64,104,194,342,563,1089,856,1338,2022-06-27
24,51,88,171,308,514,1006,787,1239,2022-07-04
28,55,93,180,322,537,1052,823,1296,2022-07-11
20,45,81,163,298,503,994,775,1227,2022-07-18
9,33,66,142,267,457,914,710,1131,2022-07-25
0,20,51,120,234,408,829,641,1030,2022-08-01
0,14,43,110,219,387,792,611,986,2022-08-08
0,10,38,103,209,373,769,592,959,2022-08-15
0,2,28,87,187,339,710,544,888,2022-08-22
0,1,27,86,186,338,710,544,890,2022-08-29
0,0,26,86,185,338,713,545,894,2022-09-05
0,0,15,70,162,303,651,495,819,2022-09-12
0,0,17,72,166,310,666,506,838,2022-09-19
0,0,14,69,162,305,657,499,828,2022-09-26
0,0,7,58,145,280,612,463,774,2022-10-03
