lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,9,45,99,174,334,266,404,2021-10-11
0,0,4,39,93,168,328,259,399,2021-10-18
0,0,2,38,92,168,333,262,406,2021-10-25
0,0,6,43,101,183,362,285,442,2021-11-01
0,0,1,38,95,176,355,277,435,2021-11-08
0,0,3,42,102,187,377,294,462,2021-11-15
0,0,4,44,106,195,395,308,485,2021-11-22
0,0,2,42,105,194,397,309,489,2021-11-29
0,0,8,50,117,214,434,338,535,2021-12-06
0,0,13,58,130,235,474,369,583,2021-12-13
0,0,13,59,132,239,486,377,599,2021-12-20
0,0,13,59,133,243,496,384,613,2021-12-27
2,23,51,114,216,366,714,561,877,2022-01-03
6,27,57,123,231,390,761,597,935,2022-01-10
18,43,76,152,275,458,887,697,1088,2022-01-17
28,54,91,174,309,510,986,775,1209,2022-01-24
40,69,111,203,355,581,1119,880,1372,2022-01-31
57,89,136,241,412,671,1287,1013,1578,2022-02-07
56,89,135,241,414,676,1304,1025,1602,2022-02-14
62,97,146,258,442,721,1392,1093,1711,2022-02-21
77,115,169,292,496,805,1552,1219,1909,2022-02-28
89,131,189,323,544,882,1700,1335,2092,2022-03-07
102,146,210,354,594,960,1852,1453,2281,2022-03-14
107,152,217,366,615,996,1927,1510,2374,2022-03-21
107,153,218,369,621,1008,1957,1531,2414,2022-03-28
117,166,236,395,663,1077,2093,1637,2584,2022-04-04
139,192,270,447,745,1206,2342,1832,2893,2022-04-11
125,177,250,419,704,1146,2239,1748,2769,2022-04-18
128,180,255,427,718,1171,2294,1789,2840,2022-04-25
135,189,267,446,750,1223,2400,1870,2974,2022-05-02
130,183,260,437,737,1206,2376,1848,2947,2022-05-09
111,160,231,395,674,1110,2202,1709,2736,2022-05-16
91,136,200,349,604,1003,2003,1552,2494,2022-05-23
81,124,185,328,572,955,1918,1483,2391,2022-05-30
59,96,150,276,492,831,1685,1299,2106,2022-06-06
38,71,119,229,419,717,1471,1130,1843,2022-06-13
10,36,74,162,314,553,1159,885,1458,2022-06-20
0,12,44,117,243,443,948,719,1199,2022-06-27
0,0,29,95,208,388,844,637,1071,2022-07-04
0,0,16,75,177,340,754,566,959,2022-07-11
0,0,6,60,154,304,685,512,874,2022-07-18
0,0,0,41,124,255,592,439,759,2022-07-25
0,0,0,33,111,236,556,411,715,2022-08-01
0,0,0,18,89,201,488,358,631,2022-08-08
0,0,0,19,90,203,494,362,639,2022-08-15
0,0,0,9,74,178,445,323,578,2022-08-22
0,0,0,6,69,171,432,313,562,2022-08-29
0,0,0,6,69,170,432,313,563,2022-09-05
0,0,0,9,75,180,452,328,588,2022-09-12
0,0,0,3,66,166,425,307,555,2022-09-19
0,0,0,6,70,174,441,319,575,2022-09-26
0,0,0,3,66,167,428,309,559,2022-10-03
