lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,0,6,40,107,79,136,2021-10-11
0,0,0,0,12,48,121,91,152,2021-10-18
0,0,0,0,14,51,127,95,159,2021-10-25
0,0,0,0,20,60,142,108,177,2021-11-01
0,0,0,0,21,61,145,110,181,2021-11-08
0,0,0,0,23,64,151,114,188,2021-11-15
0,0,0,0,27,71,162,123,201,2021-11-22
0,0,0,0,28,73,166,126,206,2021-11-29
0,0,0,2,38,86,188,145,231,2021-12-06
0,0,0,0,34,82,182,139,225,2021-12-13
0,0,0,0,32,80,179,137,222,2021-12-20
0,0,0,0,32,80,181,138,224,2021-12-27
0,0,0,22,66,126,253,199,308,2022-01-03
0,0,14,51,107,182,341,273,410,2022-01-10
0,5,24,65,125,208,382,308,458,2022-01-17
0,6,26,67,128,212,391,314,469,2022-01-24
0,13,34,78,144,235,428,345,512,2022-01-31
10,27,51,101,176,279,498,404,593,2022-02-07
27,47,74,132,219,339,594,485,705,2022-02-14
26,47,74,132,219,339,596,486,707,2022-02-21
30,51,80,140,230,355,622,507,738,2022-02-28
28,48,76,136,225,348,612,498,727,2022-03-07
26,46,74,132,220,342,602,491,717,2022-03-14
22,41,68,125,211,329,583,474,694,2022-03-21
18,37,63,118,202,317,565,458,673,2022-03-28
20,40,67,123,209,327,582,472,693,2022-04-04
19,38,65,121,206,323,576,467,687,2022-04-11
29,51,80,141,234,362,638,520,760,2022-04-18
21,41,68,125,212,333,592,480,706,2022-04-25
15,34,60,114,197,312,559,453,668,2022-05-02
8,26,50,101,180,288,521,421,624,2022-05-09
9,27,52,104,183,292,529,427,633,2022-05-16
0,16,38,86,158,259,476,382,571,2022-05-23
0,7,27,71,138,230,430,344,518,2022-05-30
0,0,20,61,124,211,400,319,483,2022-06-06
0,0,11,49,107,188,362,287,439,2022-06-13
0,0,2,37,91,165,326,257,397,2022-06-20
0,0,0,28,78,148,300,235,367,2022-06-27
0,0,0,23,72,139,285,222,350,2022-07-04
0,0,0,17,63,127,267,207,329,2022-07-11
0,0,0,18,65,130,272,211,334,2022-07-18
0,0,0,9,52,112,243,187,301,2022-07-25
0,0,0,14,60,123,261,201,322,2022-08-01
0,0,0,17,64,129,270,209,333,2022-08-08
0,0,0,12,57,119,256,197,316,2022-08-15
0,0,0,8,52,112,244,187,303,2022-08-22
0,0,0,0,39,95,217,164,271,2022-08-29
0,0,0,0,38,94,215,163,269,2022-09-05
0,0,0,0,37,92,212,160,266,2022-09-12
0,0,0,0,34,87,204,154,256,2022-09-19
0,0,0,0,21,69,175,129,222,2022-09-26
0,0,0,0,23,72,180,133,228,2022-10-03
