lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,3,27,61,103,185,151,218,2021-10-11
0,0,0,18,50,90,168,136,200,2021-10-18
0,0,0,14,46,86,164,132,196,2021-10-25
0,0,0,25,61,106,194,157,230,2021-11-01
0,0,7,34,72,121,218,178,258,2021-11-08
0,0,9,38,78,129,231,188,273,2021-11-15
0,1,16,46,89,145,255,209,301,2021-11-22
0,0,14,44,87,143,255,208,301,2021-11-29
0,3,19,51,96,156,275,225,324,2021-12-06
0,3,19,51,98,159,280,229,331,2021-12-13
0,0,2,31,71,124,231,186,275,2021-12-20
0,0,1,29,70,123,230,185,275,2021-12-27
2,16,34,72,126,198,343,282,404,2022-01-03
17,33,54,98,161,245,415,343,486,2022-01-10
36,55,80,131,206,305,505,420,589,2022-01-17
55,76,105,165,251,365,597,499,696,2022-01-24
63,86,117,180,272,394,644,538,749,2022-01-31
58,81,111,173,264,384,630,526,734,2022-02-07
72,97,130,198,298,430,701,586,817,2022-02-14
57,80,110,173,264,386,637,531,743,2022-02-21
59,82,113,177,270,395,651,543,761,2022-02-28
66,90,122,189,288,419,690,575,806,2022-03-07
69,94,127,195,296,431,711,592,830,2022-03-14
46,68,97,157,245,363,607,504,712,2022-03-21
33,52,79,133,214,322,547,451,643,2022-03-28
37,57,84,141,224,336,570,471,670,2022-04-04
31,51,77,131,212,321,546,450,643,2022-04-11
18,36,60,109,182,281,487,399,575,2022-04-18
7,24,45,90,157,248,436,356,517,2022-04-25
16,34,57,106,179,278,483,395,571,2022-05-02
10,26,49,95,165,258,454,370,538,2022-05-09
0,14,34,77,139,224,402,326,478,2022-05-16
0,1,19,57,113,189,348,280,417,2022-05-23
0,0,12,48,101,172,323,259,388,2022-05-30
0,0,3,36,85,151,290,231,350,2022-06-06
0,0,1,33,81,146,283,225,342,2022-06-13
0,0,0,25,70,131,260,205,316,2022-06-20
0,0,0,22,67,127,254,200,309,2022-06-27
0,0,0,15,57,114,234,183,286,2022-07-04
0,0,0,13,54,110,228,178,280,2022-07-11
0,0,0,12,52,108,226,176,278,2022-07-18
0,0,0,14,56,113,235,183,287,2022-07-25
0,0,0,15,57,115,239,186,292,2022-08-01
0,0,0,20,64,125,253,198,310,2022-08-08
0,0,0,19,63,124,252,197,308,2022-08-15
0,0,0,18,62,122,250,195,306,2022-08-22
0,0,0,16,60,119,246,192,302,2022-08-29
0,0,0,12,54,112,235,182,288,2022-09-05
0,0,0,13,55,113,237,184,291,2022-09-12
0,0,0,11,53,111,234,181,288,2022-09-19
0,0,0,12,55,113,237,184,292,2022-09-26
0,0,0,10,52,109,232,179,285,2022-10-03
