lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,4,29,60,118,94,141,2021-10-11
0,0,0,4,30,61,121,96,145,2021-10-18
0,0,0,1,26,57,116,92,139,2021-10-25
0,0,0,2,28,60,120,95,144,2021-11-01
0,0,0,4,30,63,125,100,150,2021-11-08
0,0,0,6,33,66,130,104,156,2021-11-15
0,0,0,6,33,67,131,105,157,2021-11-22
0,0,0,8,35,70,137,109,164,2021-11-29
0,0,0,7,35,70,137,109,164,2021-12-06
0,0,0,9,37,73,142,114,170,2021-12-13
0,0,0,7,35,71,139,111,166,2021-12-20
0,0,0,3,30,64,130,103,157,2021-12-27
0,0,0,16,47,86,161,130,191,2022-01-03
0,0,0,21,53,93,171,139,203,2022-01-10
0,0,4,28,62,106,189,155,223,2022-01-17
0,0,9,35,71,117,206,169,242,2022-01-24
0,0,14,41,80,128,221,182,259,2022-01-31
0,2,16,43,82,131,226,187,265,2022-02-07
0,5,19,48,88,138,236,196,276,2022-02-14
0,9,24,54,96,149,252,209,294,2022-02-21
4,17,33,65,110,167,277,231,322,2022-02-28
14,28,46,81,130,193,314,264,363,2022-03-07
29,44,64,104,160,231,368,311,424,2022-03-14
32,48,68,109,166,239,380,321,437,2022-03-21
30,45,65,105,162,233,371,314,428,2022-03-28
45,62,85,130,193,273,429,364,492,2022-04-04
59,78,103,152,221,309,479,408,548,2022-04-11
62,82,107,158,228,318,493,420,564,2022-04-18
70,90,117,169,243,338,520,444,595,2022-04-25
78,99,127,183,260,360,552,472,630,2022-05-02
87,109,139,197,279,383,585,501,667,2022-05-09
92,115,145,205,288,395,603,516,687,2022-05-16
72,93,120,173,249,345,531,453,607,2022-05-23
62,81,107,157,228,319,494,421,566,2022-05-30
50,69,92,139,205,289,453,385,519,2022-06-06
36,52,73,116,175,251,398,337,458,2022-06-13
23,38,57,96,150,219,352,297,407,2022-06-20
15,29,47,83,134,199,324,272,376,2022-06-27
10,24,41,76,124,186,307,257,356,2022-07-04
0,10,25,56,99,155,262,217,306,2022-07-11
0,8,23,54,96,150,256,212,299,2022-07-18
0,0,13,41,80,130,227,187,267,2022-07-25
0,0,7,33,70,117,209,171,247,2022-08-01
0,0,0,24,59,103,189,153,224,2022-08-08
0,0,0,16,48,89,169,136,202,2022-08-15
0,0,0,18,51,93,175,141,208,2022-08-22
0,0,0,11,42,81,158,126,189,2022-08-29
0,0,0,5,34,71,143,113,173,2022-09-05
0,0,0,0,28,64,134,105,162,2022-09-12
0,0,0,0,27,62,130,102,158,2022-09-19
0,0,0,0,23,57,124,96,151,2022-09-26
0,0,0,0,21,55,120,93,147,2022-10-03
