lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,2,11,21,38,31,44,2021-10-11
0,0,0,1,11,21,38,31,44,2021-10-18
0,0,0,0,8,18,35,28,41,2021-10-25
0,0,0,1,11,21,38,32,45,2021-11-01
0,0,0,4,14,25,43,36,49,2021-11-08
0,0,0,4,15,26,44,37,51,2021-11-15
0,0,0,4,14,25,44,37,50,2021-11-22
0,0,0,3,14,25,43,36,50,2021-11-29
0,0,0,3,13,24,43,35,49,2021-12-06
0,0,0,3,14,25,44,37,50,2021-12-13
0,0,0,3,14,25,44,37,51,2021-12-20
0,0,0,0,6,17,34,28,41,2021-12-27
0,0,0,0,9,20,38,31,45,2022-01-03
0,0,0,1,11,23,41,34,48,2022-01-10
0,0,0,1,11,23,41,34,48,2022-01-17
0,0,0,1,12,23,42,35,49,2022-01-24
0,0,0,2,13,25,44,36,51,2022-01-31
0,0,0,3,14,26,45,38,52,2022-02-07
0,0,0,0,9,20,39,32,46,2022-02-14
0,0,0,0,8,19,37,30,44,2022-02-21
0,0,0,0,8,19,38,31,44,2022-02-28
0,0,0,0,10,21,40,33,47,2022-03-07
0,0,0,0,9,21,40,32,46,2022-03-14
0,0,0,0,10,22,41,34,48,2022-03-21
0,0,0,0,8,19,38,31,45,2022-03-28
0,0,0,0,9,21,39,32,46,2022-04-04
0,0,0,0,7,19,38,30,44,2022-04-11
0,0,0,0,6,17,36,29,42,2022-04-18
0,0,0,0,7,19,37,30,44,2022-04-25
0,0,0,0,8,19,38,31,45,2022-05-02
0,0,0,0,9,21,40,33,47,2022-05-09
0,0,0,0,10,21,40,33,47,2022-05-16
0,0,0,2,13,25,45,37,52,2022-05-23
0,0,0,0,10,22,41,34,48,2022-05-30
0,0,0,1,11,23,43,35,50,2022-06-06
0,0,0,2,13,25,45,37,52,2022-06-13
0,0,0,0,10,22,41,34,48,2022-06-20
0,0,0,0,11,23,42,35,49,2022-06-27
0,0,0,0,10,22,41,33,48,2022-07-04
0,0,0,0,11,23,43,35,50,2022-07-11
0,0,0,2,14,26,46,38,53,2022-07-18
0,0,0,0,10,22,41,34,48,2022-07-25
0,0,0,4,15,28,48,40,55,2022-08-01
0,0,0,3,14,26,47,39,54,2022-08-08
0,0,0,3,15,27,48,40,55,2022-08-15
0,0,0,2,13,26,46,38,53,2022-08-22
0,0,0,1,12,24,44,36,51,2022-08-29
0,0,0,3,15,27,48,40,55,2022-09-05
0,0,0,3,14,26,47,39,54,2022-09-12
0,0,0,3,14,27,48,40,55,2022-09-19
0,0,0,1,12,25,45,37,52,2022-09-26
0,0,0,3,14,27,47,39,54,2022-10-03
