lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,0,2,35,101,73,129,2021-10-11
0,0,0,0,2,35,102,74,130,2021-10-18
0,0,0,0,4,39,108,79,137,2021-10-25
0,0,0,0,0,33,100,72,129,2021-11-01
0,0,0,0,4,38,108,79,138,2021-11-08
0,0,0,0,5,39,110,80,141,2021-11-15
0,0,0,0,1,35,104,74,133,2021-11-22
0,0,0,0,3,37,107,78,137,2021-11-29
0,0,0,0,3,38,109,79,139,2021-12-06
0,0,0,0,2,36,106,76,136,2021-12-13
0,0,0,0,2,37,108,78,139,2021-12-20
0,0,0,0,2,36,107,77,138,2021-12-27
0,0,0,0,9,45,121,89,154,2022-01-03
0,0,0,0,14,53,133,99,167,2022-01-10
0,0,0,0,27,70,159,122,197,2022-01-17
0,0,0,0,17,57,139,104,174,2022-01-24
0,0,0,0,30,75,166,127,205,2022-01-31
0,0,0,12,50,101,206,161,251,2022-02-07
0,0,0,22,64,119,235,186,284,2022-02-14
0,0,13,48,98,166,305,246,365,2022-02-21
4,19,40,82,144,227,399,326,472,2022-02-28
16,33,56,103,172,265,457,375,538,2022-03-07
22,39,63,113,185,282,483,398,568,2022-03-14
39,60,87,143,226,338,567,470,665,2022-03-21
86,114,150,226,337,486,793,663,924,2022-03-28
131,165,211,305,442,627,1008,846,1171,2022-04-04
148,185,233,334,482,679,1088,914,1262,2022-04-11
154,191,241,343,494,696,1113,936,1290,2022-04-18
191,233,290,408,580,811,1287,1085,1490,2022-04-25
119,151,194,283,412,586,944,792,1096,2022-05-02
77,102,137,208,312,452,739,617,861,2022-05-09
31,50,76,128,205,309,521,431,611,2022-05-16
0,2,19,54,106,176,319,258,380,2022-05-23
0,0,0,12,50,100,203,160,247,2022-05-30
0,0,0,2,36,81,174,135,214,2022-06-06
0,0,0,0,25,67,153,116,189,2022-06-13
0,0,0,0,21,61,143,108,178,2022-06-20
0,0,0,0,14,52,131,98,164,2022-06-27
0,0,0,0,8,44,120,88,152,2022-07-04
0,0,0,0,2,38,110,79,142,2022-07-11
0,0,0,0,4,40,115,83,148,2022-07-18
0,0,0,0,5,42,119,86,151,2022-07-25
0,0,0,0,5,42,119,86,152,2022-08-01
0,0,0,0,1,37,113,81,145,2022-08-08
0,0,0,0,0,36,111,79,144,2022-08-15
0,0,0,0,1,37,113,81,146,2022-08-22
0,0,0,0,1,37,113,80,146,2022-08-29
0,0,0,0,1,38,114,82,147,2022-09-05
0,0,0,0,2,39,117,83,150,2022-09-12
0,0,0,0,2,39,118,84,151,2022-09-19
0,0,0,0,0,36,112,80,145,2022-09-26
0,0,0,0,0,36,113,80,146,2022-10-03
