lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,0,1,42,131,93,170,2021-10-11
0,0,0,0,0,40,130,91,170,2021-10-18
0,0,0,0,10,56,157,113,202,2021-10-25
0,0,0,0,0,43,137,96,180,2021-11-01
0,0,0,0,4,49,149,106,194,2021-11-08
0,0,0,0,6,52,156,111,203,2021-11-15
0,0,0,0,6,53,159,113,207,2021-11-22
0,0,0,0,11,60,172,123,223,2021-11-29
0,0,0,0,12,63,177,127,229,2021-12-06
0,0,0,0,8,57,169,120,220,2021-12-13
0,0,0,0,12,62,179,128,233,2021-12-20
0,0,0,0,12,64,183,131,238,2021-12-27
0,0,0,0,13,65,185,133,241,2022-01-03
0,0,0,0,20,76,205,148,264,2022-01-10
0,0,0,0,22,79,212,153,273,2022-01-17
0,0,0,0,29,90,231,169,297,2022-01-24
0,0,0,0,42,109,266,197,338,2022-01-31
0,0,0,0,44,113,273,202,347,2022-02-07
0,0,0,14,68,148,335,252,422,2022-02-14
0,0,0,33,96,190,410,313,512,2022-02-21
0,0,16,65,145,263,539,417,667,2022-02-28
11,33,65,135,248,416,810,636,995,2022-03-07
54,86,130,228,386,622,1175,931,1433,2022-03-14
78,115,166,279,464,738,1381,1096,1682,2022-03-21
179,236,316,494,784,1215,2228,1780,2702,2022-03-28
229,296,391,602,945,1455,2655,2124,3218,2022-04-04
274,350,458,699,1090,1672,3044,2436,3687,2022-04-11
409,513,660,989,1523,2320,4197,3366,5078,2022-04-18
401,504,649,974,1502,2289,4147,3324,5019,2022-04-25
372,470,607,914,1413,2158,3917,3138,4744,2022-05-02
358,452,585,883,1368,2093,3804,3046,4609,2022-05-09
249,322,423,651,1022,1577,2888,2307,3505,2022-05-16
243,314,414,638,1004,1550,2842,2269,3450,2022-05-23
122,168,233,378,615,970,1808,1436,2203,2022-05-30
87,126,180,303,503,802,1511,1196,1844,2022-06-06
33,61,100,187,330,544,1050,825,1288,2022-06-13
0,21,50,115,223,383,764,595,943,2022-06-20
0,0,19,73,161,295,615,472,767,2022-06-27
0,0,0,33,103,209,466,351,589,2022-07-04
0,0,0,4,59,144,353,260,454,2022-07-11
0,0,0,0,34,107,288,206,375,2022-07-18
0,0,0,0,25,94,268,190,353,2022-07-25
0,0,0,0,14,78,241,167,320,2022-08-01
0,0,0,0,8,70,227,156,304,2022-08-08
0,0,0,0,8,72,233,160,312,2022-08-15
0,0,0,0,7,71,233,159,314,2022-08-22
0,0,0,0,8,72,238,162,321,2022-08-29
0,0,0,0,3,65,226,153,307,2022-09-05
0,0,0,0,4,67,232,157,315,2022-09-12
0,0,0,0,6,71,242,164,328,2022-09-19
0,0,0,0,0,62,225,151,308,2022-09-26
0,0,0,0,2,66,235,157,320,2022-10-03
