lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
41,73,120,228,411,695,1404,1085,1749,2021-10-11
43,77,126,241,437,746,1527,1174,1912,2021-10-18
42,77,127,245,450,775,1610,1231,2025,2021-10-25
46,82,135,261,481,836,1756,1336,2218,2021-11-01
53,92,150,286,528,921,1955,1482,2479,2021-11-08
57,98,159,305,565,991,2125,1604,2705,2021-11-15
67,112,178,337,624,1100,2380,1790,3040,2021-11-22
77,125,197,371,687,1216,2655,1989,3402,2021-11-29
94,148,229,426,786,1393,3065,2289,3939,2021-12-06
107,165,253,468,866,1541,3419,2545,4408,2021-12-13
112,173,264,491,913,1635,3662,2715,4737,2021-12-20
120,185,282,524,976,1758,3972,2935,5155,2021-12-27
253,357,516,913,1660,2960,6679,4933,8676,2022-01-03
340,472,673,1179,2139,3820,8673,6389,11296,2022-01-10
453,620,878,1528,2770,4959,11335,8326,14801,2022-01-17
562,766,1079,1875,3404,6118,14089,10319,18449,2022-01-24
730,988,1388,2407,4377,7895,18313,13373,24042,2022-01-31
849,1148,1611,2800,5112,9265,21662,15771,28516,2022-02-07
982,1327,1863,3245,5948,10833,25527,18529,33694,2022-02-14
1078,1457,2049,3581,6594,12071,28670,20748,37942,2022-02-21
1176,1592,2242,3933,7274,13385,32034,23115,42502,2022-02-28
1233,1671,2359,4155,7723,14284,34448,24786,45820,2022-03-07
1367,1855,2622,4632,8647,16068,39030,28006,52039,2022-03-14
1349,1835,2601,4618,8666,16187,39610,28344,52939,2022-03-21
1324,1807,2569,4582,8643,16226,39994,28541,53576,2022-03-28
1429,1952,2780,4975,9422,17766,44082,31380,59183,2022-04-04
1437,1967,2809,5047,9603,18193,45443,32267,61144,2022-04-11
1428,1960,2805,5062,9675,18413,46294,32791,62421,2022-04-18
1213,1673,2407,4371,8405,16079,40704,28760,55002,2022-04-25
1006,1397,2021,3698,7156,13762,35077,24722,47499,2022-05-02
791,1109,1617,2986,5819,11256,28891,20311,39205,2022-05-09
657,928,1363,2539,4983,9691,25043,17563,34053,2022-05-16
438,632,944,1790,3556,6969,18156,12698,24743,2022-05-23
303,449,685,1325,2667,5271,13847,9657,18913,2022-05-30
206,318,499,991,2026,4043,10716,7452,14671,2022-06-06
145,235,380,778,1617,3257,8710,6039,11951,2022-06-13
89,158,272,582,1238,2525,6823,4715,9386,2022-06-20
51,107,198,449,983,2036,5573,3835,7691,2022-06-27
6,46,111,291,675,1436,4008,2742,5555,2022-07-04
0,29,87,247,591,1277,3610,2460,5018,2022-07-11
0,11,61,201,502,1104,3167,2148,4417,2022-07-18
0,0,43,167,437,979,2847,1923,3983,2022-07-25
0,0,29,142,389,887,2613,1758,3667,2022-08-01
0,0,17,121,348,808,2411,1616,3393,2022-08-08
0,0,4,97,301,717,2173,1450,3068,2022-08-15
0,0,0,86,280,676,2072,1377,2933,2022-08-22
0,0,0,66,241,601,1872,1238,2659,2022-08-29
0,0,0,57,223,566,1783,1176,2540,2022-09-05
0,0,0,67,245,614,1930,1272,2750,2022-09-12
0,0,0,73,260,647,2036,1342,2905,2022-09-19
0,0,0,71,255,640,2027,1332,2896,2022-09-26
0,0,0,72,258,649,2064,1355,2953,2022-10-03
