lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,6,22,40,70,58,81,2022-10-10
0,0,0,6,22,40,70,58,82,2022-10-17
0,0,0,4,20,38,69,57,80,2022-10-24
0,0,0,6,22,40,72,59,84,2022-10-31
0,0,0,4,20,38,69,57,81,2022-11-07
0,0,0,1,17,35,66,54,78,2022-11-14
0,0,0,0,11,29,59,47,70,2022-11-21
0,0,0,0,10,27,57,45,68,2022-11-28
0,0,0,0,10,28,58,46,70,2022-12-05
0,0,0,0,9,26,56,44,68,2022-12-12
0,0,0,0,9,26,57,45,68,2022-12-19
0,0,0,0,9,26,57,45,68,2022-12-26
0,0,0,4,21,41,76,62,89,2023-01-02
0,0,0,4,21,41,75,61,88,2023-01-09
0,0,0,5,23,43,78,64,91,2023-01-16
0,0,0,6,24,45,80,66,94,2023-01-23
0,0,0,12,31,52,90,75,104,2023-01-30
0,0,0,13,32,54,92,76,106,2023-02-06
0,0,0,13,32,54,93,77,107,2023-02-13
0,0,0,9,28,49,86,71,101,2023-02-20
0,0,0,15,34,57,97,81,112,2023-02-27
0,0,4,19,39,63,104,87,119,2023-03-06
0,0,1,17,36,60,100,84,115,2023-03-13
0,0,0,10,28,50,88,73,102,2023-03-20
0,0,0,13,32,55,94,78,109,2023-03-27
0,0,3,18,39,62,104,87,119,2023-04-03
0,0,0,10,29,51,90,74,104,2023-04-10
0,0,0,8,26,48,85,70,100,2023-04-17
0,0,0,5,23,44,81,66,95,2023-04-24
0,0,0,6,24,45,82,67,96,2023-05-01
0,0,0,9,27,49,87,72,102,2023-05-08
0,0,0,3,21,42,79,64,92,2023-05-15
0,0,0,1,19,39,75,61,88,2023-05-22
0,0,0,0,16,36,71,57,84,2023-05-29
0,0,0,0,15,35,69,55,83,2023-06-05
0,0,0,0,14,33,68,54,81,2023-06-12
0,0,0,0,13,33,67,54,80,2023-06-19
0,0,0,0,11,30,64,51,77,2023-06-26
0,0,0,0,12,32,66,52,79,2023-07-03
0,0,0,0,12,32,67,53,80,2023-07-10
0,0,0,0,11,30,65,51,78,2023-07-17
0,0,0,0,14,34,69,55,82,2023-07-24
0,0,0,0,17,38,74,59,88,2023-07-31
0,0,0,3,21,43,81,66,95,2023-08-07
0,0,0,2,20,42,79,64,94,2023-08-14
0,0,0,2,20,41,78,63,93,2023-08-21
0,0,0,1,19,40,77,62,91,2023-08-28
0,0,0,2,20,41,78,63,93,2023-09-04
0,0,0,2,21,42,80,65,94,2023-09-11
0,0,0,6,25,47,86,70,101,2023-09-18
0,0,0,8,27,50,90,74,105,2023-09-25
0,0,0,8,27,50,90,74,106,2023-10-02
