lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,0,39,14,42,18,68,2022-10-10
0,0,0,0,39,12,47,21,74,2022-10-17
0,0,0,0,39,12,49,22,77,2022-10-24
0,0,0,0,37,9,57,28,88,2022-10-31
0,0,0,0,33,2,71,39,105,2022-11-07
0,0,0,0,33,1,75,41,110,2022-11-14
0,0,0,0,28,8,92,55,132,2022-11-21
0,0,0,0,17,25,126,81,174,2022-11-28
0,0,0,0,9,38,151,100,205,2022-12-05
0,0,0,0,0,53,182,124,244,2022-12-12
0,0,0,0,2,51,181,123,244,2022-12-19
0,0,0,0,2,58,197,135,264,2022-12-26
0,0,0,0,29,100,280,199,368,2023-01-02
0,0,0,0,42,123,328,235,428,2023-01-09
0,0,0,0,54,144,370,268,482,2023-01-16
0,0,0,0,59,153,393,284,512,2023-01-23
0,0,0,0,56,150,390,281,510,2023-01-30
0,0,0,0,61,160,414,298,542,2023-02-06
0,0,0,9,76,184,468,338,611,2023-02-13
0,0,0,9,77,188,479,346,626,2023-02-20
0,0,0,17,92,213,535,387,698,2023-02-27
0,0,0,28,110,245,604,439,787,2023-03-06
0,0,0,33,119,262,644,468,840,2023-03-13
0,0,0,29,114,255,636,461,833,2023-03-20
0,0,0,30,118,263,657,475,861,2023-03-27
0,0,0,39,132,289,717,519,940,2023-04-03
0,0,0,37,130,287,719,519,944,2023-04-10
0,0,0,36,130,288,727,523,956,2023-04-17
0,0,0,33,125,282,718,515,948,2023-04-24
0,0,0,30,121,277,712,509,942,2023-05-01
0,0,0,28,118,274,711,507,943,2023-05-08
0,0,0,15,98,241,644,456,858,2023-05-15
0,0,0,6,84,217,595,418,797,2023-05-22
0,0,0,6,83,217,599,420,804,2023-05-29
0,0,0,1,75,205,577,402,776,2023-06-05
0,0,0,0,57,175,513,354,695,2023-06-12
0,0,0,0,50,163,489,335,666,2023-06-19
0,0,0,0,40,146,455,309,622,2023-06-26
0,0,0,0,32,134,431,290,592,2023-07-03
0,0,0,0,19,111,382,254,530,2023-07-10
0,0,0,0,8,92,342,224,480,2023-07-17
0,0,0,0,3,85,328,213,462,2023-07-24
0,0,0,0,1,82,324,209,458,2023-07-31
0,0,0,0,4,72,303,193,431,2023-08-07
0,0,0,0,7,68,296,187,423,2023-08-14
0,0,0,0,14,57,272,169,392,2023-08-21
0,0,0,0,19,47,250,153,364,2023-08-28
0,0,0,0,24,39,232,139,340,2023-09-04
0,0,0,0,16,54,270,167,392,2023-09-11
0,0,0,0,19,49,259,158,378,2023-09-18
0,0,0,0,25,40,239,143,352,2023-09-25
0,0,0,0,21,46,256,155,376,2023-10-02
