lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
8,28,56,115,207,340,637,508,772,2022-10-10
5,25,52,112,206,342,649,515,789,2022-10-17
9,30,59,123,225,372,710,562,865,2022-10-24
8,29,58,123,227,379,731,576,893,2022-10-31
12,34,65,134,246,411,795,625,973,2022-11-07
7,29,60,128,240,405,792,621,974,2022-11-14
2,23,52,119,227,389,773,603,954,2022-11-21
0,21,50,117,227,392,785,610,971,2022-11-28
0,19,49,116,227,395,799,619,991,2022-12-05
0,22,53,123,239,416,845,654,1050,2022-12-12
0,4,30,91,192,347,725,556,906,2022-12-19
0,0,0,39,114,230,513,386,649,2022-12-26
0,0,24,84,184,338,720,549,905,2023-01-02
0,3,30,93,200,366,777,592,977,2023-01-09
0,10,39,108,224,405,858,654,1079,2023-01-16
0,14,46,118,241,435,919,701,1157,2023-01-23
7,32,69,154,299,528,1104,844,1388,2023-01-30
14,40,80,171,328,576,1203,919,1513,2023-02-06
27,57,102,205,384,666,1386,1060,1743,2023-02-13
23,53,97,199,375,656,1374,1048,1731,2023-02-20
38,71,120,236,436,755,1576,1203,1985,2023-02-27
52,90,144,273,498,858,1785,1363,2249,2023-03-06
56,95,151,285,519,894,1866,1423,2354,2023-03-13
63,104,163,305,552,951,1987,1514,2508,2023-03-20
61,101,161,302,549,949,1993,1516,2519,2023-03-27
87,134,204,369,660,1131,2366,1801,2990,2023-04-03
93,142,214,386,691,1185,2483,1889,3141,2023-04-10
124,181,266,468,825,1407,2941,2238,3720,2023-04-17
125,183,269,473,836,1430,2999,2279,3797,2023-04-24
144,208,301,526,924,1578,3310,2515,4194,2023-05-01
151,216,313,545,959,1638,3445,2615,4368,2023-05-08
155,222,321,559,984,1683,3548,2690,4502,2023-05-15
127,187,275,488,870,1498,3181,2406,4044,2023-05-22
116,173,257,461,827,1431,3052,2306,3886,2023-05-29
105,159,240,435,786,1366,2927,2207,3731,2023-06-05
81,129,201,375,687,1206,2603,1959,3324,2023-06-12
59,101,164,317,594,1053,2293,1720,2933,2023-06-19
52,93,154,303,571,1019,2235,1673,2865,2023-06-26
47,87,146,291,555,996,2199,1642,2824,2023-07-03
42,81,140,282,542,978,2172,1619,2795,2023-07-10
26,61,113,241,474,867,1948,1446,2513,2023-07-17
9,39,85,197,401,747,1703,1259,2204,2023-07-24
8,38,83,195,399,747,1709,1262,2215,2023-07-31
3,32,75,183,380,717,1653,1217,2147,2023-08-07
0,22,63,163,349,666,1551,1138,2018,2023-08-14
0,19,59,158,341,654,1531,1122,1996,2023-08-21
0,8,44,134,302,589,1396,1019,1825,2023-08-28
0,6,42,131,296,581,1385,1009,1812,2023-09-04
0,1,35,121,280,555,1332,968,1746,2023-09-11
0,0,28,110,263,526,1275,924,1674,2023-09-18
0,0,28,110,264,530,1287,932,1692,2023-09-25
0,0,25,105,255,516,1261,912,1661,2023-10-02
