lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
7,19,34,63,103,153,247,208,284,2022-10-10
7,19,34,64,104,156,252,213,291,2022-10-17
7,19,34,65,107,159,260,218,300,2022-10-24
10,23,39,71,116,171,278,234,321,2022-10-31
10,23,40,72,118,175,285,239,329,2022-11-07
23,38,57,94,146,211,337,285,388,2022-11-14
22,37,55,93,145,211,339,286,391,2022-11-21
28,43,63,103,158,229,366,309,422,2022-11-28
29,44,65,105,162,235,376,317,434,2022-12-05
25,40,60,100,156,227,367,309,424,2022-12-12
14,28,47,84,136,202,332,278,386,2022-12-19
6,19,37,71,120,183,306,255,357,2022-12-26
43,61,84,131,198,284,452,382,521,2023-01-02
51,70,95,145,216,308,488,413,563,2023-01-09
56,76,102,155,229,326,515,436,594,2023-01-16
47,66,91,141,211,303,484,408,559,2023-01-23
56,77,103,157,233,331,526,444,607,2023-01-30
56,76,102,156,232,332,528,446,609,2023-02-06
64,86,114,171,252,357,567,479,653,2023-02-13
51,71,97,150,226,324,519,437,600,2023-02-20
53,73,99,153,230,329,528,445,611,2023-02-27
51,70,97,150,226,325,523,440,605,2023-03-06
47,67,93,145,220,318,513,431,595,2023-03-13
36,54,78,127,196,287,469,393,545,2023-03-20
32,50,73,120,188,277,455,380,529,2023-03-27
28,46,68,115,181,268,442,369,515,2023-04-03
22,39,60,105,168,251,418,348,488,2023-04-10
13,28,48,90,149,226,381,316,446,2023-04-17
2,16,35,72,126,196,338,278,397,2023-04-24
4,18,36,74,129,200,344,284,405,2023-05-01
1,14,33,70,123,193,334,274,393,2023-05-08
0,7,25,59,109,175,308,252,364,2023-05-15
0,0,16,49,96,158,282,230,335,2023-05-22
0,0,13,45,91,151,273,222,324,2023-05-29
0,0,8,39,83,141,258,209,307,2023-06-05
0,0,3,32,74,129,241,194,288,2023-06-12
0,0,3,32,75,130,243,195,290,2023-06-19
0,0,1,29,71,125,236,189,282,2023-06-26
0,0,0,28,69,123,233,187,279,2023-07-03
0,0,0,23,62,114,220,175,265,2023-07-10
0,0,0,20,59,110,214,170,258,2023-07-17
0,0,0,19,57,108,212,168,256,2023-07-24
0,0,0,18,56,107,210,166,253,2023-07-31
0,0,0,13,50,99,199,156,241,2023-08-07
0,0,0,10,46,94,192,151,233,2023-08-14
0,0,0,7,42,89,184,143,224,2023-08-21
0,0,0,7,42,89,184,144,224,2023-08-28
0,0,0,6,41,87,181,141,221,2023-09-04
0,0,0,3,38,83,176,136,215,2023-09-11
0,0,0,6,41,88,183,143,223,2023-09-18
0,0,0,6,41,88,184,143,225,2023-09-25
0,0,0,7,42,89,186,145,227,2023-10-02
