lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
23,38,57,94,146,212,339,286,391,2022-10-10
21,36,55,92,145,211,341,287,393,2022-10-17
29,45,65,106,163,235,377,318,434,2022-10-24
39,56,78,123,185,265,422,357,486,2022-10-31
41,59,82,128,192,276,439,371,505,2022-11-07
35,51,74,118,181,262,420,354,486,2022-11-14
36,54,76,122,186,269,433,365,501,2022-11-21
31,48,70,115,178,259,420,353,487,2022-11-28
17,33,53,93,150,224,370,309,431,2022-12-05
8,22,41,78,132,201,338,280,395,2022-12-12
0,8,24,57,104,166,288,237,339,2022-12-19
0,2,18,50,95,154,271,222,320,2022-12-26
0,3,19,51,97,156,276,226,326,2023-01-02
0,3,19,52,98,159,281,230,331,2023-01-09
0,0,15,47,92,151,269,219,318,2023-01-16
0,1,17,50,96,156,278,227,328,2023-01-23
0,3,19,51,98,160,284,232,336,2023-01-30
0,7,24,59,108,173,303,248,358,2023-02-06
0,7,24,59,108,173,304,249,359,2023-02-13
0,3,19,52,100,163,290,237,343,2023-02-20
0,6,23,57,107,172,303,248,358,2023-02-27
0,3,19,52,101,164,292,238,345,2023-03-06
0,3,20,53,102,166,295,241,350,2023-03-13
0,3,20,53,102,166,296,241,350,2023-03-20
0,3,19,53,102,166,296,241,351,2023-03-27
0,8,25,61,112,180,317,259,374,2023-04-03
0,9,26,62,114,182,321,262,379,2023-04-10
0,11,29,66,119,189,331,271,391,2023-04-17
0,6,24,59,110,177,313,256,370,2023-04-24
5,19,38,78,135,210,363,299,428,2023-05-01
10,25,45,87,147,226,387,319,455,2023-05-08
13,29,50,93,155,236,403,333,473,2023-05-15
14,30,51,94,156,239,406,336,477,2023-05-22
10,25,46,88,148,228,391,322,459,2023-05-29
10,25,45,87,147,227,389,321,458,2023-06-05
6,21,41,81,140,218,375,309,442,2023-06-12
6,21,41,81,140,218,376,309,442,2023-06-19
8,23,43,84,144,223,385,317,453,2023-06-26
11,26,47,89,151,233,399,329,469,2023-07-03
9,24,44,86,147,228,392,323,461,2023-07-10
2,17,36,75,133,209,364,299,430,2023-07-17
5,20,39,80,139,217,376,309,444,2023-07-24
0,14,33,72,128,203,356,291,421,2023-07-31
0,14,33,72,128,203,356,291,421,2023-08-07
0,11,30,68,123,196,346,283,410,2023-08-14
0,7,24,61,114,184,328,267,389,2023-08-21
0,2,19,54,104,172,310,251,368,2023-08-28
0,6,24,60,113,183,327,266,388,2023-09-04
0,3,20,56,107,176,317,257,377,2023-09-11
0,0,14,47,96,161,295,238,351,2023-09-18
0,0,7,38,84,145,270,217,323,2023-09-25
0,0,7,38,84,145,270,217,323,2023-10-02
