"","Data","prev_med","LB_95","UB_95","LB_90","UB_90","LB_80","UB_80","LB_50","UB_50"
"16",202241,1113.30238958903,227.662318500342,4392.74330756133,304.420443950974,2755.74251138998,415.488592795406,3540.03034614367,673.240109730448,1803.81056292542
"17",202242,1141.89050785395,224.21297301643,4657.03368421222,302.348167806508,2888.49058975006,416.077259465867,3733.22743062532,682.287327659119,1871.51606445272
"18",202243,1140.59444970941,213.582420579283,4808.0384857246,291.181429758611,2949.08132902967,404.766656762018,3834.42651303648,672.834096523345,1891.46827963912
"19",202244,1228.75418987326,225.666303733057,5321.46263481091,308.274916414945,3232.28001866198,429.84373678617,4224.5069097297,719.015016638727,2055.74520764197
"20",202245,1362.30680487617,247.982681668107,6044.96440264414,338.325624553458,3638.61487501692,471.960809838025,4778.4307186366,792.231789655148,2296.62071714979
"21",202246,1475.81209001102,264.5506797946,6711.62834320874,361.284788502292,4003.89963548287,505.079062254587,5283.19017864725,852.187766586803,2507.8719241753
"22",202247,1635.32486330104,290.728855150691,7607.01303856713,396.566260675775,4500.04151261604,554.635914248136,5964.35156728659,938.848848205358,2798.73968324938
"23",202248,1861.93708332127,330.422790617351,8842.82831397079,449.302066810659,5189.86494133776,627.655084127298,6907.43243377959,1064.05437570443,3206.71590541621
"24",202249,2166.7288133379,385.031903675608,10493.2403091006,521.482602409155,6112.21679388273,727.089537228607,8167.42292269927,1233.39106003562,3753.37780281725
"25",202250,2339.19003228164,409.56042965083,11576.0401070762,555.43516007132,6690.57253609915,776.162942366547,8977.4013602424,1323.04129188308,4080.93842217961
"26",202251,2383.33805070335,406.944211290736,12064.9833191099,554.494619649019,6918.62556024003,778.657483739624,9322.48826640962,1337.33339232871,4190.56188841452
"27",202252,2128.64359722458,344.951345741298,11062.6862824186,476.514575008328,6290.99139236736,677.164602252776,8515.31086768855,1180.09019160901,3780.0799474973
"28",202301,3754.11722268158,653.178597922752,19622.0415013628,879.243611001755,11108.1187140587,1225.30890733149,15069.0747831125,2097.47943206313,6659.66261592024
"29",202302,4596.86335235006,799.057362080396,24437.3946992677,1072.80580397553,13745.1068076609,1493.38065477706,18710.0410791532,2558.96629333236,8196.65475864368
"30",202303,5616.82449103397,972.477360178749,30373.447249123,1303.56650619586,16975.0537376589,1814.02514823164,23185.0257661572,3114.0298253831,10068.5684442552
"31",202304,6590.28454778424,1130.90895371824,36263.2965664221,1515.95640684919,20138.495779404,2111.62223804553,27598.7096561558,3636.20792615181,11880.0365009188
"32",202305,8484.04637549682,1449.89311810567,47442.5378149568,1940.88834013257,26188.6841829206,2702.94942356045,36004.7935488199,4662.84407505046,15370.9772177246
"33",202306,9795.93104300888,1654.53496786104,55715.0467228207,2217.12962278489,30569.1553776978,3093.09253880529,42163.2597870327,5356.4580846574,17847.4394723836
