lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,17,59,116,235,184,286,2023-10-09
0,0,0,18,61,120,246,192,300,2023-10-16
0,0,0,17,60,121,249,194,305,2023-10-23
0,0,0,20,67,131,269,209,329,2023-10-30
0,0,0,24,73,141,288,224,353,2023-11-06
0,0,0,28,80,152,309,241,378,2023-11-13
0,0,1,37,93,172,344,270,421,2023-11-20
0,0,1,39,96,178,357,279,438,2023-11-27
0,0,6,46,108,196,391,306,479,2023-12-04
0,0,9,50,114,206,411,322,504,2023-12-11
0,0,1,39,100,187,383,297,471,2023-12-18
0,0,0,22,76,154,330,253,410,2023-12-25
0,0,15,61,133,237,473,370,581,2024-01-01
0,2,25,75,155,270,533,418,654,2024-01-08
0,7,31,83,167,290,571,448,700,2024-01-15
0,6,30,83,168,292,578,452,710,2024-01-22
0,17,44,104,200,340,665,522,815,2024-01-29
0,18,45,106,204,347,681,534,836,2024-02-05
0,18,46,108,207,353,695,544,854,2024-02-12
0,9,35,92,185,322,644,502,795,2024-02-19
0,17,45,107,207,356,708,552,872,2024-02-26
0,11,37,97,193,337,676,526,835,2024-03-04
0,13,41,102,202,351,705,548,871,2024-03-11
0,9,35,94,191,336,681,528,843,2024-03-18
0,1,26,82,174,311,639,493,794,2024-03-25
0,0,21,75,163,296,614,473,765,2024-04-01
0,0,17,69,155,286,597,459,745,2024-04-08
0,0,13,64,148,275,581,445,726,2024-04-15
0,0,3,49,126,243,525,399,659,2024-04-22
0,0,1,46,122,238,517,392,650,2024-04-29
0,0,0,42,115,228,500,378,630,2024-05-06
0,0,0,35,106,215,477,360,603,2024-05-13
0,0,0,27,95,197,447,336,567,2024-05-20
0,0,0,22,87,186,427,319,543,2024-05-27
0,0,0,21,85,184,425,317,541,2024-06-03
0,0,0,18,82,179,417,310,531,2024-06-10
0,0,0,14,76,170,402,298,514,2024-06-17
0,0,0,4,60,147,360,265,464,2024-06-24
0,0,0,8,66,157,380,280,488,2024-07-01
0,0,0,4,60,148,365,268,471,2024-07-08
0,0,0,1,57,144,359,262,463,2024-07-15
0,0,0,0,55,141,354,258,457,2024-07-22
0,0,0,0,54,140,354,257,458,2024-07-29
0,0,0,0,46,127,331,239,430,2024-08-05
0,0,0,0,43,123,325,234,423,2024-08-12
0,0,0,0,41,120,319,229,417,2024-08-19
0,0,0,0,46,129,337,243,439,2024-08-26
0,0,0,0,42,124,328,236,429,2024-09-02
0,0,0,0,55,143,366,265,476,2024-09-09
0,0,0,0,51,138,358,258,466,2024-09-16
0,0,0,4,64,158,397,289,515,2024-09-23
0,0,0,8,71,171,422,308,547,2024-09-30
