lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
78,106,145,226,349,517,874,721,1031,2023-10-09
88,119,160,248,382,566,962,792,1136,2023-10-16
82,112,154,241,375,560,961,788,1138,2023-10-23
82,113,155,244,381,573,989,809,1174,2023-10-30
115,152,202,311,477,710,1221,1000,1448,2023-11-06
130,170,225,343,525,782,1348,1103,1601,2023-11-13
157,202,264,399,607,902,1555,1272,1848,2023-11-20
170,218,285,429,653,971,1679,1371,1998,2023-11-27
199,253,328,490,743,1103,1910,1559,2274,2023-12-04
187,240,312,470,717,1071,1866,1519,2226,2023-12-11
112,152,206,325,511,778,1381,1118,1655,2023-12-18
89,124,173,280,448,691,1240,1000,1490,2023-12-25
374,464,588,859,1288,1908,3317,2700,3960,2024-01-01
428,529,668,974,1459,2161,3763,3061,4497,2024-01-08
506,622,783,1137,1700,2518,4390,3569,5249,2024-01-15
555,681,857,1244,1860,2758,4818,3913,5766,2024-01-22
676,826,1036,1499,2238,3317,5800,4709,6945,2024-01-29
710,868,1090,1577,2357,3500,6136,4976,7353,2024-02-05
708,867,1089,1580,2366,3520,6189,5014,7425,2024-02-12
704,863,1085,1577,2367,3529,6223,5036,7472,2024-02-19
805,985,1237,1796,2693,4016,7091,5736,8519,2024-02-26
857,1048,1315,1910,2867,4280,7570,6118,9100,2024-03-04
918,1122,1409,2045,3072,4591,8134,6570,9785,2024-03-11
957,1170,1469,2134,3209,4801,8522,6878,10258,2024-03-18
932,1140,1434,2087,3143,4711,8381,6759,10096,2024-03-25
964,1180,1485,2162,3260,4890,8716,7024,10505,2024-04-01
973,1192,1500,2187,3301,4958,8853,7130,10677,2024-04-08
940,1153,1452,2121,3207,4825,8632,6947,10417,2024-04-15
921,1131,1426,2086,3159,4758,8530,6860,10299,2024-04-22
930,1142,1441,2109,3197,4821,8655,6956,10456,2024-04-29
856,1053,1331,1954,2969,4485,8069,6480,9755,2024-05-06
730,902,1145,1688,2574,3899,7036,5645,8512,2024-05-13
566,705,900,1338,2052,3122,5656,4532,6851,2024-05-20
501,626,802,1198,1845,2814,5114,4094,6198,2024-05-27
423,532,686,1031,1597,2444,4457,3564,5407,2024-06-03
357,452,587,891,1387,2132,3902,3116,4738,2024-06-10
296,379,496,759,1191,1839,3381,2696,4110,2024-06-17
210,276,368,577,919,1433,2662,2116,3244,2024-06-24
158,212,289,464,750,1182,2216,1756,2706,2024-07-01
122,169,236,387,636,1012,1914,1513,2343,2024-07-08
95,137,196,330,551,885,1688,1330,2070,2024-07-15
69,105,156,273,465,757,1459,1146,1793,2024-07-22
66,101,152,267,458,747,1445,1134,1778,2024-07-29
53,86,133,240,417,686,1336,1046,1646,2024-08-05
53,86,133,241,419,690,1347,1054,1662,2024-08-12
39,69,112,210,373,621,1223,954,1511,2024-08-19
34,64,105,201,359,601,1188,925,1469,2024-08-26
32,60,102,195,351,590,1170,910,1448,2024-09-02
38,68,111,210,374,626,1238,964,1533,2024-09-09
39,69,113,213,379,634,1255,977,1554,2024-09-16
40,71,115,216,384,642,1272,990,1575,2024-09-23
49,82,129,237,418,694,1371,1068,1697,2024-09-30
