date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,2,3,5,9,19,39,73,108,149
2025-10-12,3,4,5,10,22,45,85,126,174
2025-10-19,3,4,6,12,25,52,99,146,202
2025-10-26,3,5,7,14,29,61,115,170,234
2025-11-02,4,6,8,16,34,71,133,197,272
2025-11-09,5,7,10,18,39,82,155,229,316
2025-11-16,5,8,11,21,45,95,180,265,366
2025-11-23,6,9,13,25,53,110,209,308,425
2025-11-30,7,11,15,29,61,128,242,357,493
2025-12-07,9,12,18,33,71,148,280,414,571
2025-12-14,10,14,21,39,82,172,325,479,661
2025-12-21,11,16,24,45,95,199,375,554,764
2026-01-04,13,19,27,52,109,229,433,639,882
2026-01-11,15,22,32,59,126,264,499,736,1016
2026-01-18,17,25,36,68,145,303,573,846,1167
2026-01-25,20,29,42,78,166,347,656,967,1335
2026-02-01,23,33,47,89,188,395,746,1101,1520
2026-02-08,26,37,53,100,213,447,844,1246,1719
2026-02-15,29,41,60,113,239,501,947,1397,1928
2026-02-22,32,46,67,125,265,556,1051,1551,2140
2026-03-01,35,50,73,137,291,609,1152,1699,2345
2026-03-08,38,54,79,148,314,658,1243,1834,2530
2026-03-15,40,57,83,157,333,697,1317,1944,2682
2026-03-22,42,60,87,163,345,724,1368,2019,2786
2026-03-29,42,61,88,166,351,736,1391,2053,2833
2026-04-05,42,60,88,165,349,732,1383,2041,2816
2026-04-12,41,59,85,160,339,712,1345,1984,2738
2026-04-19,39,56,81,152,323,678,1280,1890,2607
2026-04-26,36,52,76,142,302,633,1196,1765,2436
2026-05-03,33,48,70,131,278,582,1099,1622,2238
2026-05-10,30,43,63,119,251,527,996,1470,2028
2026-05-17,27,39,57,106,225,472,892,1316,1816
2026-05-24,24,35,50,94,200,419,792,1168,1612
2026-05-31,21,30,44,83,176,369,697,1029,1420
2026-06-07,19,27,39,73,154,323,611,902,1244
2026-06-14,16,23,34,63,135,282,533,786,1085
2026-06-21,14,20,29,55,117,245,463,684,943
2026-06-28,12,18,25,48,101,213,402,593,818
2026-07-05,11,15,22,41,88,184,348,513,708
2026-07-12,9,13,19,36,76,159,300,443,612
2026-07-19,8,11,16,31,65,137,259,383,528
2026-07-26,7,10,14,27,56,118,224,330,456
2026-08-02,6,8,12,23,49,102,193,285,393
2026-08-09,5,7,11,20,42,88,166,245,339
2026-08-16,4,6,9,17,36,76,143,211,292
2026-08-23,4,5,8,15,31,65,123,182,251
2026-08-30,3,5,7,13,27,56,106,157,216
2026-09-06,3,4,6,11,23,48,91,135,186
2026-09-13,2,3,5,9,20,42,79,116,160
2026-09-20,2,3,4,8,17,36,68,100,138
2026-09-27,2,3,4,7,15,31,58,86,119
2026-10-04,2,3,4,8,16,33,63,93,129
