date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,2,3,6,11,21,31,42
2025-10-12,1,1,2,3,7,14,25,37,51
2025-10-19,1,2,2,4,8,17,31,45,62
2025-10-26,1,2,3,5,10,20,37,55,75
2025-11-02,2,2,3,6,12,25,45,67,91
2025-11-09,2,3,4,7,15,30,55,81,111
2025-11-16,3,3,5,9,18,37,67,99,135
2025-11-23,3,4,6,11,22,44,81,120,164
2025-11-30,4,5,7,13,27,54,98,145,199
2025-12-07,4,6,9,16,32,65,119,176,241
2025-12-14,5,7,11,20,39,79,144,214,292
2025-12-21,7,9,13,24,47,96,175,259,354
2026-01-04,8,11,16,29,57,116,212,314,429
2026-01-11,10,13,19,35,69,140,256,379,518
2026-01-18,12,16,23,42,84,169,309,458,626
2026-01-25,14,19,27,51,101,204,372,551,753
2026-02-01,17,23,33,61,121,245,446,660,903
2026-02-08,20,27,39,72,144,291,532,787,1076
2026-02-15,24,32,46,85,170,344,628,930,1271
2026-02-22,28,37,54,100,199,403,734,1087,1486
2026-03-01,32,43,62,115,229,463,845,1250,1709
2026-03-08,36,49,70,129,258,522,952,1409,1926
2026-03-15,39,53,77,142,283,573,1045,1547,2115
2026-03-22,42,57,82,151,301,609,1112,1646,2250
2026-03-29,43,58,84,155,309,626,1142,1690,2310
2026-04-05,43,58,83,153,305,619,1129,1671,2285
2026-04-12,41,55,79,146,291,590,1077,1594,2178
2026-04-19,37,51,73,135,269,544,993,1470,2009
2026-04-26,34,45,66,121,241,488,890,1318,1801
2026-05-03,29,40,57,106,211,427,780,1154,1578
2026-05-10,25,34,49,91,182,368,671,994,1358
2026-05-17,21,29,42,78,154,313,570,844,1154
2026-05-24,18,24,35,65,130,263,480,711,971
2026-05-31,15,20,30,55,109,220,401,594,812
2026-06-07,13,17,25,45,90,183,334,494,676
2026-06-14,10,14,20,38,75,152,277,410,560
2026-06-21,9,12,17,31,62,126,229,339,464
2026-06-28,7,10,14,26,51,104,189,280,383
2026-07-05,6,8,12,21,42,86,156,231,316
2026-07-12,5,7,9,18,35,71,129,191,261
2026-07-19,4,5,8,14,29,58,106,157,215
2026-07-26,3,4,6,12,24,48,88,130,177
2026-08-02,3,4,5,10,20,40,72,107,146
2026-08-09,2,3,4,8,16,33,59,88,120
2026-08-16,2,2,4,7,13,27,49,72,99
2026-08-23,2,2,3,5,11,22,40,60,82
2026-08-30,1,2,2,5,9,18,33,49,67
2026-09-06,1,1,2,4,7,15,27,41,55
2026-09-13,1,1,2,3,6,12,23,33,46
2026-09-20,1,1,1,3,5,10,19,27,38
2026-09-27,1,1,1,2,4,8,15,23,31
2026-10-04,1,1,1,2,5,9,17,25,35
