date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,2,4,9,23,60,142,249,398
2025-10-12,2,2,4,10,27,71,167,292,466
2025-10-19,2,3,5,12,32,83,196,342,547
2025-10-26,2,3,6,14,37,97,230,401,642
2025-11-02,3,4,7,16,44,114,270,471,753
2025-11-09,3,5,8,19,51,134,316,552,883
2025-11-16,3,5,9,22,60,157,371,648,1036
2025-11-23,4,6,11,26,71,184,435,759,1215
2025-11-30,5,7,13,31,83,216,510,890,1424
2025-12-07,6,9,15,36,97,253,598,1044,1670
2025-12-14,7,10,17,42,114,297,700,1223,1956
2025-12-21,8,12,20,49,133,348,820,1432,2291
2026-01-04,9,14,24,58,156,407,960,1676,2681
2026-01-11,10,16,28,67,182,476,1122,1960,3135
2026-01-18,12,19,32,79,213,556,1311,2288,3660
2026-01-25,14,22,38,92,248,648,1528,2667,4267
2026-02-01,17,26,44,106,288,753,1776,3102,4962
2026-02-08,19,30,51,123,334,873,2059,3595,5751
2026-02-15,22,35,58,142,386,1008,2376,4149,6637
2026-02-22,25,40,67,163,443,1156,2727,4761,7616
2026-03-01,29,45,76,186,504,1317,3105,5422,8673
2026-03-08,33,51,86,210,568,1485,3501,6113,9779
2026-03-15,36,57,96,234,633,1654,3899,6808,10890
2026-03-22,40,62,105,256,694,1813,4275,7465,11941
2026-03-29,43,67,113,276,747,1951,4602,8034,12852
2026-04-05,45,71,119,290,787,2056,4847,8463,13539
2026-04-12,46,73,123,299,809,2115,4986,8706,13927
2026-04-19,47,73,123,300,812,2121,5001,8732,13969
2026-04-26,46,71,120,293,794,2074,4891,8540,13661
2026-05-03,43,68,115,280,758,1980,4669,8151,13040
2026-05-10,41,64,107,261,707,1848,4359,7610,12174
2026-05-17,37,58,98,239,648,1693,3992,6970,11149
2026-05-24,33,53,89,216,584,1525,3597,6280,10046
2026-05-31,30,47,79,192,519,1356,3199,5585,8934
2026-06-07,26,41,69,169,457,1194,2815,4914,7862
2026-06-14,23,36,60,147,399,1042,2457,4290,6863
2026-06-21,20,31,52,128,346,904,2132,3722,5954
2026-06-28,17,27,45,110,299,781,1841,3214,5141
2026-07-05,15,23,39,95,257,672,1584,2766,4424
2026-07-12,13,20,33,81,221,577,1360,2374,3797
2026-07-19,11,17,29,70,189,494,1165,2034,3253
2026-07-26,9,15,25,60,162,423,996,1740,2783
2026-08-02,8,12,21,51,138,361,852,1487,2379
2026-08-09,7,11,18,44,118,308,727,1270,2031
2026-08-16,6,9,15,37,101,263,621,1084,1734
2026-08-23,5,8,13,32,86,225,530,925,1479
2026-08-30,4,7,11,27,73,192,452,789,1262
2026-09-06,4,6,9,23,63,163,385,673,1076
2026-09-13,3,5,8,20,53,139,328,574,917
2026-09-20,3,4,7,17,45,119,280,489,782
2026-09-27,2,3,6,14,39,101,239,417,667
2026-10-04,1,2,3,7,20,51,121,212,339
