date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,8,12,17,33,66,134,256,372,527
2025-10-12,10,14,20,38,77,155,297,432,612
2025-10-19,11,16,23,44,89,180,345,502,711
2025-10-26,13,19,27,51,104,209,401,583,825
2025-11-02,15,22,32,60,120,243,466,677,958
2025-11-09,18,25,37,69,140,282,541,786,1113
2025-11-16,21,29,43,81,162,328,628,913,1292
2025-11-23,24,34,49,93,188,380,729,1060,1500
2025-11-30,28,39,57,108,219,441,846,1229,1740
2025-12-07,32,46,66,126,254,512,981,1426,2019
2025-12-14,38,53,77,146,294,593,1137,1653,2340
2025-12-21,43,61,89,169,340,687,1317,1914,2710
2026-01-04,50,71,103,195,394,795,1523,2215,3135
2026-01-11,58,82,119,226,455,918,1760,2558,3622
2026-01-18,67,94,137,260,525,1059,2029,2950,4176
2026-01-25,77,108,158,299,603,1218,2333,3393,4803
2026-02-01,88,124,181,343,692,1396,2674,3888,5504
2026-02-08,101,142,207,391,789,1593,3052,4437,6281
2026-02-15,114,161,234,444,895,1807,3462,5033,7125
2026-02-22,129,181,264,500,1008,2034,3898,5667,8022
2026-03-01,143,202,294,558,1124,2269,4347,6320,8947
2026-03-08,158,223,325,615,1239,2501,4792,6967,9863
2026-03-15,172,242,353,668,1347,2718,5207,7571,10717
2026-03-22,184,258,377,714,1439,2904,5564,8089,11451
2026-03-29,192,271,395,748,1508,3044,5832,8479,12003
2026-04-05,198,278,405,768,1548,3124,5985,8702,12319
2026-04-12,198,279,407,771,1554,3136,6008,8735,12365
2026-04-19,195,274,399,757,1525,3078,5897,8574,12138
2026-04-26,187,263,384,727,1465,2957,5665,8237,11660
2026-05-03,176,248,361,684,1380,2785,5335,7756,10980
2026-05-10,163,229,334,633,1277,2576,4936,7176,10159
2026-05-17,148,209,305,577,1163,2348,4498,6540,9258
2026-05-24,134,188,274,519,1047,2113,4048,5885,8331
2026-05-31,119,167,244,463,932,1882,3606,5242,7421
2026-06-07,105,148,216,409,824,1663,3186,4632,6557
2026-06-14,92,130,189,359,723,1460,2797,4067,5757
2026-06-21,81,114,166,314,632,1276,2444,3553,5030
2026-06-28,70,99,144,273,550,1110,2127,3093,4378
2026-07-05,61,86,125,237,477,964,1846,2684,3800
2026-07-12,53,74,108,205,414,835,1599,2325,3291
2026-07-19,46,64,94,177,358,722,1383,2011,2846
2026-07-26,39,55,81,153,309,623,1194,1737,2458
2026-08-02,34,48,70,132,267,538,1031,1499,2121
2026-08-09,29,41,60,114,230,464,889,1292,1829
2026-08-16,25,36,52,98,198,400,766,1114,1577
2026-08-23,22,31,45,85,171,345,660,960,1359
2026-08-30,19,26,39,73,147,297,569,827,1170
2026-09-06,16,23,33,63,127,256,490,712,1008
2026-09-13,14,20,29,54,109,220,422,613,868
2026-09-20,12,17,25,47,94,189,363,528,747
2026-09-27,10,15,21,40,81,163,313,454,643
2026-10-04,7,10,15,28,57,115,220,320,453
