date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,2,2,4,7,12,19,26,33
2025-10-12,2,2,3,5,8,14,22,30,39
2025-10-19,2,3,3,6,10,17,26,36,46
2025-10-26,2,3,4,7,11,19,31,42,54
2025-11-02,3,4,5,8,13,23,36,49,63
2025-11-09,3,4,5,9,15,27,42,57,74
2025-11-16,4,5,6,10,18,31,50,67,87
2025-11-23,4,6,8,12,21,37,58,79,101
2025-11-30,5,7,9,14,25,43,68,92,119
2025-12-07,6,8,10,17,29,50,80,108,139
2025-12-14,7,9,12,20,34,59,94,127,163
2025-12-21,8,11,14,23,40,69,110,149,191
2026-01-04,10,12,17,27,47,81,128,174,224
2026-01-11,11,15,19,32,54,94,150,203,261
2026-01-18,13,17,23,37,64,110,175,237,305
2026-01-25,15,20,26,43,74,129,204,277,356
2026-02-01,18,23,31,50,86,150,238,322,414
2026-02-08,21,27,36,58,100,173,276,373,480
2026-02-15,24,31,41,67,116,200,319,432,555
2026-02-22,28,36,47,77,133,230,366,496,638
2026-03-01,32,41,54,88,152,263,418,566,728
2026-03-08,36,46,61,100,172,298,473,641,824
2026-03-15,40,51,68,112,192,333,529,717,921
2026-03-22,44,57,75,123,212,367,584,791,1016
2026-03-29,48,62,81,133,229,398,632,857,1101
2026-04-05,51,65,86,142,244,423,672,910,1170
2026-04-12,53,68,90,147,253,439,697,945,1214
2026-04-19,53,69,91,149,256,444,706,957,1229
2026-04-26,53,68,90,147,253,439,697,945,1214
2026-05-03,51,65,86,142,244,423,672,910,1170
2026-05-10,48,62,81,133,229,398,632,857,1101
2026-05-17,44,57,75,123,212,367,584,791,1016
2026-05-24,40,51,68,112,192,333,529,717,921
2026-05-31,36,46,61,100,172,298,473,641,824
2026-06-07,32,41,54,88,152,263,418,566,728
2026-06-14,28,36,47,77,133,230,366,496,638
2026-06-21,24,31,41,67,116,200,319,432,555
2026-06-28,21,27,36,58,100,173,276,373,480
2026-07-05,18,23,31,50,86,150,238,322,414
2026-07-12,15,20,26,43,74,129,204,277,356
2026-07-19,13,17,23,37,64,110,175,237,305
2026-07-26,11,15,19,32,54,94,150,203,261
2026-08-02,10,12,17,27,47,81,128,174,224
2026-08-09,8,11,14,23,40,69,110,149,191
2026-08-16,7,9,12,20,34,59,94,127,163
2026-08-23,6,8,10,17,29,50,80,108,139
2026-08-30,5,7,9,14,25,43,68,92,119
2026-09-06,4,6,8,12,21,37,58,79,101
2026-09-13,4,5,6,10,18,31,50,67,87
2026-09-20,3,4,5,9,15,27,42,57,74
2026-09-27,3,4,5,8,13,23,36,49,63
2026-10-04,1,2,2,3,6,10,16,22,28
