date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,4,5,6,9,15,22,33,41,51
2025-10-12,5,6,7,11,17,26,38,48,59
2025-10-19,5,7,8,12,20,30,44,56,69
2025-10-26,6,8,10,14,23,35,51,65,80
2025-11-02,7,9,11,17,27,41,60,75,93
2025-11-09,8,10,13,20,31,47,69,87,108
2025-11-16,10,12,15,23,36,55,80,101,126
2025-11-23,11,14,18,26,42,64,93,118,146
2025-11-30,13,16,21,31,48,74,108,137,169
2025-12-07,15,19,24,35,56,86,126,159,196
2025-12-14,17,22,28,41,65,99,146,184,228
2025-12-21,20,25,32,48,75,115,169,213,264
2026-01-04,23,29,37,55,87,133,196,247,305
2026-01-11,27,34,43,64,101,154,226,285,353
2026-01-18,31,39,50,74,116,178,261,329,408
2026-01-25,36,45,57,85,134,205,301,379,469
2026-02-01,41,52,66,97,154,235,345,436,539
2026-02-08,47,59,75,111,176,269,395,498,617
2026-02-15,53,67,85,127,200,306,450,567,703
2026-02-22,60,76,97,143,227,347,509,642,795
2026-03-01,68,85,109,161,254,389,571,720,892
2026-03-08,75,95,121,179,282,432,634,800,990
2026-03-15,82,104,132,196,310,473,696,877,1086
2026-03-22,89,112,143,212,334,511,751,947,1173
2026-03-29,94,119,151,224,355,542,797,1005,1244
2026-04-05,98,124,157,233,369,564,828,1044,1293
2026-04-12,100,126,160,237,375,574,843,1063,1316
2026-04-19,99,125,159,236,373,571,839,1057,1309
2026-04-26,97,122,155,230,363,555,816,1029,1274
2026-05-03,92,116,148,219,346,529,778,981,1214
2026-05-10,86,109,138,205,324,495,727,917,1135
2026-05-17,79,100,127,188,298,455,669,843,1044
2026-05-24,72,91,115,171,270,412,606,764,946
2026-05-31,64,81,103,153,242,370,543,685,848
2026-06-07,57,72,92,136,215,328,482,608,753
2026-06-14,50,64,81,120,189,289,425,536,663
2026-06-21,44,56,71,105,166,253,372,469,581
2026-06-28,38,49,62,91,145,221,325,409,507
2026-07-05,33,42,54,80,126,192,282,356,441
2026-07-12,29,37,46,69,109,167,245,309,382
2026-07-19,25,32,40,60,94,144,212,267,331
2026-07-26,22,27,35,52,82,125,183,231,286
2026-08-02,19,24,30,45,70,108,158,199,247
2026-08-09,16,20,26,38,61,93,136,172,213
2026-08-16,14,18,22,33,52,80,118,148,184
2026-08-23,12,15,19,29,45,69,101,128,158
2026-08-30,10,13,17,25,39,59,87,110,136
2026-09-06,9,11,14,21,33,51,75,95,117
2026-09-13,8,10,12,18,29,44,65,82,101
2026-09-20,7,8,11,16,25,38,56,70,87
2026-09-27,6,7,9,14,21,33,48,61,75
2026-10-04,3,4,5,8,13,19,28,36,44
