date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,2,3,4,6,11,19,29,39,50
2025-10-12,3,4,5,8,13,22,35,46,60
2025-10-19,3,4,6,9,15,26,42,55,71
2025-10-26,4,5,7,11,18,31,50,66,85
2025-11-02,5,6,8,13,22,38,59,79,101
2025-11-09,6,8,10,16,26,45,71,94,121
2025-11-16,7,9,12,19,31,53,84,112,144
2025-11-23,8,11,14,22,37,63,101,133,172
2025-11-30,10,13,17,26,44,76,120,159,204
2025-12-07,12,15,20,31,53,90,143,189,243
2025-12-14,14,18,23,37,63,107,170,225,290
2025-12-21,17,22,28,44,75,127,202,267,344
2026-01-04,20,26,33,53,89,151,239,317,409
2026-01-11,24,30,39,62,105,179,284,376,484
2026-01-18,28,36,46,74,124,212,335,445,572
2026-01-25,33,42,54,87,146,249,395,524,675
2026-02-01,39,49,64,102,171,293,463,614,791
2026-02-08,45,58,74,119,200,341,540,715,921
2026-02-15,52,66,86,137,231,393,623,826,1064
2026-02-22,59,76,98,157,263,449,711,942,1214
2026-03-01,67,85,110,176,296,504,799,1059,1364
2026-03-08,74,94,121,194,326,556,880,1167,1503
2026-03-15,79,101,131,209,351,598,948,1256,1618
2026-03-22,83,106,137,219,368,627,993,1316,1695
2026-03-29,84,108,139,222,374,637,1010,1338,1724
2026-04-05,83,106,137,219,369,629,996,1320,1700
2026-04-12,80,102,131,210,353,602,953,1263,1627
2026-04-19,74,95,122,195,328,560,887,1176,1515
2026-04-26,67,86,111,178,299,509,807,1069,1377
2026-05-03,60,77,99,158,266,454,719,953,1228
2026-05-10,53,67,87,139,234,398,631,836,1077
2026-05-17,46,58,75,120,202,345,547,725,934
2026-05-24,39,50,65,103,174,297,470,623,802
2026-05-31,34,43,55,88,148,253,401,531,685
2026-06-07,28,36,47,75,126,215,340,451,581
2026-06-14,24,31,40,63,107,182,288,382,492
2026-06-21,20,26,34,54,90,153,243,322,415
2026-06-28,17,22,28,45,76,129,205,271,350
2026-07-05,14,18,24,38,64,109,172,228,294
2026-07-12,12,15,20,32,54,91,145,192,247
2026-07-19,10,13,17,27,45,77,122,161,208
2026-07-26,9,11,14,22,38,64,102,135,174
2026-08-02,7,9,12,19,32,54,86,114,146
2026-08-09,6,8,10,16,27,45,72,95,123
2026-08-16,5,6,8,13,22,38,60,80,103
2026-08-23,4,5,7,11,19,32,51,67,86
2026-08-30,4,5,6,9,16,27,42,56,73
2026-09-06,3,4,5,8,13,23,36,47,61
2026-09-13,2,3,4,7,11,19,30,40,51
2026-09-20,2,3,3,6,9,16,25,33,43
2026-09-27,2,2,3,5,8,13,21,28,36
2026-10-04,2,3,3,5,9,16,25,33,42
