date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,0,1,2,6,24,86,312,653,1189
2025-10-12,1,1,2,8,30,108,389,814,1484
2025-10-19,1,1,3,10,37,134,485,1016,1852
2025-10-26,1,2,4,12,46,167,606,1268,2311
2025-11-02,1,2,5,15,58,209,756,1583,2884
2025-11-09,1,3,6,19,72,261,943,1975,3598
2025-11-16,2,3,7,24,90,325,1177,2464,4490
2025-11-23,2,4,9,30,112,406,1468,3074,5602
2025-11-30,3,5,11,37,140,506,1831,3835,6988
2025-12-07,3,6,14,46,174,632,2284,4783,8716
2025-12-14,4,8,17,57,217,788,2848,5964,10868
2025-12-21,5,10,21,72,271,982,3550,7434,13546
2026-01-04,6,12,26,89,337,1223,4422,9260,16873
2026-01-11,8,16,33,111,419,1521,5502,11522,20994
2026-01-18,10,19,41,138,521,1890,6835,14313,26080
2026-01-25,12,24,51,171,646,2342,8470,17736,32318
2026-02-01,15,30,63,211,797,2891,10455,21894,39895
2026-02-08,18,36,77,259,978,3548,12832,26870,48963
2026-02-15,22,44,93,315,1190,4316,15611,32691,59568
2026-02-22,27,53,112,378,1429,5184,18749,39262,71542
2026-03-01,31,62,132,446,1685,6111,22104,46286,84341
2026-03-08,36,72,152,512,1936,7022,25396,53181,96904
2026-03-15,40,80,169,569,2150,7799,28209,59071,107638
2026-03-22,43,85,180,606,2291,8311,30058,62943,114692
2026-03-29,43,86,183,616,2329,8448,30556,63985,116592
2026-04-05,42,84,177,596,2255,8181,29589,61960,112902
2026-04-12,39,77,164,552,2087,7569,27374,57322,104451
2026-04-19,35,69,146,491,1856,6733,24352,50994,92920
2026-04-26,30,59,126,423,1601,5806,21000,43974,80128
2026-05-03,25,50,106,357,1349,4892,17693,37049,67509
2026-05-10,21,41,88,296,1118,4054,14662,30702,55944
2026-05-17,17,34,72,242,916,3321,12012,25154,45834
2026-05-24,14,28,58,197,744,2700,9766,20451,37265
2026-05-31,11,22,47,159,602,2184,7900,16543,30145
2026-06-07,9,18,38,128,486,1761,6369,13338,24304
2026-06-14,7,14,31,103,391,1417,5124,10730,19552
2026-06-21,6,12,25,83,314,1138,4117,8620,15708
2026-06-28,5,9,20,67,252,914,3304,6919,12608
2026-07-05,4,7,16,53,202,733,2651,5550,10114
2026-07-12,3,6,13,43,162,588,2125,4451,8110
2026-07-19,2,5,10,34,130,471,1704,3568,6502
2026-07-26,2,4,8,28,104,378,1366,2860,5212
2026-08-02,2,3,7,22,83,303,1095,2292,4177
2026-08-09,1,2,5,18,67,243,877,1837,3348
2026-08-16,1,2,4,14,54,194,703,1472,2683
2026-08-23,1,2,3,11,43,156,563,1180,2150
2026-08-30,1,1,3,9,34,125,452,945,1723
2026-09-06,1,1,2,7,28,100,362,758,1381
2026-09-13,0,1,2,6,22,80,290,607,1106
2026-09-20,0,1,1,5,18,64,232,487,887
2026-09-27,0,1,1,4,14,51,186,390,710
2026-10-04,0,1,1,5,19,69,250,523,953
