date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,0,0,1,1,3,6,12,19,28
2025-10-12,0,1,1,2,3,7,15,22,33
2025-10-19,0,1,1,2,4,9,18,27,40
2025-10-26,1,1,1,2,5,11,21,32,48
2025-11-02,1,1,1,3,6,13,25,38,57
2025-11-09,1,1,2,3,7,15,30,46,69
2025-11-16,1,1,2,4,8,18,36,55,82
2025-11-23,1,2,2,5,10,22,44,66,99
2025-11-30,1,2,3,6,12,26,52,80,118
2025-12-07,1,2,3,7,14,31,63,96,142
2025-12-14,2,3,4,8,17,38,75,115,170
2025-12-21,2,3,5,10,21,45,90,138,204
2026-01-04,3,4,6,12,25,54,108,165,245
2026-01-11,3,5,7,14,30,65,130,197,293
2026-01-18,4,6,8,16,36,78,155,236,351
2026-01-25,4,7,10,20,43,93,186,282,420
2026-02-01,5,8,12,24,51,111,221,337,501
2026-02-08,6,9,14,28,61,132,264,401,596
2026-02-15,7,11,17,33,72,156,313,476,708
2026-02-22,9,13,20,39,85,185,370,563,836
2026-03-01,10,15,24,46,100,217,434,660,981
2026-03-08,12,18,27,54,116,252,504,768,1141
2026-03-15,14,21,31,62,134,290,580,882,1310
2026-03-22,16,23,36,70,151,328,655,997,1482
2026-03-29,17,26,39,77,167,363,726,1105,1642
2026-04-05,19,28,43,83,181,392,785,1194,1774
2026-04-12,20,29,45,88,190,412,824,1254,1863
2026-04-19,20,30,45,89,193,419,837,1275,1894
2026-04-26,20,29,45,88,190,412,824,1254,1863
2026-05-03,19,28,43,83,181,392,785,1194,1774
2026-05-10,17,26,39,77,167,363,726,1105,1642
2026-05-17,16,23,36,70,151,328,655,997,1482
2026-05-24,14,21,31,62,134,290,580,882,1310
2026-05-31,12,18,27,54,116,252,504,768,1141
2026-06-07,10,15,24,46,100,217,434,660,981
2026-06-14,9,13,20,39,85,185,370,563,836
2026-06-21,7,11,17,33,72,156,313,476,708
2026-06-28,6,9,14,28,61,132,264,401,596
2026-07-05,5,8,12,24,51,111,221,337,501
2026-07-12,4,7,10,20,43,93,186,282,420
2026-07-19,4,6,8,16,36,78,155,236,351
2026-07-26,3,5,7,14,30,65,130,197,293
2026-08-02,3,4,6,12,25,54,108,165,245
2026-08-09,2,3,5,10,21,45,90,138,204
2026-08-16,2,3,4,8,17,38,75,115,170
2026-08-23,1,2,3,7,14,31,63,96,142
2026-08-30,1,2,3,6,12,26,52,80,118
2026-09-06,1,2,2,5,10,22,44,66,99
2026-09-13,1,1,2,4,8,18,36,55,82
2026-09-20,1,1,2,3,7,15,30,46,69
2026-09-27,1,1,1,3,6,13,25,38,57
2026-10-04,0,0,1,1,2,5,10,15,23
