date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,0,0,0,0,0,2,10,27,61
2025-10-12,0,0,0,0,0,3,14,37,83
2025-10-19,0,0,0,0,1,4,19,50,112
2025-10-26,0,0,0,0,1,5,26,68,152
2025-11-02,0,0,0,0,1,7,35,92,207
2025-11-09,0,0,0,0,2,9,48,124,280
2025-11-16,0,0,0,0,2,13,64,168,379
2025-11-23,0,0,0,1,3,17,87,228,514
2025-11-30,0,0,0,1,4,24,118,309,696
2025-12-07,0,0,0,1,6,32,160,418,944
2025-12-14,0,0,0,1,8,43,217,567,1278
2025-12-21,0,0,0,2,10,59,294,768,1732
2026-01-04,0,0,1,2,14,79,398,1040,2346
2026-01-11,0,0,1,3,19,108,540,1408,3177
2026-01-18,0,0,1,4,25,146,730,1906,4300
2026-01-25,0,0,1,6,34,197,987,2577,5814
2026-02-01,0,1,2,8,46,266,1333,3478,7847
2026-02-08,0,1,2,10,62,357,1793,4679,10555
2026-02-15,0,1,3,14,83,478,2397,6256,14113
2026-02-22,1,1,4,18,110,632,3171,8276,18669
2026-03-01,1,2,5,24,142,820,4117,10745,24239
2026-03-08,1,2,7,30,179,1032,5181,13522,30503
2026-03-15,1,3,8,36,215,1237,6207,16201,36546
2026-03-22,1,3,9,40,240,1382,6936,18104,40838
2026-03-29,1,3,9,41,246,1417,7110,18557,41860
2026-04-05,1,3,8,39,230,1326,6657,17375,39193
2026-04-12,1,3,7,33,199,1147,5755,15020,33883
2026-04-19,1,2,6,27,162,933,4684,12226,27580
2026-04-26,1,2,5,21,127,730,3662,9559,21563
2026-05-03,1,1,4,16,97,557,2793,7290,16445
2026-05-10,0,1,3,12,73,418,2099,5480,12361
2026-05-17,0,1,2,9,54,312,1565,4085,9215
2026-05-24,0,1,1,7,40,231,1161,3032,6839
2026-05-31,0,0,1,5,30,171,860,2244,5062
2026-06-07,0,0,1,4,22,127,636,1659,3742
2026-06-14,0,0,1,3,16,94,469,1225,2764
2026-06-21,0,0,0,2,12,69,347,905,2041
2026-06-28,0,0,0,1,9,51,256,668,1506
2026-07-05,0,0,0,1,7,38,189,493,1112
2026-07-12,0,0,0,1,5,28,139,364,821
2026-07-19,0,0,0,1,4,20,103,268,606
2026-07-26,0,0,0,0,3,15,76,198,447
2026-08-02,0,0,0,0,2,11,56,146,330
2026-08-09,0,0,0,0,1,8,41,108,243
2026-08-16,0,0,0,0,1,6,31,80,180
2026-08-23,0,0,0,0,1,4,23,59,133
2026-08-30,0,0,0,0,1,3,17,43,98
2026-09-06,0,0,0,0,0,2,12,32,72
2026-09-13,0,0,0,0,0,2,9,24,53
2026-09-20,0,0,0,0,0,1,7,17,39
2026-09-27,0,0,0,0,0,1,5,13,29
2026-10-04,0,0,0,0,0,2,8,20,45
