date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,0,0,0,0,1,5,28,85,206
2025-10-12,0,0,0,0,1,6,37,112,272
2025-10-19,0,0,0,0,1,8,49,149,361
2025-10-26,0,0,0,0,1,11,65,197,478
2025-11-02,0,0,0,0,2,14,86,261,633
2025-11-09,0,0,0,0,3,19,113,345,838
2025-11-16,0,0,0,0,3,25,150,457,1110
2025-11-23,0,0,0,1,4,33,199,606,1470
2025-11-30,0,0,0,1,6,44,263,802,1947
2025-12-07,0,0,0,1,8,58,348,1062,2578
2025-12-14,0,0,0,1,10,76,461,1406,3413
2025-12-21,0,0,0,2,14,101,611,1862,4519
2026-01-04,0,0,0,3,18,134,808,2465,5981
2026-01-11,0,0,1,3,24,177,1069,3261,7913
2026-01-18,0,0,1,5,32,234,1413,4310,10460
2026-01-25,0,0,1,6,42,309,1866,5691,13810
2026-02-01,0,0,1,8,55,407,2458,7495,18189
2026-02-08,0,1,2,10,72,534,3224,9832,23860
2026-02-15,0,1,2,14,94,695,4200,12807,31081
2026-02-22,0,1,3,18,121,895,5407,16488,40012
2026-03-01,1,1,4,22,153,1130,6826,20816,50514
2026-03-08,1,1,4,27,187,1383,8355,25480,61833
2026-03-15,1,2,5,32,219,1617,9768,29788,72289
2026-03-22,1,2,6,35,241,1776,10730,32722,79409
2026-03-29,1,2,6,35,245,1810,10939,33358,80952
2026-04-05,1,2,6,33,232,1708,10320,31470,76370
2026-04-12,1,2,5,29,204,1503,9084,27701,67224
2026-04-19,1,1,4,25,170,1254,7575,23100,56058
2026-04-26,0,1,3,20,136,1006,6082,18546,45007
2026-05-03,0,1,3,15,107,788,4764,14528,35256
2026-05-10,0,1,2,12,82,608,3676,11209,27202
2026-05-17,0,0,1,9,63,465,2810,8571,20799
2026-05-24,0,0,1,7,48,354,2137,6518,15818
2026-05-31,0,0,1,5,36,268,1621,4942,11994
2026-06-07,0,0,1,4,28,203,1227,3741,9078
2026-06-14,0,0,0,3,21,153,927,2828,6864
2026-06-21,0,0,0,2,16,116,701,2137,5187
2026-06-28,0,0,0,2,12,88,529,1615,3918
2026-07-05,0,0,0,1,9,66,400,1219,2959
2026-07-12,0,0,0,1,7,50,302,921,2235
2026-07-19,0,0,0,1,5,38,228,695,1688
2026-07-26,0,0,0,1,4,28,172,525,1274
2026-08-02,0,0,0,0,3,22,130,397,962
2026-08-09,0,0,0,0,2,16,98,299,727
2026-08-16,0,0,0,0,2,12,74,226,549
2026-08-23,0,0,0,0,1,9,56,171,414
2026-08-30,0,0,0,0,1,7,42,129,313
2026-09-06,0,0,0,0,1,5,32,97,236
2026-09-13,0,0,0,0,1,4,24,74,178
2026-09-20,0,0,0,0,0,3,18,56,135
2026-09-27,0,0,0,0,0,2,14,42,102
2026-10-04,0,0,0,0,0,3,21,64,155
