date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,2,3,4,6,10,16,26,34,44
2025-10-12,3,3,4,7,11,19,30,40,51
2025-10-19,3,4,5,8,13,22,35,46,59
2025-10-26,4,5,6,9,15,26,41,54,68
2025-11-02,4,5,7,11,18,30,48,62,79
2025-11-09,5,6,8,12,21,35,55,72,92
2025-11-16,6,7,9,14,24,40,64,84,107
2025-11-23,7,8,11,17,28,47,74,98,124
2025-11-30,8,10,12,19,33,54,86,113,144
2025-12-07,9,11,14,23,38,63,100,132,167
2025-12-14,10,13,17,26,44,73,116,153,194
2025-12-21,12,15,19,30,51,85,135,177,225
2026-01-04,14,17,23,35,59,99,156,205,261
2026-01-11,16,20,26,41,68,114,181,237,302
2026-01-18,19,23,30,47,79,132,209,274,349
2026-01-25,21,27,35,54,91,152,241,316,403
2026-02-01,25,31,40,63,105,175,278,364,464
2026-02-08,28,35,46,72,120,201,318,418,532
2026-02-15,32,40,53,82,137,230,364,478,608
2026-02-22,37,46,60,93,156,261,414,543,691
2026-03-01,41,52,67,105,176,295,467,613,780
2026-03-08,46,58,75,118,197,330,523,686,873
2026-03-15,51,64,84,130,219,365,579,759,967
2026-03-22,56,70,91,142,239,399,632,829,1056
2026-03-29,60,75,98,153,256,428,679,891,1135
2026-04-05,63,79,103,162,271,452,717,941,1197
2026-04-12,66,82,107,167,280,467,741,972,1238
2026-04-19,66,83,108,169,283,473,749,983,1252
2026-04-26,66,82,107,167,280,467,741,972,1238
2026-05-03,63,79,103,162,271,452,717,941,1197
2026-05-10,60,75,98,153,256,428,679,891,1135
2026-05-17,56,70,91,142,239,399,632,829,1056
2026-05-24,51,64,84,130,219,365,579,759,967
2026-05-31,46,58,75,118,197,330,523,686,873
2026-06-07,41,52,67,105,176,295,467,613,780
2026-06-14,37,46,60,93,156,261,414,543,691
2026-06-21,32,40,53,82,137,230,364,478,608
2026-06-28,28,35,46,72,120,201,318,418,532
2026-07-05,25,31,40,63,105,175,278,364,464
2026-07-12,21,27,35,54,91,152,241,316,403
2026-07-19,19,23,30,47,79,132,209,274,349
2026-07-26,16,20,26,41,68,114,181,237,302
2026-08-02,14,17,23,35,59,99,156,205,261
2026-08-09,12,15,19,30,51,85,135,177,225
2026-08-16,10,13,17,26,44,73,116,153,194
2026-08-23,9,11,14,23,38,63,100,132,167
2026-08-30,8,10,12,19,33,54,86,113,144
2026-09-06,7,8,11,17,28,47,74,98,124
2026-09-13,6,7,9,14,24,40,64,84,107
2026-09-20,5,6,8,12,21,35,55,72,92
2026-09-27,4,5,7,11,18,30,48,62,79
2026-10-04,2,2,3,5,8,14,22,29,38
