date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,9,30,74,139,230,341,424,509
2025-10-12,1,13,34,81,151,248,368,459,551
2025-10-19,2,19,42,92,169,275,407,508,611
2025-10-26,6,24,50,103,186,302,447,557,670
2025-11-02,13,33,60,119,209,338,498,621,748
2025-11-09,20,42,72,136,235,377,555,693,834
2025-11-16,32,56,89,161,273,433,635,792,954
2025-11-23,45,71,108,189,315,496,727,905,1091
2025-11-30,62,92,134,226,371,580,847,1055,1271
2025-12-07,69,101,145,243,398,622,909,1133,1367
2025-12-14,44,72,111,196,331,528,781,979,1186
2025-12-21,32,58,94,173,299,484,722,909,1106
2026-01-04,82,117,167,278,454,714,1050,1314,1592
2026-01-11,73,107,155,261,433,685,1013,1271,1543
2026-01-18,80,116,167,279,461,730,1080,1357,1649
2026-01-25,67,100,148,253,425,678,1010,1273,1551
2026-02-01,57,90,135,236,400,644,965,1219,1489
2026-02-08,48,78,121,217,374,607,915,1159,1418
2026-02-15,36,64,104,193,339,558,846,1076,1320
2026-02-22,27,54,91,176,314,521,796,1015,1249
2026-03-01,21,46,82,164,297,498,764,977,1203
2026-03-08,7,30,62,135,254,435,675,867,1072
2026-03-15,2,24,55,125,240,414,646,833,1032
2026-03-22,1,14,43,108,216,379,596,772,959
2026-03-29,1,4,30,89,188,337,537,698,871
2026-04-05,1,1,21,76,169,309,497,649,812
2026-04-12,1,1,13,65,151,284,461,605,759
2026-04-19,1,1,10,61,146,277,452,594,747
2026-04-26,1,1,1,48,127,248,411,543,685
2026-05-03,1,1,1,45,122,241,402,532,672
2026-05-10,1,1,1,38,111,225,379,504,638
2026-05-17,1,1,1,31,102,211,359,479,608
2026-05-24,1,1,1,26,94,200,342,459,584
2026-05-31,1,1,1,22,89,192,332,446,569
2026-06-07,1,1,1,12,73,167,295,400,513
2026-06-14,1,1,1,10,70,163,290,393,505
2026-06-21,1,1,1,6,65,156,280,381,490
2026-06-28,1,1,1,6,65,157,282,385,495
2026-07-05,1,1,1,5,64,155,280,383,494
2026-07-12,1,1,1,10,71,168,300,409,526
2026-07-19,1,1,1,7,68,163,293,401,517
2026-07-26,1,1,1,5,65,159,289,396,512
2026-08-02,1,1,1,11,74,174,311,425,548
2026-08-09,1,1,1,8,70,168,304,416,538
2026-08-16,1,1,1,9,72,172,310,424,549
2026-08-23,1,1,1,10,73,174,313,429,555
2026-08-30,1,1,1,14,81,187,334,456,589
2026-09-06,1,1,1,15,82,189,337,460,595
2026-09-13,1,1,1,25,99,216,380,515,664
2026-09-20,1,1,1,25,99,217,382,518,668
2026-09-27,1,1,1,23,97,213,377,513,661
2026-10-04,1,1,1,36,117,246,427,578,743
