date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,1,22,63,112,148,184
2025-10-12,1,1,1,1,26,69,121,160,199
2025-10-19,1,1,1,1,15,56,105,141,178
2025-10-26,1,1,1,1,14,55,105,143,180
2025-11-02,1,1,1,1,16,59,112,151,191
2025-11-09,1,1,1,1,14,57,110,150,190
2025-11-16,1,1,1,1,10,52,104,143,183
2025-11-23,1,1,1,1,5,47,98,137,176
2025-11-30,1,1,1,1,6,49,102,142,183
2025-12-07,1,1,1,1,3,45,97,137,178
2025-12-14,1,1,1,1,1,39,90,129,169
2025-12-21,1,1,1,1,1,38,88,127,168
2026-01-04,1,1,1,1,9,55,113,157,203
2026-01-11,1,1,1,1,18,69,133,183,234
2026-01-18,1,1,1,1,20,72,137,188,241
2026-01-25,1,1,1,1,18,70,136,187,241
2026-02-01,1,1,1,1,28,85,157,213,272
2026-02-08,1,1,1,1,39,101,180,242,307
2026-02-15,1,1,1,1,40,103,184,247,313
2026-02-22,1,1,1,1,45,111,197,263,333
2026-03-01,1,1,1,8,57,130,223,296,373
2026-03-08,1,1,1,11,62,138,235,311,391
2026-03-15,1,1,1,14,68,146,247,327,411
2026-03-22,1,1,1,23,82,167,278,366,458
2026-03-29,1,1,1,26,87,175,290,381,477
2026-04-05,1,1,1,42,110,211,342,445,554
2026-04-12,1,1,5,49,121,228,367,477,593
2026-04-19,1,1,9,55,130,242,388,504,626
2026-04-26,1,1,15,64,144,264,420,544,675
2026-05-03,1,1,24,78,165,295,466,602,745
2026-05-10,1,6,31,88,181,319,502,647,801
2026-05-17,1,10,36,96,193,338,530,683,845
2026-05-24,1,8,34,93,189,332,522,674,835
2026-05-31,1,12,39,100,200,351,550,709,877
2026-06-07,1,16,44,108,213,370,579,746,923
2026-06-14,1,21,51,118,229,395,616,793,981
2026-06-21,1,13,40,103,207,362,569,735,912
2026-06-28,1,8,35,96,196,347,549,711,883
2026-07-05,1,8,35,96,196,348,551,715,889
2026-07-12,1,10,38,101,205,363,574,744,925
2026-07-19,1,2,28,87,184,332,530,690,860
2026-07-26,1,1,20,75,167,307,494,645,807
2026-08-02,1,1,17,71,162,299,484,633,793
2026-08-09,1,1,10,61,146,276,450,592,743
2026-08-16,1,1,6,56,139,266,436,575,723
2026-08-23,1,1,1,41,117,232,388,514,650
2026-08-30,1,1,1,39,113,227,381,506,641
2026-09-06,1,1,1,34,106,217,367,488,620
2026-09-13,1,1,1,24,92,195,335,449,572
2026-09-20,1,1,1,23,90,193,333,447,570
2026-09-27,1,1,1,20,85,186,323,435,555
2026-10-04,1,1,1,7,65,155,277,377,485
