date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,19,59,112,176,223,269
2025-10-12,1,1,1,23,65,123,191,241,292
2025-10-19,1,1,1,21,64,122,191,243,295
2025-10-26,1,1,1,22,66,126,199,253,307
2025-11-02,1,1,1,27,74,139,217,275,335
2025-11-09,1,1,1,29,78,145,227,288,351
2025-11-16,1,1,5,41,95,170,261,330,401
2025-11-23,1,1,8,45,102,180,277,350,425
2025-11-30,1,1,14,54,115,200,305,385,466
2025-12-07,1,1,16,58,121,210,320,404,490
2025-12-14,1,1,9,48,109,194,300,381,464
2025-12-21,1,1,1,36,93,172,272,348,426
2026-01-04,1,14,37,88,167,279,418,526,637
2026-01-11,1,19,44,98,182,302,452,568,687
2026-01-18,9,29,56,115,207,339,505,632,765
2026-01-25,4,24,50,107,197,325,488,613,744
2026-02-01,13,34,63,126,224,366,545,685,829
2026-02-08,16,37,67,132,234,382,570,716,867
2026-02-15,15,37,67,132,236,385,576,724,879
2026-02-22,8,28,57,119,217,360,542,684,833
2026-03-01,12,34,63,129,232,382,575,726,883
2026-03-08,8,29,57,121,222,369,557,705,860
2026-03-15,6,26,55,118,218,364,553,700,855
2026-03-22,1,17,44,103,197,335,512,652,798
2026-03-29,1,9,34,89,177,306,473,604,742
2026-04-05,1,7,31,86,173,301,468,599,736
2026-04-12,1,1,24,76,159,281,439,564,696
2026-04-19,1,1,20,70,150,269,424,546,675
2026-04-26,1,1,8,53,127,235,377,488,606
2026-05-03,1,1,3,47,118,223,359,467,582
2026-05-10,1,1,1,42,111,212,345,451,562
2026-05-17,1,1,1,38,105,205,335,438,548
2026-05-24,1,1,1,29,92,185,308,405,508
2026-05-31,1,1,1,22,81,170,287,380,478
2026-06-07,1,1,1,20,80,168,285,377,476
2026-06-14,1,1,1,15,73,158,270,360,455
2026-06-21,1,1,1,14,71,155,267,356,451
2026-06-28,1,1,1,9,63,144,252,338,429
2026-07-05,1,1,1,14,71,157,271,361,458
2026-07-12,1,1,1,16,74,162,278,372,471
2026-07-19,1,1,1,12,69,155,269,360,457
2026-07-26,1,1,1,10,66,151,264,354,450
2026-08-02,1,1,1,7,62,145,256,344,439
2026-08-09,1,1,1,2,55,134,240,325,416
2026-08-16,1,1,1,2,55,134,240,326,417
2026-08-23,1,1,1,1,52,130,235,319,409
2026-08-30,1,1,1,3,57,138,247,335,428
2026-09-06,1,1,1,2,56,136,245,332,425
2026-09-13,1,1,1,10,67,155,272,366,467
2026-09-20,1,1,1,4,59,142,254,344,440
2026-09-27,1,1,1,8,65,151,267,361,462
2026-10-04,1,1,1,11,69,158,278,375,478
