date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,1,17,73,148,207,270
2025-10-12,1,1,1,1,21,80,159,222,289
2025-10-19,1,1,1,1,19,79,158,222,290
2025-10-26,1,1,1,1,2,54,123,179,238
2025-11-02,1,1,1,1,9,65,141,202,267
2025-11-09,1,1,1,1,14,75,156,221,291
2025-11-16,1,1,1,1,38,112,211,291,377
2025-11-23,1,1,1,1,18,82,168,238,313
2025-11-30,1,1,1,1,13,75,158,226,299
2025-12-07,1,1,1,1,3,59,135,198,265
2025-12-14,1,1,1,1,14,76,162,232,307
2025-12-21,1,1,1,1,-7,45,116,174,236
2026-01-04,1,1,1,1,-4,49,123,183,248
2026-01-11,1,1,1,1,20,87,180,256,339
2026-01-18,1,1,1,1,30,103,204,287,377
2026-01-25,1,1,1,1,32,107,211,296,388
2026-02-01,1,1,1,1,32,108,212,298,392
2026-02-08,1,1,1,1,40,120,231,322,422
2026-02-15,1,1,1,1,58,148,274,378,491
2026-02-22,1,1,1,8,71,170,307,420,544
2026-03-01,1,1,1,1,47,133,252,350,457
2026-03-08,1,1,1,1,56,146,272,376,490
2026-03-15,1,1,1,31,107,228,395,534,686
2026-03-22,1,1,1,45,130,265,452,607,777
2026-03-29,1,1,8,64,160,313,526,702,895
2026-04-05,1,1,14,72,173,334,558,744,947
2026-04-12,1,1,15,74,177,340,567,756,963
2026-04-19,1,1,9,65,162,317,532,712,908
2026-04-26,1,1,7,63,159,312,525,703,897
2026-05-03,1,1,23,87,197,373,618,822,1046
2026-05-10,1,1,26,91,205,385,637,847,1077
2026-05-17,1,4,34,104,224,417,686,910,1156
2026-05-24,1,1,13,71,173,335,562,751,958
2026-05-31,1,1,1,40,124,257,443,598,768
2026-06-07,1,1,1,36,117,246,427,577,743
2026-06-14,1,1,1,17,87,198,354,484,626
2026-06-21,1,1,1,24,99,217,383,521,673
2026-06-28,1,1,1,12,82,195,357,493,644
2026-07-05,1,1,1,26,109,247,447,618,810
2026-07-12,1,1,1,17,97,233,434,608,804
2026-07-19,1,1,1,1,72,195,380,541,726
2026-07-26,1,1,1,1,50,162,331,482,654
2026-08-02,1,1,1,1,72,204,406,587,796
2026-08-09,1,1,1,1,78,218,437,633,861
2026-08-16,1,1,1,1,61,191,395,581,797
2026-08-23,1,1,1,1,49,172,368,546,755
2026-08-30,1,1,1,1,36,150,333,501,699
2026-09-06,1,1,1,1,27,136,312,474,666
2026-09-13,1,1,1,1,30,142,325,496,698
2026-09-20,1,1,1,1,20,125,297,458,650
2026-09-27,1,1,1,1,29,145,334,513,725
2026-10-04,1,1,1,1,7,104,263,414,594
