date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,194,242,307,445,653,941,1293,1558,1829
2025-10-12,208,260,330,478,704,1019,1406,1699,1998
2025-10-19,203,255,325,475,705,1027,1424,1727,2037
2025-10-26,198,250,320,472,705,1032,1440,1751,2072
2025-11-02,235,294,375,549,819,1200,1677,2042,2419
2025-11-09,251,314,400,586,876,1288,1805,2203,2615
2025-11-16,297,369,468,683,1019,1498,2104,2571,3055
2025-11-23,310,386,490,717,1072,1582,2229,2729,3249
2025-11-30,349,432,548,800,1198,1770,2498,3064,3653
2025-12-07,334,416,529,778,1170,1738,2463,3027,3616
2025-12-14,258,327,421,630,960,1439,2053,2533,3034
2025-12-21,249,316,410,616,943,1421,2034,2514,3017
2026-01-04,574,705,888,1291,1934,2875,4088,5039,6037
2026-01-11,687,841,1057,1533,2295,3414,4861,5998,7193
2026-01-18,789,965,1211,1756,2630,3917,5587,6901,8285
2026-01-25,908,1108,1390,2015,3020,4504,6435,7958,9564
2026-02-01,1071,1306,1636,2370,3554,5306,7591,9398,11305
2026-02-08,1105,1349,1692,2455,3689,5521,7915,9812,11817
2026-02-15,1129,1379,1731,2517,3792,5687,8170,10141,12226
2026-02-22,1137,1391,1748,2547,3845,5780,8321,10340,12480
2026-03-01,1180,1443,1816,2649,4006,6034,8701,10825,13077
2026-03-08,1214,1486,1871,2734,4142,6249,9028,11243,13594
2026-03-15,1280,1568,1975,2889,4383,6623,9582,11945,14455
2026-03-22,1271,1558,1964,2878,4375,6624,9600,11979,14510
2026-03-29,1208,1484,1874,2753,4194,6364,9240,11542,13993
2026-04-05,1275,1566,1979,2909,4437,6740,9799,12250,14862
2026-04-12,1242,1527,1931,2844,4346,6615,9632,12053,14634
2026-04-19,1204,1482,1877,2769,4240,6464,9427,11805,14345
2026-04-26,1196,1474,1868,2760,4232,6463,9437,11828,14382
2026-05-03,1190,1467,1862,2754,4230,6468,9456,11861,14431
2026-05-10,1124,1388,1763,2615,4023,6163,9024,11327,13792
2026-05-17,967,1198,1527,2273,3508,5388,7903,9931,12101
2026-05-24,784,975,1249,1869,2898,4465,6565,8259,10073
2026-05-31,638,799,1028,1549,2414,3732,5500,6928,8457
2026-06-07,552,694,897,1358,2125,3296,4867,6137,7499
2026-06-14,463,586,762,1162,1828,2845,4212,5317,6503
2026-06-21,370,473,620,956,1514,2369,3518,4448,5446
2026-06-28,264,344,459,721,1158,1828,2731,3462,4248
2026-07-05,208,277,374,597,971,1544,2317,2945,3619
2026-07-12,158,216,298,486,802,1286,1942,2475,3048
2026-07-19,128,179,252,419,699,1131,1716,2192,2704
2026-07-26,99,143,207,354,600,980,1495,1914,2367
2026-08-02,98,143,207,355,602,985,1505,1929,2386
2026-08-09,79,120,178,312,537,886,1360,1747,2165
2026-08-16,80,121,180,315,542,895,1376,1768,2192
2026-08-23,64,102,156,279,489,813,1256,1617,2008
2026-08-30,55,90,141,258,456,764,1184,1527,1899
2026-09-06,52,86,136,252,447,751,1165,1505,1873
2026-09-13,62,99,153,277,486,813,1260,1625,2022
2026-09-20,64,101,156,281,494,826,1280,1653,2056
2026-09-27,62,99,153,277,488,817,1268,1638,2039
2026-10-04,75,116,174,310,540,899,1392,1796,2235
