date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,26,54,94,185,337,572,888,1144,1420
2025-10-12,36,67,111,214,387,656,1023,1323,1648
2025-10-19,38,70,117,225,410,699,1099,1428,1786
2025-10-26,38,71,119,232,425,732,1160,1514,1901
2025-11-02,53,90,145,274,499,858,1362,1783,2246
2025-11-09,55,94,151,287,524,908,1452,1908,2412
2025-11-16,88,136,207,376,676,1164,1860,2450,3102
2025-11-23,95,146,221,401,724,1253,2015,2663,3384
2025-11-30,118,176,262,470,845,1464,2363,3132,3992
2025-12-07,130,192,285,511,920,1602,2599,3457,4418
2025-12-14,113,171,259,473,863,1520,2486,3322,4262
2025-12-21,107,165,252,465,857,1522,2506,3361,4327
2026-01-04,293,404,572,987,1754,3063,5014,6719,8651
2026-01-11,404,549,768,1312,2324,4063,6673,8963,11567
2026-01-18,496,670,934,1592,2824,4954,8170,11005,14240
2026-01-25,579,779,1085,1850,3291,5799,9608,12980,16840
2026-02-01,678,911,1266,2161,3857,6824,11358,15388,20016
2026-02-08,742,997,1388,2375,4257,7570,12659,17202,22434
2026-02-15,842,1131,1574,2699,4855,8672,14567,19851,25953
2026-02-22,913,1227,1710,2942,5315,9539,16098,21999,28831
2026-03-01,1006,1351,1885,3252,5899,10636,18028,24702,32452
2026-03-08,1112,1494,2087,3610,6574,11906,20266,27842,36662
2026-03-15,1231,1655,2315,4015,7339,13350,22819,31430,41479
2026-03-22,1264,1702,2386,4155,7630,13944,23935,33052,43718
2026-03-29,1237,1671,2349,4109,7582,13921,23999,33224,44041
2026-04-05,1343,1815,2555,4482,8302,15306,26487,36755,48823
2026-04-12,1352,1831,2583,4549,8463,15670,27224,37867,50403
2026-04-19,1243,1690,2393,4237,7921,14737,25706,35841,47804
2026-04-26,1163,1587,2255,4012,7537,14085,24665,34469,46064
2026-05-03,1037,1422,2029,3630,6856,12872,22630,31697,42443
2026-05-10,895,1233,1769,3187,6053,11420,20157,28297,37964
2026-05-17,707,983,1422,2585,4946,9383,16632,23403,31460
2026-05-24,502,710,1040,1919,3708,7083,12616,17798,23975
2026-05-31,357,516,769,1443,2822,5431,9723,13753,18565
2026-06-07,266,393,597,1142,2259,4381,7884,11181,15125
2026-06-14,178,276,432,850,1711,3353,6070,8633,11705
2026-06-21,104,176,291,601,1241,2464,4495,6416,8721
2026-06-28,57,114,204,446,950,1916,3529,5058,6897
2026-07-05,25,70,142,338,745,1530,2846,4097,5606
2026-07-12,1,36,94,252,582,1222,2299,3327,4568
2026-07-19,1,12,60,192,468,1007,1916,2786,3839
2026-07-26,1,1,36,148,384,847,1631,2384,3298
2026-08-02,1,1,23,125,343,769,1494,2192,3041
2026-08-09,1,1,13,108,311,709,1390,2047,2848
2026-08-16,1,1,8,99,293,678,1337,1975,2754
2026-08-23,1,1,4,92,281,657,1304,1932,2700
2026-08-30,1,1,1,76,251,600,1203,1789,2506
2026-09-06,1,1,1,80,259,618,1240,1847,2592
2026-09-13,1,1,5,96,293,689,1376,2049,2875
2026-09-20,1,1,2,92,286,678,1361,2030,2853
2026-09-27,1,1,1,90,283,674,1357,2028,2856
2026-10-04,1,1,3,94,293,696,1404,2099,2959
