date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,17,74,158,268,355,447
2025-10-12,1,1,1,24,86,178,300,397,500
2025-10-19,1,1,1,25,89,185,314,416,526
2025-10-26,1,1,1,31,99,203,342,454,574
2025-11-02,1,1,1,45,122,240,399,528,667
2025-11-09,1,1,3,53,135,263,437,578,730
2025-11-16,1,1,17,74,170,320,524,691,871
2025-11-23,1,1,16,74,171,324,534,706,893
2025-11-30,1,1,21,82,186,349,575,761,964
2025-12-07,1,1,23,86,194,364,601,797,1011
2025-12-14,1,1,8,63,159,312,525,702,895
2025-12-21,1,1,11,68,169,329,554,742,947
2026-01-04,2,27,64,152,304,547,891,1178,1494
2026-01-11,24,55,100,208,396,699,1128,1488,1884
2026-01-18,42,78,131,256,476,832,1338,1763,2233
2026-01-25,59,100,159,301,552,960,1541,2031,2574
2026-02-01,73,117,183,339,616,1068,1715,2262,2869
2026-02-08,80,127,196,361,655,1136,1826,2411,3062
2026-02-15,95,146,221,402,724,1254,2017,2666,3388
2026-02-22,95,146,222,405,732,1271,2050,2715,3455
2026-03-01,105,159,240,435,785,1363,2200,2916,3715
2026-03-08,113,170,255,460,828,1440,2328,3089,3939
2026-03-15,124,185,275,492,885,1539,2491,3309,4224
2026-03-22,132,195,288,515,926,1612,2613,3474,4440
2026-03-29,127,188,281,505,911,1592,2588,3446,4409
2026-04-05,122,183,274,496,899,1575,2568,3424,4387
2026-04-12,119,180,270,490,892,1567,2561,3420,4387
2026-04-19,103,159,243,448,824,1456,2389,3196,4106
2026-04-26,83,134,211,398,741,1319,2174,2916,3752
2026-05-03,70,118,189,364,686,1230,2035,2735,3525
2026-05-10,53,95,159,317,607,1100,1829,2464,3182
2026-05-17,28,64,118,251,497,914,1533,2073,2683
2026-05-24,4,33,77,186,386,728,1236,1679,2181
2026-05-31,1,13,51,144,315,608,1045,1426,1858
2026-06-07,1,1,27,106,251,500,871,1195,1563
2026-06-14,1,1,16,88,222,450,792,1092,1431
2026-06-21,1,1,4,69,190,396,705,976,1284
2026-06-28,1,1,1,53,163,352,636,885,1168
2026-07-05,1,1,1,37,136,306,562,787,1044
2026-07-12,1,1,1,24,115,271,506,713,949
2026-07-19,1,1,1,16,100,246,466,661,883
2026-07-26,1,1,1,9,89,228,439,624,837
2026-08-02,1,1,1,7,86,223,432,616,827
2026-08-09,1,1,1,1,73,201,395,568,765
2026-08-16,1,1,1,1,68,193,383,552,745
2026-08-23,1,1,1,1,60,180,363,525,712
2026-08-30,1,1,1,1,62,183,368,533,722
2026-09-06,1,1,1,1,50,163,336,490,667
2026-09-13,1,1,1,1,60,180,365,530,719
2026-09-20,1,1,1,1,59,179,363,528,717
2026-09-27,1,1,1,1,61,183,371,539,732
2026-10-04,1,1,1,1,61,183,372,541,735
