date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,1,29,72,122,158,195
2025-10-12,1,1,1,1,24,65,114,151,187
2025-10-19,1,1,1,1,19,59,108,144,180
2025-10-26,1,1,1,1,18,60,109,146,183
2025-11-02,1,1,1,1,18,60,111,148,186
2025-11-09,1,1,1,1,19,61,113,151,190
2025-11-16,1,1,1,1,18,62,114,153,192
2025-11-23,1,1,1,1,22,67,121,162,204
2025-11-30,1,1,1,1,31,80,140,185,231
2025-12-07,1,1,1,1,27,75,134,178,223
2025-12-14,1,1,1,1,21,68,125,167,211
2025-12-21,1,1,1,1,11,55,107,147,188
2026-01-04,1,1,1,1,28,78,140,187,234
2026-01-11,1,1,1,1,35,88,154,203,254
2026-01-18,1,1,1,4,45,102,173,227,282
2026-01-25,1,1,1,14,60,123,202,262,324
2026-02-01,1,1,1,25,76,147,234,301,369
2026-02-08,1,1,1,34,88,165,260,332,406
2026-02-15,1,1,12,52,114,201,309,392,477
2026-02-22,1,2,23,68,136,233,354,446,541
2026-03-01,1,10,33,81,156,261,393,493,597
2026-03-08,1,19,43,95,176,290,432,542,654
2026-03-15,12,32,59,117,207,335,495,618,745
2026-03-22,13,33,61,120,212,343,506,632,761
2026-03-29,13,33,60,120,212,343,507,633,763
2026-04-05,24,46,77,143,245,390,573,713,858
2026-04-12,32,56,89,159,269,425,621,772,928
2026-04-19,37,62,96,169,284,446,651,808,972
2026-04-26,38,63,97,171,287,452,659,818,984
2026-05-03,44,70,106,183,304,477,694,861,1035
2026-05-10,50,77,114,195,322,502,730,905,1087
2026-05-17,52,79,118,200,329,513,745,924,1110
2026-05-24,40,66,101,178,297,468,683,850,1023
2026-05-31,36,61,95,169,285,451,661,824,992
2026-06-07,30,53,86,157,269,428,629,785,947
2026-06-14,19,41,71,137,239,386,572,716,865
2026-06-21,9,29,57,117,211,347,518,650,788
2026-06-28,5,24,51,109,200,331,497,625,758
2026-07-05,5,24,50,109,200,330,496,625,759
2026-07-12,13,34,63,127,226,369,550,691,837
2026-07-19,9,29,57,117,213,350,524,660,801
2026-07-26,1,19,44,100,189,316,478,603,734
2026-08-02,1,12,37,90,174,294,448,567,691
2026-08-09,1,5,28,78,157,270,415,527,644
2026-08-16,1,3,25,74,151,263,405,515,630
2026-08-23,1,1,10,53,121,220,345,442,544
2026-08-30,1,1,9,52,119,217,341,438,539
2026-09-06,1,1,1,41,103,194,310,400,494
2026-09-13,1,1,1,31,89,173,281,365,452
2026-09-20,1,1,1,25,81,162,266,347,431
2026-09-27,1,1,1,17,69,145,242,317,396
2026-10-04,1,1,1,18,70,147,244,320,400
