date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,13,45,85,132,165,198
2025-10-12,1,1,1,12,45,87,134,169,202
2025-10-19,1,1,1,10,42,83,131,165,199
2025-10-26,1,1,1,10,42,84,133,168,202
2025-11-02,1,1,1,13,47,91,142,179,215
2025-11-09,1,1,1,15,50,95,148,186,223
2025-11-16,1,1,1,14,49,95,149,187,225
2025-11-23,1,1,1,15,51,98,152,192,231
2025-11-30,1,1,1,14,49,96,151,190,229
2025-12-07,1,1,1,14,50,97,152,192,232
2025-12-14,1,1,1,8,43,88,141,180,218
2025-12-21,1,1,1,6,40,85,137,176,214
2026-01-04,1,1,3,33,75,132,198,246,294
2026-01-11,1,1,12,44,91,152,225,278,330
2026-01-18,1,1,16,50,98,163,238,294,349
2026-01-25,1,5,23,58,110,178,259,318,377
2026-02-01,3,17,37,77,135,211,302,368,435
2026-02-08,10,26,47,90,152,235,333,405,477
2026-02-15,18,35,58,104,172,261,367,445,523
2026-02-22,27,45,70,119,192,289,403,487,571
2026-03-01,38,58,84,139,218,324,449,541,633
2026-03-08,54,76,106,167,256,375,515,618,721
2026-03-15,73,98,131,199,299,433,591,707,823
2026-03-22,85,111,147,220,328,471,641,766,891
2026-03-29,85,112,147,221,329,473,644,769,895
2026-04-05,105,134,174,256,375,535,725,865,1005
2026-04-12,117,149,191,278,405,575,777,926,1075
2026-04-19,123,155,199,288,419,595,803,956,1110
2026-04-26,124,157,200,290,423,599,809,964,1119
2026-05-03,122,154,198,287,418,594,802,956,1110
2026-05-10,132,166,212,305,443,627,846,1007,1169
2026-05-17,129,162,207,300,435,617,834,993,1153
2026-05-24,101,131,170,252,372,532,723,863,1004
2026-05-31,89,117,154,230,343,493,673,805,938
2026-06-07,73,99,133,203,306,445,609,731,853
2026-06-14,57,80,111,175,269,395,545,656,767
2026-06-21,41,62,90,148,232,346,481,581,681
2026-06-28,24,42,66,117,191,291,409,497,585
2026-07-05,15,31,54,101,170,262,372,453,535
2026-07-12,1,15,35,75,136,217,313,384,456
2026-07-19,1,6,25,62,118,193,283,349,415
2026-07-26,1,1,15,50,102,172,255,316,378
2026-08-02,1,1,9,43,92,158,237,295,354
2026-08-09,1,1,4,35,82,145,220,275,330
2026-08-16,1,1,1,24,67,124,193,244,295
2026-08-23,1,1,1,23,65,122,191,241,292
2026-08-30,1,1,1,16,56,110,175,222,270
2026-09-06,1,1,1,13,52,104,167,213,260
2026-09-13,1,1,1,8,45,95,155,199,244
2026-09-20,1,1,1,6,42,91,150,194,237
2026-09-27,1,1,1,1,37,84,140,182,224
2026-10-04,1,1,1,2,38,86,143,185,228
