date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,13,71,173,334,560,748,954
2025-10-12,1,1,16,79,188,364,613,822,1052
2025-10-19,1,1,18,83,199,387,656,884,1137
2025-10-26,1,1,23,93,218,424,721,975,1257
2025-11-02,1,1,32,109,248,479,816,1106,1431
2025-11-09,1,3,36,117,265,514,880,1197,1554
2025-11-16,1,18,57,152,328,628,1072,1459,1897
2025-11-23,1,21,61,162,349,669,1150,1571,2049
2025-11-30,1,30,74,185,393,753,1296,1775,2322
2025-12-07,11,44,95,221,460,877,1512,2075,2720
2025-12-14,6,38,86,210,445,858,1492,2057,2708
2025-12-21,1,27,73,190,414,811,1425,1976,2612
2026-01-04,19,57,114,261,544,1050,1838,2549,3373
2026-01-11,40,84,152,327,669,1283,2245,3117,4133
2026-01-18,68,121,205,420,842,1606,2812,3911,5194
2026-01-25,88,149,244,491,978,1865,3276,4566,6079
2026-02-01,123,196,310,609,1201,2288,4026,5624,7503
2026-02-08,154,238,371,718,1412,2693,4753,6655,8899
2026-02-15,208,312,475,905,1768,3372,5967,8373,11220
2026-02-22,251,370,558,1057,2063,3946,7007,9857,13240
2026-03-01,305,444,664,1249,2438,4674,8330,11748,15816
2026-03-08,360,519,773,1449,2830,5442,9736,13765,18575
2026-03-15,418,600,889,1664,3255,6280,11277,15984,21618
2026-03-22,467,668,988,1850,3628,7026,12668,18002,24402
2026-03-29,459,659,979,1842,3632,7071,12807,18248,24794
2026-04-05,475,682,1015,1915,3791,7414,13485,19263,26231
2026-04-12,466,672,1003,1902,3784,7436,13582,19452,26547
2026-04-19,409,595,895,1714,3436,6793,12467,17903,24489
2026-04-26,354,522,793,1535,3100,6166,11370,16371,22443
2026-05-03,294,441,678,1331,2713,5431,10065,14531,19966
2026-05-10,245,374,583,1161,2389,4815,8967,12980,17874
2026-05-17,179,284,455,927,1936,3937,7375,10708,14780
2026-05-24,111,191,322,684,1461,3007,5673,8265,11438
2026-05-31,53,111,206,471,1042,2181,4154,6076,8435
2026-06-07,8,50,118,308,719,1542,2973,4370,6088
2026-06-14,1,27,85,248,600,1310,2546,3758,5249
2026-06-21,1,1,44,171,448,1007,1985,2945,4129
2026-06-28,1,1,22,131,369,852,1701,2537,3571
2026-07-05,1,1,1,91,290,695,1411,2119,2997
2026-07-12,1,1,1,64,236,588,1214,1835,2607
2026-07-19,1,1,1,44,196,511,1072,1630,2326
2026-07-26,1,1,1,36,182,484,1026,1566,2242
2026-08-02,1,1,1,25,161,443,951,1460,2097
2026-08-09,1,1,1,16,142,407,884,1364,1966
2026-08-16,1,1,1,9,129,382,839,1300,1880
2026-08-23,1,1,1,9,131,386,852,1323,1916
2026-08-30,1,1,1,4,120,365,813,1268,1842
2026-09-06,1,1,1,3,120,368,822,1284,1869
2026-09-13,1,1,1,7,129,390,869,1357,1976
2026-09-20,1,1,1,7,129,390,873,1366,1993
2026-09-27,1,1,1,8,132,399,893,1401,2046
2026-10-04,1,1,1,9,135,408,915,1436,2101
