date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,15,45,83,126,156,186
2025-10-12,1,1,1,17,49,88,133,164,195
2025-10-19,1,1,1,15,46,86,131,162,193
2025-10-26,1,1,1,24,59,102,152,187,221
2025-11-02,1,1,1,25,60,104,155,191,227
2025-11-09,1,1,14,42,82,133,192,234,275
2025-11-16,1,2,17,46,88,142,203,247,290
2025-11-23,1,8,23,55,99,157,223,270,316
2025-11-30,1,7,23,55,100,158,224,272,319
2025-12-07,1,6,22,54,99,157,224,272,320
2025-12-14,1,1,13,43,85,140,203,248,293
2025-12-21,1,1,7,36,76,129,189,233,276
2026-01-04,17,32,52,92,150,225,312,374,436
2026-01-11,21,37,58,100,161,239,330,396,461
2026-01-18,23,40,61,105,167,248,341,409,476
2026-01-25,21,37,59,102,163,243,336,404,471
2026-02-01,26,43,65,110,174,258,355,426,496
2026-02-08,26,43,65,110,174,259,357,428,499
2026-02-15,28,46,68,115,181,268,369,442,515
2026-02-22,12,28,48,88,147,223,313,377,442
2026-03-01,25,42,65,110,176,261,361,434,506
2026-03-08,27,44,67,114,181,268,371,445,519
2026-03-15,27,44,67,114,181,269,372,446,520
2026-03-22,15,30,51,93,154,234,328,396,463
2026-03-29,13,28,49,90,150,230,322,389,456
2026-04-05,9,23,43,83,141,218,307,372,437
2026-04-12,2,16,35,73,128,200,284,345,407
2026-04-19,1,11,29,66,118,188,269,328,387
2026-04-26,1,5,22,57,107,172,249,305,361
2026-05-03,1,13,31,68,122,193,276,337,397
2026-05-10,1,12,30,67,121,192,274,335,395
2026-05-17,1,5,22,57,107,174,252,308,365
2026-05-24,1,1,11,43,89,149,220,272,323
2026-05-31,1,1,8,39,83,142,211,261,311
2026-06-07,1,1,3,32,75,131,197,245,293
2026-06-14,1,1,1,24,64,117,178,224,269
2026-06-21,1,1,1,24,64,117,179,224,269
2026-06-28,1,1,1,17,55,105,164,207,250
2026-07-05,1,1,1,14,51,101,159,201,243
2026-07-12,1,1,1,26,68,122,187,234,281
2026-07-19,1,1,1,21,61,114,176,222,267
2026-07-26,1,1,1,22,62,116,179,225,272
2026-08-02,1,1,1,21,61,114,177,223,270
2026-08-09,1,1,1,17,56,108,169,214,259
2026-08-16,1,1,1,14,53,103,164,208,252
2026-08-23,1,1,1,10,47,96,154,196,239
2026-08-30,1,1,1,7,43,90,147,189,230
2026-09-06,1,1,1,6,42,90,147,188,230
2026-09-13,1,1,1,4,40,87,143,184,225
2026-09-20,1,1,1,7,43,91,149,191,233
2026-09-27,1,1,1,6,41,89,146,188,229
2026-10-04,1,1,1,7,43,91,149,191,234
