date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,1,1,9,80,143,215
2025-10-12,1,1,1,1,1,20,100,172,255
2025-10-19,1,1,1,1,1,21,105,181,268
2025-10-26,1,1,1,1,1,35,130,218,320
2025-11-02,1,1,1,1,1,55,168,272,394
2025-11-09,1,1,1,1,1,55,171,278,405
2025-11-16,1,1,1,1,8,102,256,400,571
2025-11-23,1,1,1,1,20,127,305,471,670
2025-11-30,1,1,1,1,62,211,458,692,973
2025-12-07,1,1,1,9,110,306,636,949,1328
2025-12-14,1,1,1,1,86,262,561,848,1195
2025-12-21,1,1,1,1,63,220,489,748,1063
2026-01-04,1,1,1,1,98,294,630,955,1354
2026-01-11,1,1,1,1,102,304,655,996,1415
2026-01-18,1,1,1,24,150,404,848,1282,1818
2026-01-25,1,1,1,43,190,488,1013,1530,2170
2026-02-01,1,1,1,69,246,607,1246,1879,2664
2026-02-08,1,1,18,126,365,858,1736,2609,3697
2026-02-15,1,3,52,194,509,1161,2331,3499,4959
2026-02-22,1,37,103,293,720,1611,3216,4827,6846
2026-03-01,11,57,135,357,860,1914,3825,5751,8172
2026-03-08,39,97,194,476,1116,2467,4929,7421,10563
2026-03-15,81,158,287,661,1516,3332,6657,10035,14307
2026-03-22,129,226,391,871,1973,4325,8657,13074,18675
2026-03-29,145,251,429,951,2156,4742,9526,14424,20649
2026-04-05,201,331,552,1201,2707,5953,11991,18192,26094
2026-04-12,223,364,604,1311,2959,6531,13202,20078,28863
2026-04-19,206,340,569,1247,2834,6291,12776,19481,28067
2026-04-26,209,346,580,1275,2909,6482,13217,20202,29167
2026-05-03,170,290,496,1111,2562,5750,11782,18058,26132
2026-05-10,163,281,484,1091,2529,5702,11730,18020,26129
2026-05-17,138,246,431,987,2308,5237,10822,16667,24217
2026-05-24,68,144,276,673,1619,3725,7756,11986,17462
2026-05-31,13,64,153,422,1066,2503,5266,8173,11942
2026-06-07,1,26,95,303,804,1927,4092,6375,9342
2026-06-14,1,5,63,237,659,1608,3444,5386,7913
2026-06-21,1,1,25,161,489,1231,2670,4196,6185
2026-06-28,1,1,1,80,312,841,1880,2991,4448
2026-07-05,1,1,1,17,172,531,1245,2015,3032
2026-07-12,1,1,1,1,62,281,723,1203,1842
2026-07-19,1,1,1,1,19,184,519,888,1381
2026-07-26,1,1,1,1,12,170,496,856,1342
2026-08-02,1,1,1,1,1,147,450,788,1246
2026-08-09,1,1,1,1,1,103,357,643,1032
2026-08-16,1,1,1,1,1,83,316,580,942
2026-08-23,1,1,1,1,1,68,286,536,878
2026-08-30,1,1,1,1,1,33,209,411,690
2026-09-06,1,1,1,1,1,30,204,405,685
2026-09-13,1,1,1,1,1,36,220,434,733
2026-09-20,1,1,1,1,1,47,249,485,817
2026-09-27,1,1,1,1,1,49,256,500,844
2026-10-04,1,1,1,1,1,53,269,525,886
